,Company name,"Street, no., building etc, line 1",City,Country,"NACE Rev. 2
Core code (4 digits)","Operating
revenue
(Turnover)
m EUR
2017","Operating
revenue
(Turnover)
m EUR
2016","Operating
revenue
(Turnover)
m EUR
2015","Operating
revenue
(Turnover)
m EUR
2014","Operating
revenue
(Turnover)
m EUR
2013","Operating
revenue
(Turnover)
m EUR
2012","Operating
revenue
(Turnover)
m EUR
2011","Operating
revenue
(Turnover)
m EUR
2010","Operating
revenue
(Turnover)
m EUR
2009","Operating
revenue
(Turnover)
m EUR
2008","Number of employees
2017","Number of employees
2016","Number of employees
2015","Number of employees
2014","Number of employees
2013","Number of employees
2012","Number of employees
2011","Number of employees
2010","Number of employees
2009","Number of employees
2008"
1.,FORD-WERKE GMBH,HENRY-FORD-STR. 1,KOELN,Germany,2910,n.a.,n.a.,"21,054","18,632","18,369","17,583","19,763","19,470","17,987","20,734",n.a.,n.a.,"24,425","27,496","27,790","27,520","28,336","27,988","28,073","29,151"
2.,EXXONMOBIL PETROLEUM & CHEMICAL,POLDERDIJKWEG,ANTWERPEN,Belgium,1920,n.a.,"20,425","23,775","30,122","30,727","33,148","32,105","25,738","20,111","29,710",n.a.,"2,194","2,174","2,163","2,168","2,186","2,174","2,196","2,176","2,201"
3.,INTERNATIONAL PAPER CO,"6400, POPLAR AVENUE",MEMPHIS,United States of America,1712,n.a.,"19,997","20,543","19,452","17,028","16,562","20,121","18,834","16,220","17,841",n.a.,"55,000","56,000","58,000","69,000","70,000","61,500","59,500","56,100","61,700"
4.,ELECTRABEL,SIMON BOLIVARLAAN 34,BRUSSEL,Belgium,3511,n.a.,"12,351","11,268","13,096","13,140","14,459","15,284","15,661","14,879","15,173",n.a.,"4,771","4,872","5,266","5,477","5,719","5,901","6,111","6,360","7,645"
5.,N.V. UMICORE S.A.,RUE DU MARAIS 31,BRUSSELS,Belgium,0729,n.a.,"11,167","10,505","8,885","9,895","12,611","14,538","9,746","7,028","9,227",n.a.,"10,175","13,730","14,074","10,293","14,438","14,572","14,386","13,720","15,447"
6.,JANSSEN PHARMACEUTICA,TURNHOUTSEWEG 30,BEERSE,Belgium,2120,n.a.,"10,334","6,917","6,285","5,737","5,309","4,563","3,930","3,639","3,610",n.a.,"4,569","4,003","3,822","3,793","3,765","3,665","3,713","3,913","4,082"
7.,AGEAS SA-NV,RUE DU MARQUIS 1,BRUSSELS,Belgium,6500,n.a.,"9,277","9,359","9,258","8,839","9,947","9,421",n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.
8.,GLAXOSMITHKLINE BIOLOGICALS,RUE DE L'INSTITUT 89,RIXENSART,Belgium,2120,n.a.,"6,322","4,375","3,933","3,814","3,682","3,488","4,814","3,573","2,697",n.a.,"8,387","8,474","8,212","7,697","7,426","7,252","6,696","6,042","5,748"
9.,"HAINAN AIRLINES HOLDING CO., LTD.",HAIHANG BUILDING,HAIKOU,China,5110,n.a.,"5,536","4,969","4,843","3,883","3,373","3,124","2,381","1,530","1,384",n.a.,"11,230","11,781","10,674","10,347","9,476","8,558","7,959","9,894","10,027"
10.,B.A.S.F. ANTWERPEN,SCHELDELAAN 600,ANTWERPEN,Belgium,2014,n.a.,"5,295","5,688","6,605","7,025","7,366","7,158","6,297","4,474","6,500",n.a.,"3,007","2,955","2,952","2,953","2,978","3,164","3,399","3,432","3,468"
11.,VOLVO CAR BELGIUM,JOHN KENNEDYLAAN 25,GENT,Belgium,2910,n.a.,"5,079","5,067","5,181","5,029","5,114","5,242","4,317","3,360","3,048",n.a.,"5,100","5,151","4,714","4,650","4,626","4,348","4,000","4,116","4,480"
12.,SAUDI ARABIAN AIRLINES CORPORATION,SAUDI ARABIAN AIRLINES BUILDING,JEDDAH,Saudi Arabia,5110,n.a.,"3,795",n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,"25,000",n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.
13.,BEKAERT SA/NV,BEKAERTSTRAAT 2,KORTRIJK,Belgium,2434,n.a.,"3,738","3,739","3,245","3,210","3,516","3,355","3,278","2,453","2,673",n.a.,"25,460","23,666","24,127","21,790","22,549","22,413","21,877","18,103","16,971"
14.,CARGILL FRANCE,TOUR WINTHERTUR,PUTEAUX,France,4621,n.a.,"3,023","3,217","3,571","3,838","3,555","3,284",0,0,0,n.a.,933,983,n.a.,"1,007","1,183","1,264",n.a.,n.a.,n.a.
15.,EDF LUMINUS,RUE DU MARQUIS 1,BRUXELLES,Belgium,3511,n.a.,"2,957","3,256","3,208","3,790","3,788","3,674","2,969","2,583","2,594",n.a.,956,940,955,"1,009","1,062","1,071","1,015",940,953
16.,SCR-SIBELCO,PLANTIN EN MORETUSLEI 1A,ANTWERPEN,Belgium,0812,n.a.,"2,776","3,155","2,628","2,997","3,048","2,846","2,536","1,917","2,286",n.a.,"9,378","10,407","10,638","10,463","11,142","10,785","10,565","10,233",n.a.
17.,AGFA GEVAERT NV,SEPTESTRAAT 27,MORTSEL,Belgium,2670,n.a.,"2,572","2,679","2,660","2,967","3,156","3,289","3,284","3,064","3,483",n.a.,"10,042","10,241","10,506","11,047","11,408","11,728","11,766","11,169","12,152"
18.,APERAM STAINLESS BELGIUM,SWINNENWIJERWEG 5,GENK,Belgium,2410,n.a.,"2,253","2,372","2,268","2,026","2,178","2,408","2,442","1,492","2,985",n.a.,"1,825","1,823","1,811","1,848","1,930","1,987","2,026","2,040","2,185"
19.,AURUBIS BELGIUM,RUE DU MARAIS 31,BRUXELLES,Belgium,2444,n.a.,"1,937","2,295","2,279","2,554","2,836","3,112","2,394","1,693",8,n.a.,551,526,518,502,473,460,439,467,13
20.,INBEV BELGIUM,BOULEVARD INDUSTRIEL 21,BRUXELLES,Belgium,1105,n.a.,"1,813","1,351","1,309","1,253","1,258","1,145","1,091","1,145","1,147",n.a.,"2,723","2,593","2,532","2,510","2,414","2,497","2,495","2,544","2,715"
21.,TESSENDERLO GROUP NV,TROONSTRAAT 130,BRUSSELS,Belgium,2013,n.a.,"1,592","1,601","1,439","1,790","2,130","2,131","2,522","2,107","2,765",n.a.,"4,530","4,672","4,789","5,774","7,130","7,457","8,262","8,317","8,237"
22.,ATLAS COPCO AIRPOWER,BOOMSESTEENWEG 957,WILRIJK,Belgium,2813,n.a.,"1,578","1,617","1,554","1,566","1,664","1,587","1,354","1,076","1,556",n.a.,"2,483","2,500","2,571","2,619","2,741","2,655","2,462","2,472","2,807"
23.,SINGAPORE AIRLINES CARGO PTE LTD,AIRLINE HOUSE,SINGAPORE,Singapore,8110,n.a.,n.a.,n.a.,"1,521","1,303","1,526",n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.
24.,AUDI BRUSSELS,BD 2E ARMEE BRITANNIQUE 201,BRUXELLES,Belgium,2910,n.a.,"1,480","1,656","1,564","1,626","1,680",n.a.,n.a.,n.a.,n.a.,n.a.,"2,437","2,428","2,443","2,525","2,402",n.a.,n.a.,n.a.,n.a.
25.,CNH INDUSTRIAL BELGIUM,LEON CLAEYSSTRAAT 3A,ZEDELGEM,Belgium,2830,n.a.,"1,310","1,257","1,467","1,115","1,032",970,656,775,"1,138",n.a.,"3,105","3,188","3,495","2,494","2,513","2,319","2,081","2,290","2,398"
26.,BRUSSELS AIRLINES,JAARGETIJDENLAAN 100-102 B.30,BRUSSEL,Belgium,5110,n.a.,"1,271","1,276","1,193","1,138","1,113","1,036",930,849,"1,011",n.a.,"2,534","2,427","2,395","2,393","2,479","2,418","2,228","2,164","2,026"
27.,BANQUE NATIONALE DE BELGIQUE SA,BOULEVARD DE BERLAIMONT 5,BRUSSELS,Belgium,6411,n.a.,"1,204","1,122","1,274","1,440","1,849","1,354",n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.
28.,NLMK BELGIUM HOLDINGS,RUE DES RIVAUX 2,LA LOUVIERE,Belgium,6420,n.a.,"1,109","1,163","1,181",751,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,"1,866","2,018","2,143","2,317",n.a.,n.a.,n.a.,n.a.,n.a.
29.,UNILIN,OOIGEMSTRAAT 3,WIELSBEKE,Belgium,1621,n.a.,"1,006",892,845,676,662,644,585,525,686,n.a.,"1,962","1,695","2,000","1,372","1,376","1,382","1,341","1,418","1,560"
30.,TEREOS STARCH & SWEETENERS BELGIUM,BURCHTSTRAAT 10,AALST,Belgium,1062,n.a.,973,977,998,"1,118",572,"1,032",799,948,531,n.a.,382,383,378,377,370,368,369,364,370
31.,COVESTRO,SCHELDELAAN 420,ANTWERPEN,Belgium,2013,n.a.,950,"1,037",n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,795,791,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.
32.,METALLO BELGIUM,NIEUWE DREEF 33,BEERSE,Belgium,2444,n.a.,856,885,985,"1,035","1,005",953,841,523,658,n.a.,406,394,385,384,371,332,320,324,317
33.,ASL AIRLINES BELGIUM,RUE DE L'AEROPORT 101,GRACE-HOLLOGNE,Belgium,5110,n.a.,835,876,867,665,675,569,471,273,203,n.a.,405,428,426,430,486,465,462,547,554
