,Company name,"Street, no., building etc, line 1",City,Country,"NACE Rev. 2
Core code (4 digits)","Operating
revenue
(Turnover)
m EUR
2017","Operating
revenue
(Turnover)
m EUR
2016","Operating
revenue
(Turnover)
m EUR
2015","Operating
revenue
(Turnover)
m EUR
2014","Operating
revenue
(Turnover)
m EUR
2013","Operating
revenue
(Turnover)
m EUR
2012","Operating
revenue
(Turnover)
m EUR
2011","Operating
revenue
(Turnover)
m EUR
2010","Operating
revenue
(Turnover)
m EUR
2009","Operating
revenue
(Turnover)
m EUR
2008","Number of employees
2017","Number of employees
2016","Number of employees
2015","Number of employees
2014","Number of employees
2013","Number of employees
2012","Number of employees
2011","Number of employees
2010","Number of employees
2009","Number of employees
2008"
1.,AURUBIS BULGARIA AD,PROMISHLENA ZONA,PIRDOP,Bulgaria,2444,n.a.,"1,674","2,274","2,137","2,279","2,216","2,390","1,635","1,213","1,330",n.a.,854,850,830,818,810,815,786,781,766
2.,"APRO FINANCIAL CO.,LTD.","39, SEJONG-DAERO JUNG-GU SEOUL",SEOUL,Republic of Korea,6619,n.a.,698,699,657,436,466,500,412,268,221,n.a.,"1,006",n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.
3.,TPP MARITSA EAST 2 EAD,,KOVACHEVO,Bulgaria,3511,n.a.,283,326,303,302,346,340,266,296,282,n.a.,"2,445","2,457","2,468","2,494","2,526","2,451","2,517","2,581","2,320"
4.,AES 3C MARITZA EAST I EOOD,,GALABOVO,Bulgaria,3511,n.a.,278,313,278,297,275,131,0,0,0,n.a.,n.a.,1,1,1,1,24,25,1,1
5.,STOMANA INDUSTRY AD,UL. VLADAYSKO VASTANIE 1,PERNIK,Bulgaria,2452,n.a.,270,307,333,286,372,480,362,255,583,n.a.,"1,063","1,092",997,903,929,740,718,790,876
6.,AMYLUM BULGARIA EAD,SEVERNA INDUSTRIALNA ZONA,RAZGRAD,Bulgaria,1062,n.a.,259,150,149,171,148,147,112,99,102,n.a.,287,271,264,266,259,250,243,232,228
7.,AGROPOLYCHIM AD,PROMISHLENA ZONA,DEVNYA,Bulgaria,2015,n.a.,237,286,252,204,245,224,155,112,204,n.a.,688,666,626,639,657,670,662,727,876
8.,CONTOURGLOBAL MARITSA EAST 3 AD,"BUL. SITNYAKOVO 48, ET. 9",SOFIA,Bulgaria,3511,n.a.,221,287,249,202,228,242,231,209,164,n.a.,44,39,43,39,40,41,50,57,65
9.,"GREENS CO., LTD.","5-3, HAMADA CHO",YOKKAICHI CITY,Japan,5510,204,219,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,628,639,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.
10.,TOPLOFIKACIYA SOFIA EAD,UL. YASTREBETS 23B,SOFIA,Bulgaria,3530,n.a.,192,270,274,316,338,306,238,231,202,n.a.,"2,360","2,371","2,456","2,264","2,275","2,273","2,328","2,417","2,418"
11.,IDEAL STANDARD VIDIMA AD,UL. MARIN POPOV 53,SEVLIEVO,Bulgaria,2814,n.a.,191,194,193,192,197,172,155,146,217,n.a.,"3,217","3,326","3,122","3,156","3,201","3,312","1,906","1,928","2,369"
12.,BULGARTRANSGAZ EAD,"KVARTAL LYULIN -2, BUL. PANCHO VLADIGEROV, 66",SOFIA,Bulgaria,4950,n.a.,170,187,186,200,219,194,146,137,77,n.a.,"1,160","1,139","1,108","1,092","1,074","1,035","1,062","1,063","1,004"
13.,ALCOMET AD,II INDUSTRIAL ZONE,SHUMEN,Bulgaria,2442,n.a.,163,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,928,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.
14.,BALKANPHARMA DUPNITSA AD,UL. SAMOKOVSKO SHOSE 3,DUPNITSA,Bulgaria,2120,n.a.,157,155,125,121,103,85,45,38,41,n.a.,"1,297","1,342","1,190","1,099",987,802,676,697,895
15.,BLAGOEVGRAD BT AD,UL. POKROVNISHKO SHOSE 1,BLAGOEVGRAD,Bulgaria,1200,n.a.,153,168,147,127,135,103,88,81,99,n.a.,626,599,819,839,837,"1,044","1,023","1,047","1,067"
16.,BULGARIA AIR AD,AEROGARA SOFIA,SOFIA,Bulgaria,5110,n.a.,144,172,174,171,168,168,159,144,166,n.a.,456,483,448,548,702,888,969,"1,002","1,112"
17.,TRAKYA GLASS BULGARIA EAD,"KV. VABEL, INDUSTRIALNA ZONA",TARGOVISHTE,Bulgaria,2311,n.a.,139,232,186,150,143,139,136,109,119,n.a.,502,"1,857","1,731","1,579","1,280","1,095",998,912,913
18.,POLYSAN AD,"UL. PRIDUNAVSKI BULEVARD 18, ET. 3",RUSE,Bulgaria,4671,n.a.,135,106,113,107,94,68,29,22,25,n.a.,231,213,180,176,154,137,108,101,80
19.,NEOCHIM AD,IZTOCHNA INDUSTRIALNA ZONA,DIMITROVGRAD,Bulgaria,4675,n.a.,126,149,121,127,129,145,81,n.a.,n.a.,n.a.,"1,072","1,102","1,277","1,423","1,235","1,227","1,150",n.a.,n.a.
20.,E MIROGLIO EAD,INDUSTRIALNA ZONA,SLIVEN,Bulgaria,1310,n.a.,121,113,113,108,93,91,78,74,94,n.a.,"2,304","2,055","1,968","1,883","1,732","1,747","1,649","1,623","1,788"
21.,KRONOSPAN BULGARIA EOOD,SEVEROZAPADNA PROMISHLENA ZONA,BURGAS,Bulgaria,1621,n.a.,88,92,91,96,96,96,91,76,95,n.a.,399,398,403,414,412,427,426,439,436
22.,ZAGORKA AD,UL. HAN ASPARUH 41,STARA ZAGORA,Bulgaria,1105,n.a.,83,82,72,75,76,69,73,76,78,n.a.,489,499,511,523,543,554,572,572,571
23.,ZAHARNI ZAVODI AD,"29, PRINCE BORIS I STREET",GORNA ORYAHOVITSA,Bulgaria,1081,n.a.,80,70,57,81,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,800,787,784,740,n.a.,n.a.,n.a.,n.a.,n.a.
24.,MONDI STAMBOLIJSKI EAD,UL. ZAVODSKA 1,STAMBOLIYSKI,Bulgaria,1712,n.a.,77,73,72,66,54,53,32,15,47,n.a.,317,323,323,322,335,341,338,242,584
25.,BRIKEL EAD,IZVAN GRADA,GALABOVO,Bulgaria,3511,n.a.,74,44,64,66,64,46,71,79,96,n.a.,"1,298","1,389","1,245","1,216","1,301","1,255","1,302","1,331","1,325"
26.,"TERRA CO.,LTD.","5-19, HIGASHISHUKUGO 1-CHOME",UTSUNOMIYA-SHI,Japan,4741,n.a.,70,69,57,55,60,58,n.a.,n.a.,n.a.,n.a.,192,185,185,177,168,152,n.a.,n.a.,n.a.
27.,DEVNYA CEMENT AD,PROMISHLENA ZONA,DEVNYA,Bulgaria,2351,n.a.,68,74,56,55,63,60,52,75,136,n.a.,237,259,257,263,254,262,287,299,320
28.,"CALCIT, PROIZVODNJA KALCITNIH POLNIL D.O.O.",STAHOVICA 15,STAHOVICA,Slovenia,0811,n.a.,67,66,71,59,47,45,43,36,32,n.a.,144,131,122,120,122,118,110,109,107
29.,DEVEN AD,PROMISHLENA ZONA,DEVNYA,Bulgaria,3530,n.a.,65,71,96,83,98,96,83,50,71,n.a.,53,51,54,56,56,58,97,139,155
30.,DS SMITH BULGARIA AD,KV. GLAVINITSA,PAZARDZHIK,Bulgaria,1721,n.a.,62,63,60,56,56,56,46,42,48,n.a.,516,540,543,537,522,516,513,524,683
31.,TPP BOBOV DOL EAD,,GOLEMO SELO,Bulgaria,3511,n.a.,60,75,78,73,75,109,93,87,90,n.a.,854,857,930,820,977,936,872,788,"1,085"
32.,SVILOSA AD,WESTERN INDUSTRIAL ZONE,SVISHTOV,Bulgaria,1711,n.a.,52,59,55,56,48,55,56,n.a.,n.a.,n.a.,513,502,507,507,n.a.,508,532,n.a.,n.a.
33.,AIR VIA OOD,"BUL. ARSENALSKI 11, ET. 7, OFIS 11",SOFIA,Bulgaria,5110,n.a.,42,54,70,69,60,61,65,51,59,n.a.,199,238,227,219,174,190,186,158,184
34.,KNAUF BULGARIA EOOD,UL. ANGELOV VRAH 27,SOFIA,Bulgaria,2362,n.a.,40,36,35,35,33,33,25,26,41,n.a.,187,203,203,201,198,196,190,175,152
35.,HOLCIM BULGARIA AD,,BELI IZVOR,Bulgaria,2351,n.a.,39,46,45,38,39,48,53,65,123,n.a.,273,278,283,274,279,281,363,473,510
36.,BISER OLIVA AD,KVARTAL INDUSTRIALEN,STARA ZAGORA,Bulgaria,1041,n.a.,39,46,38,44,31,18,15,19,14,n.a.,199,207,194,206,169,157,151,155,179
37.,ZLATNA PANEGA CEMENT AD,UL. SHIPKA 1,ZLATNA PANEGA,Bulgaria,2351,n.a.,36,45,37,34,44,53,42,56,126,n.a.,222,227,226,232,254,255,280,330,396
38.,TOPLOFIKACIA PERNIK AD,KVARTAL MOSHINO,PERNIK,Bulgaria,3530,n.a.,28,26,31,31,30,43,25,20,22,n.a.,457,460,462,485,532,551,635,650,780
39.,RUBIN TRADING EAD,"BUL. VITOSHA 68, ET. 2",SOFIA,Bulgaria,2313,n.a.,28,30,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,517,508,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.
40.,TOPLOFIKACIA PLEVEN EAD,IZTOCHNA INDUSTRIALNA ZONA 128,PLEVEN,Bulgaria,3511,n.a.,27,30,42,45,49,40,41,36,31,n.a.,209,208,206,205,202,204,215,222,223
41.,ROCA BULGARIA AD,UL. MADARSKI KONNIK 48,KASPICHAN,Bulgaria,2342,n.a.,24,28,26,19,18,17,15,13,17,n.a.,466,482,472,392,331,316,283,279,330
42.,BALKANPHARMA TROYAN AD,UL. KRAYRECHNA 1,TROYAN,Bulgaria,2120,n.a.,21,24,25,23,22,16,16,14,16,n.a.,348,366,363,360,362,323,334,376,520
43.,KOSTENETS PAPER MILL EAD,UL. SAEDINENIE 2,KOSTENETS,Bulgaria,1712,n.a.,20,0,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,233,1,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.
