,Company name,"Street, no., building etc, line 1",City,Country,"NACE Rev. 2
Core code (4 digits)","Operating
revenue
(Turnover)
m EUR
2017","Operating
revenue
(Turnover)
m EUR
2016","Operating
revenue
(Turnover)
m EUR
2015","Operating
revenue
(Turnover)
m EUR
2014","Operating
revenue
(Turnover)
m EUR
2013","Operating
revenue
(Turnover)
m EUR
2012","Operating
revenue
(Turnover)
m EUR
2011","Operating
revenue
(Turnover)
m EUR
2010","Operating
revenue
(Turnover)
m EUR
2009","Operating
revenue
(Turnover)
m EUR
2008","Number of employees
2017","Number of employees
2016","Number of employees
2015","Number of employees
2014","Number of employees
2013","Number of employees
2012","Number of employees
2011","Number of employees
2010","Number of employees
2009","Number of employees
2008"
1.,"SKODA AUTO, A.S.",TR. VACLAVA KLEMENTA 869,MLADA BOLESLAV,Czech Republic,2910,n.a.,"13,116","12,347","10,982","9,099","9,797","9,306","8,326","6,710","7,292",n.a.,"10,000","10,000","10,000","10,000","10,000","10,000","10,000","10,000","10,000"
2.,CEZ A.S.,"2/1444, DUHOVA",PRAHA,Czech Republic,3511,n.a.,"7,539","7,777","7,369","7,948","8,618","8,266","8,049","7,477","6,907",n.a.,"26,300","25,866","26,255","26,582","31,308","31,420","32,627","32,985","27,232"
3.,"ROCKWELL AUTOMATION, INC.","1201, SOUTH SECOND STREET",MILWAUKEE,United States of America,2651,"5,346","5,268","5,631","5,264","4,703","4,841","4,444","3,559","2,959","3,984","22,000","22,000","22,500","22,500","22,000","22,000","21,000","19,000","19,000","21,000"
4.,"HYUNDAI MOTOR MANUFACTURING CZECH, S.R. O.",HYUNDAI 700/1,NIZNI LHOTY,Czech Republic,2910,n.a.,"5,392","4,838","3,976","3,751","4,043","2,884","2,205","1,249",146,n.a.,"2,750","2,750","2,750","2,750","2,750","2,750","2,250","2,250",750
5.,"UNIPETROL RPA, S.R.O.",1,LITVINOV,Czech Republic,2016,n.a.,"3,354","3,785","4,185","3,326","3,966","4,142","3,764","2,982","3,796",n.a.,"1,750","1,750",n.a.,"1,750","1,750","1,750","2,250","2,250","2,250"
6.,"ARCELORMITTAL OSTRAVA, A.S.",VRATIMOVSKA 689/117,OSTRAVA,Czech Republic,2410,n.a.,"1,358","1,371","1,631","1,377","1,367","1,405","1,310",908,n.a.,n.a.,"7,500","7,500","7,500","4,500","4,500","4,500","7,500","7,500",n.a.
7.,"TRINECKE ZELEZARNY, A. S.",PRUMYSLOVA 1000,TRINEC,Czech Republic,2410,n.a.,"1,227","1,379","1,472","1,372","1,534","1,592","1,393",953,"1,484",n.a.,"7,500","7,500","7,500","7,500","7,500","7,500","7,500","7,500","7,500"
8.,"SIEMENS, S.R.O.",SIEMENSOVA 2715/1,PRAHA STODULKY (PRAHA 13),Czech Republic,2711,n.a.,"1,027","1,129","1,235","1,235","1,206","1,054",754,358,416,n.a.,"7,500","7,500","7,500","7,500","7,500","7,500","1,250","1,250",n.a.
9.,"IVECO CZECH REPUBLIC, A. S.",DOBROVSKEHO 74,VYSOKE MYTO,Czech Republic,2910,n.a.,792,833,596,529,485,486,422,512,486,n.a.,"2,250","2,250","2,250","1,750","1,750","1,750","1,750","1,750","1,750"
10.,"VARROC LIGHTING SYSTEMS, S.R.O.",SUVOROVOVA 195,SENOV U NOVEHO JICINA,Czech Republic,2740,n.a.,689,533,552,466,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,"2,750","2,250",n.a.,n.a.,n.a.,n.a.,n.a.,n.a.
11.,"PLZENSKY PRAZDROJ, A. S.",U PRAZDROJE 64/7,PLZEN,Czech Republic,1105,n.a.,595,555,533,504,546,"1,163",n.a.,629,613,n.a.,n.a.,"2,250","2,250","2,250","2,250","2,250",n.a.,"2,750","2,750"
12.,"TRAVEL SERVICE, A.S.",K LETISTI 1068/30,PRAHA 6,Czech Republic,5110,n.a.,576,586,572,544,432,410,354,266,243,n.a.,"1,750","1,750","1,250","1,250","1,250","1,250",750,750,750
13.,"VEOLIA ENERGIE CR, A.S.",28. RIJNA 3337/7,OSTRAVA,Czech Republic,3530,n.a.,n.a.,n.a.,390,477,516,511,565,494,411,n.a.,n.a.,n.a.,n.a.,"1,750","1,750","1,750","1,750",n.a.,n.a.
14.,"SYNTHOS KRALUPY, A.S.",O. WICHTERLEHO 810,KRALUPY NAD VLTAVOU,Czech Republic,2016,n.a.,426,500,688,737,"1,016",786,647,410,447,n.a.,750,750,750,750,750,750,750,750,n.a.
15.,"VITKOVICE STEEL, A. S.",CESKOBRATRSKA 3321/46,OSTRAVA,Czech Republic,2410,n.a.,380,399,391,371,461,677,545,299,759,n.a.,"1,250","1,250",n.a.,"1,250","1,250","1,250","1,250","1,750",n.a.
16.,"MONDI STETI, A.S.",LITOMERICKA 272,STETI,Czech Republic,1712,n.a.,367,368,355,338,357,365,346,241,270,n.a.,750,750,750,750,750,750,750,750,750
17.,"NET4GAS, S.R.O.",NA HREBENECH II 1718/8,PRAHA NUSLE (PRAHA 4),Czech Republic,4950,n.a.,361,403,328,334,409,389,413,380,376,n.a.,750,750,750,750,750,750,750,750,750
18.,"SEV.EN EC, A.S.",K ELEKTRARNE 227,CHVALETICE,Czech Republic,3511,n.a.,357,873,399,181,227,211,0,n.a.,n.a.,n.a.,375,375,375,375,225,225,n.a.,n.a.,n.a.
19.,"TEVA CZECH INDUSTRIES, S.R.O.",OSTRAVSKA 305/29,OPAVA,Czech Republic,2120,n.a.,348,359,314,305,317,345,290,208,195,n.a.,"1,750","1,750","1,750","1,750","1,750","1,750","1,250","1,250","1,250"
20.,FAKULTNI NEMOCNICE V MOTOLE,V UVALU 84/1,PRAHA MOTOL,Czech Republic,8610,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,264,257,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,"7,500","7,500",n.a.,n.a.
21.,"SOKOLOVSKA UHELNA, PRAVNI NASTUPCE, A.S.",STARE NAMESTI 69,SOKOLOV,Czech Republic,0520,n.a.,304,273,270,308,419,381,434,422,483,n.a.,"3,500","3,500","3,500","3,500","4,500","4,500","4,500","4,500","4,500"
22.,"CESKE AEROLINIE, A.S.",EVROPSKA 846/176A,PRAHA VOKOVICE,Czech Republic,5110,n.a.,300,318,351,391,610,594,816,810,950,n.a.,"1,250","1,250","1,250","1,750","1,750","1,750","4,500","7,500","7,500"
23.,"ELEKTRARNA POCERADY, A.S.",DUHOVA 1444/2,PRAHA,Czech Republic,3511,n.a.,295,218,322,461,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,375,375,375,375,n.a.,n.a.,n.a.,n.a.,n.a.
24.,"MITAS, A.S.",SVEHLOVA 1900/3,PRAHA ZABEHLICE (PRAHA 10),Czech Republic,2211,n.a.,273,298,322,351,441,414,328,236,343,n.a.,"2,250","2,750","2,750","2,750","2,750","2,750","2,750","2,750","2,750"
25.,"SLADOVNY SOUFFLET CR, A.S.",PRUMYSLOVA 2170/12,PROSTEJOV,Czech Republic,1106,n.a.,251,254,265,261,234,198,224,260,246,n.a.,150,150,150,150,150,150,225,225,225
26.,"DEZA, A.S.",MASARYKOVA 753,VALASSKE MEZIRICI,Czech Republic,2014,n.a.,257,294,369,382,398,356,323,198,351,n.a.,"1,250","1,250","1,250","1,250","1,250","1,250","1,250","1,250","1,250"
27.,"SAINT-GOBAIN ADFORS CZ, S.R.O.",SOKOLOVSKA 106,LITOMYSL,Czech Republic,1320,n.a.,255,270,209,195,228,230,214,173,203,n.a.,"1,750","1,750","1,750","1,750","1,750","1,750","1,250","1,250","1,250"
28.,"PRAZSKE VODOVODY A KANALIZACE, A.S.",KE KABLU 971/1,PRAHA HOSTIVAR,Czech Republic,3600,n.a.,252,231,218,221,218,202,198,189,195,n.a.,"1,250","1,250","1,250","1,250","1,250","1,250","1,250","1,250","1,250"
29.,"KRONOSPAN CR,SPOL. S R.O.",NA HRANICI 2361/6,JIHLAVA,Czech Republic,1621,n.a.,231,236,237,219,226,218,197,177,266,n.a.,375,375,375,375,375,375,375,375,375
