,Company name,"Street, no., building etc, line 1",City,Country,"NACE Rev. 2
Core code (4 digits)","Operating
revenue
(Turnover)
m EUR
2017","Operating
revenue
(Turnover)
m EUR
2016","Operating
revenue
(Turnover)
m EUR
2015","Operating
revenue
(Turnover)
m EUR
2014","Operating
revenue
(Turnover)
m EUR
2013","Operating
revenue
(Turnover)
m EUR
2012","Operating
revenue
(Turnover)
m EUR
2011","Operating
revenue
(Turnover)
m EUR
2010","Operating
revenue
(Turnover)
m EUR
2009","Operating
revenue
(Turnover)
m EUR
2008","Number of employees
2017","Number of employees
2016","Number of employees
2015","Number of employees
2014","Number of employees
2013","Number of employees
2012","Number of employees
2011","Number of employees
2010","Number of employees
2009","Number of employees
2008"
102.,AANEVOIMA OY,KUHNAMONTIE 2 F,AANEKOSKI,Finland,3511,n.a.,22,22,22,23,22,25,27,23,24,n.a.,1,1,1,9,23,23,n.a.,26,n.a.
56.,ADVEN OY,AYRITIE 18,VANTAA,Finland,3530,n.a.,117,116,124,128,140,115,n.a.,n.a.,n.a.,n.a.,140,157,126,86,117,74,n.a.,n.a.,n.a.
70.,AHLSTROM-MUNKSJO GLASSFIBRE OY,AHLSTROMINTIE 19,KOTKA,Finland,2314,n.a.,72,63,56,62,63,92,74,67,124,n.a.,182,188,198,219,290,468,429,504,590
95.,AHLSTROM-MUNKSJO TAMPERE OY,AUNANKAARI 4,TAMPERE,Finland,1395,n.a.,29,37,42,41,38,35,33,25,27,n.a.,69,68,88,89,88,87,84,84,83
61.,AIRFIX AVIATION OY,TULLIMIEHENTIE 4-6,VANTAA,Finland,5110,n.a.,n.a.,n.a.,85,66,50,49,48,35,32,n.a.,n.a.,n.a.,n.a.,92,91,102,n.a.,95,92
20.,ALTIA OYJ,KAAPELIAUKIO 1,HELSINKI,Finland,1101,n.a.,368,390,427,493,503,548,503,416,470,n.a.,829,879,987,"1,074","1,108","1,178","1,122","1,042","1,108"
169.,AVILON FIBRES OY KONKURSSIPESA,C/O AATSTO LUKANDER & RUOHOLA YLIOPISTONKATU 15 B,TURKU,Finland,2060,n.a.,0,0,0,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,2,2,2,2,n.a.,n.a.,n.a.,n.a.,n.a.
31.,BOLIDEN HARJAVALTA OY,TEOLLISUUSKATU 1,HARJAVALTA,Finland,2444,n.a.,251,245,201,200,193,173,154,119,151,n.a.,521,429,440,433,431,435,421,406,405
32.,BOLIDEN KOKKOLA OY,SINKKIAUKIO 1,KOKKOLA,Finland,2443,n.a.,235,254,221,204,202,200,215,184,197,n.a.,584,575,571,576,585,577,540,573,637
33.,BOREALIS POLYMERS OY,MUOVINTIE 19,KULLOO,Finland,2016,n.a.,231,229,240,283,223,196,244,915,"1,186",n.a.,938,945,949,955,962,955,908,906,"1,026"
107.,EKENAS ENERGI AB,KUNGSGATAN 14,TAMMISAARI,Finland,3511,n.a.,18,18,18,2,2,2,2,n.a.,n.a.,n.a.,33,32,33,1,1,1,1,n.a.,n.a.
65.,ELENIA LAMPO OY,VANKANLAHDE 7,HAMEENLINNA,Finland,3530,n.a.,77,72,76,74,78,73,82,72,60,n.a.,86,n.a.,n.a.,90,91,94,n.a.,102,102
28.,EPV ENERGIA OY,KIRKKOPUISTIKKO,VAASA,Finland,3514,n.a.,277,277,253,221,182,177,n.a.,171,167,n.a.,70,64,62,55,32,25,n.a.,22,20
84.,ER-SAHA OY,KOKKILANTIE 4,VIITASAARI,Finland,1610,n.a.,43,43,43,39,37,37,6,n.a.,n.a.,n.a.,51,49,49,49,49,49,50,n.a.,n.a.
75.,ETELA-SAVON ENERGIA OY,VUORIKATU 19,MIKKELI,Finland,3511,n.a.,55,53,55,56,57,53,52,48,44,n.a.,109,104,101,103,99,90,96,86,82
89.,EVONIK SILICA FINLAND OY,TELAKKATIE 5,HAMINA,Finland,4675,n.a.,37,38,38,39,41,43,39,36,41,n.a.,126,129,122,n.a.,124,125,n.a.,127,n.a.
160.,FC ENERGIA OY,EINO SALMELAISEN KATU 23,IKAALINEN,Finland,3511,n.a.,2,2,1,1,1,1,1,1,1,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.
156.,FC POWER OY,EINO SALMELAISEN KATU 23,IKAALINEN,Finland,3513,n.a.,2,2,2,2,2,2,2,2,2,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.
18.,FINAVIA OYJ,LENTAJANTIE 3,VANTAA,Finland,5223,n.a.,385,369,353,355,368,376,341,n.a.,n.a.,n.a.,"2,394","2,317","2,213","2,239","2,413","2,267","2,407",n.a.,n.a.
13.,FINGRID OYJ,P.O. BOX: 530,HELSINKI,Finland,3511,n.a.,595,603,571,547,526,441,463,361,385,n.a.,334,315,313,287,275,266,263,260,249
5.,FINNAIR OYJ,P.O. BOX: 15,HELSINKI,Finland,5110,n.a.,"2,392","2,340","2,303","2,419","2,470","2,272","2,038","1,853","2,284",n.a.,"4,937","4,817","4,981","5,803","6,784","7,467","7,578","8,797","9,595"
52.,FINNSEMENTTI OY,SKRABBOLENTIE 18,PARAINEN,Finland,2351,n.a.,125,114,122,120,127,137,121,119,170,n.a.,216,213,216,219,219,219,209,204,225
168.,FNSTEEL OY AB KONKURSSIPESA,C/O AATSTO KROGERUS OY JOUKAHAISENKATU 6,TURKU,Finland,2410,n.a.,0,0,0,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,2,2,7,7,35,n.a.,n.a.,n.a.,n.a.
10.,FORTUM POWER AND HEAT OY,KEILANIEMENTIE 1,ESPOO,Finland,3511,n.a.,"1,154","1,314","1,732","1,582","1,694","1,968","1,920","1,764","1,847",n.a.,"1,434","1,563","1,603","1,739","1,808","1,799","1,736","1,714","1,907"
148.,HAAPAJARVEN LAMPO OY,KUSTAA VAASANKATU 2-4,HAAPAJARVI,Finland,3530,n.a.,4,4,3,3,3,3,4,3,3,n.a.,6,n.a.,n.a.,6,7,9,9,7,7
109.,HAMEENKYRON VOIMA OY,TOOLONKATU 4,HELSINKI,Finland,3511,n.a.,15,16,17,18,14,17,0,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.
90.,HAMINAN ENERGIA OY,KIVIPAJANKATU 8,HAMINA,Finland,3511,n.a.,35,33,33,38,40,37,32,26,25,n.a.,40,55,56,52,47,45,43,39,34
166.,HANGAR AVIATION MANAGEMENT LLC,6400 HIGHLAND RD,WATERFORD,United States of America,8211,0,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,1,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.
12.,HANKKIJA OY,PELTOKUUMOLANTIE 4,HYVINKAA,Finland,4661,n.a.,730,817,881,945,972,996,889,898,"1,057",n.a.,984,"1,018","1,080","1,088","1,190","1,219","1,300","1,413","1,425"
155.,HAUKIPUTAAN ENERGIA OY,TORPANTIE 18,HAUKIPUDAS,Finland,3530,n.a.,n.a.,n.a.,2,2,2,2,2,2,1,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,2,n.a.,5,5
11.,HELEN OY,KAMPINKUJA 2,HELSINKI,Finland,3511,n.a.,792,762,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,"1,315","1,391",n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.
