,Company name,"Street, no., building etc, line 1",City,Country,"NACE Rev. 2
Core code (4 digits)","Operating
revenue
(Turnover)
m EUR
2017","Operating
revenue
(Turnover)
m EUR
2016","Operating
revenue
(Turnover)
m EUR
2015","Operating
revenue
(Turnover)
m EUR
2014","Operating
revenue
(Turnover)
m EUR
2013","Operating
revenue
(Turnover)
m EUR
2012","Operating
revenue
(Turnover)
m EUR
2011","Operating
revenue
(Turnover)
m EUR
2010","Operating
revenue
(Turnover)
m EUR
2009","Operating
revenue
(Turnover)
m EUR
2008","Number of employees
2017","Number of employees
2016","Number of employees
2015","Number of employees
2014","Number of employees
2013","Number of employees
2012","Number of employees
2011","Number of employees
2010","Number of employees
2009","Number of employees
2008"
532.,A. AGRATI S.P.A.,VIA PIAVE 28,VEDUGGIO CON COLZANO,Italy,2594,n.a.,500,405,376,337,327,362,n.a.,n.a.,n.a.,n.a.,"2,360","1,904","1,881","1,869","1,781","1,760",n.a.,n.a.,n.a.
406.,A.MERATI E C. - CARTIERA DI LAVENO - SOCIETA' PER AZIONI,VIA SILVIO PELLICO 5,LAVENO-MOMBELLO,Italy,1712,n.a.,51,51,49,43,40,41,33,25,30,n.a.,66,64,63,65,63,63,66,73,81
168.,A.S.M. VOGHERA S.P.A.,VIA CESARE POZZONI 2,VOGHERA,Italy,3520,n.a.,68,89,74,89,80,77,125,123,110,n.a.,323,368,317,258,257,268,277,265,258
45.,A2A AMBIENTE S.P.A.,VIA ALESSANDRO LAMARMORA 230,BRESCIA,Italy,3821,n.a.,368,381,401,317,112,105,111,111,59,n.a.,748,738,731,346,164,163,161,194,91
899.,A2A CALORE & SERVIZI S.R.L.,VIA ALESSANDRO LAMARMORA 230,BRESCIA,Italy,3511,n.a.,227,240,250,320,314,291,273,278,133,n.a.,339,332,342,340,331,324,327,327,212
179.,A2A ENERGIEFUTURE S.P.A.,CSO DI PORTA VITTORIA 4,MILANO,Italy,3511,n.a.,112,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,307,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.
793.,A2A GENCOGAS S.P.A.,CSO DI PORTA VITTORIA 4,MILANO,Italy,3511,n.a.,96,34,38,47,58,63,42,46,0,n.a.,172,39,40,38,37,37,96,37,33
507.,A2L ENERGY S.R.L.,VIA GIOVANNI FALCONE E PAOLO BORSEL,NOVATE MILANESE,Italy,7112,n.a.,6,0,1,0,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,6,6,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.
63.,AB MAURI ITALY S.P.A.,VIA MILANO 42,CASTEGGIO,Italy,1089,n.a.,64,61,50,51,58,62,72,74,17,n.a.,176,177,161,167,178,163,154,n.a.,80
761.,ABBERTON LIMITED,07557772: CH DEFAULT ADDRESS,CARDIFF,United Kingdom,,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.
98.,ABBVIE S.R.L., S.R. 148 PONTINA KM. 52 SNC,APRILIA,Italy,2120,n.a.,"1,097","1,097",952,824,442,n.a.,n.a.,n.a.,n.a.,n.a.,"1,255","1,304","1,273","1,209","1,232",n.a.,n.a.,n.a.,n.a.
54.,ABET LAMINATI S.P.A.,VLE INDUSTRIA 21,BRA,Italy,2221,n.a.,134,128,121,124,128,133,136,114,152,n.a.,655,631,648,663,689,707,718,758,784
682.,ACCIAIERIA ARVEDI S.P.A.,VIA GAETANO DONIZETTI 20,MILANO,Italy,2410,n.a.,"1,600","1,618","1,645","1,751","1,719","1,813","1,360",727,870,n.a.,"1,446","1,427","1,414","1,393","1,364","1,313","1,232","1,014",858
546.,ACCIAIERIE BERTOLI SAFAU S.P.A.,VIA BUTTRIO 28,POZZUOLO DEL FRIULI,Italy,2410,722,605,680,766,670,894,825,445,696,997,"1,100","1,080","1,062","1,037","1,039","1,046","1,011",955,"1,055","1,116"
452.,ACCIAIERIE DI CALVISANO S.P.A.,VIA JOHN KENNEDY 101/A,CALVISANO,Italy,2410,n.a.,124,115,114,127,178,215,182,136,331,n.a.,109,108,106,117,123,126,266,143,134
875.,ACCIAIERIE DI SICILIA S.P.A.,STS PASSO CAVALIERE 1/A,CATANIA,Italy,2410,n.a.,102,103,106,134,159,168,133,103,224,n.a.,186,187,194,200,200,190,179,164,136
82.,ACCIAIERIE DI VERONA S.P.A., INDUSTRIALE SNC,OSOPPO,Italy,2410,n.a.,233,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,403,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.
355.,ACCIAIERIE VALBRUNA S.P.A.,VIA ALESSANDRO VOLTA 4,BOLZANO,Italy,2410,n.a.,709,833,841,752,920,"1,000",879,551,"1,046",n.a.,"2,412","2,412","2,406","2,387","2,616","2,579","2,610","2,736","2,690"
352.,ACCIAIERIE VENETE S.P.A.,RIV FRANCIA 9/11,PADOVA,Italy,2410,n.a.,636,698,746,786,784,985,761,340,996,n.a.,"1,152","1,123","1,038","1,106","1,094",n.a.,n.a.,"1,124","1,136"
659.,ACEA AMBIENTE S.R.L.,VIA GIORDANO BRUNO 7,TERNI,Italy,3511,n.a.,97,76,74,69,63,38,1,1,2,n.a.,200,126,112,110,121,100,17,17,23
255.,ACEA PRODUZIONE S.P.A.,PLE OSTIENSE 2,ROMA,Italy,3511,n.a.,53,60,56,62,55,26,n.a.,n.a.,n.a.,n.a.,83,76,24,78,77,77,n.a.,n.a.,n.a.
292.,ACEGASAPSAMGA S.P.A.,VIA DEL TEATRO 5,TRIESTE,Italy,3600,n.a.,489,504,495,562,626,585,506,477,481,n.a.,"1,771","1,748","1,935","1,849","1,876","1,757","1,735","1,364","1,705"
166.,ACQUA MINERALE SAN BENEDETTO S.P.A.,VLE KENNEDY 65,SCORZE,Italy,1107,n.a.,704,733,682,696,746,732,678,673,676,n.a.,"1,071","1,060","1,082","1,083","1,079","1,103","1,099","1,142","1,233"
515.,ACQUI ENERGIA S.P.A.,VIA VIVARO 2,ALBA,Italy,3530,n.a.,4,4,4,5,4,3,2,0,n.a.,n.a.,2,2,2,1,1,n.a.,n.a.,n.a.,n.a.
747.,ACSM-AGAM S.P.A.,VIA CANOVA 3,MONZA,Italy,3522,n.a.,205,221,215,261,262,218,214,214,155,n.a.,413,433,462,463,446,469,424,426,287
603.,ADDA ONDULATI SOCIETA' PER AZIONI,VIA DELLA REPUBBLICA 6,ANNONE DI BRIANZA,Italy,1721,n.a.,46,46,44,42,46,53,45,33,43,n.a.,180,175,177,182,180,179,178,174,175
440.,ADRIA POWER S.R.L.,VIA GRANAROLO 175/3,FAENZA,Italy,3511,n.a.,n.a.,0,0,0,0,0,0,0,3,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.
718.,AEM GESTIONI SRL,,,Italy,,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.
545.,AEROPORTI DI ROMA S.P.A IN FORMA ABBREVIATA ADR S.P.A,VIA DELL'AEROPORTO DI FIUMICINO 32,FIUMICINO,Italy,5223,n.a.,"1,237","1,024",816,703,625,641,615,578,585,n.a.,"3,039","2,808","2,365","2,152","2,318","2,399","2,356","2,352","2,327"
383.,AFL S.P.A.,VIA RUBINI 44,DONGO,Italy,2451,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.
299.,AFV ACCIAIERIE BELTRAME S.P.A.,VLE DELLA SCIENZA 81,VICENZA,Italy,2410,n.a.,923,"1,043","1,085","1,045","1,342","1,586","1,136",876,"2,039",n.a.,"1,983","1,998","2,168","2,356","2,518","2,613","2,605","2,725","2,706"
540.,AGC FLAT GLASS ITALIA S.R.L.,VIA GENOVA 31,CUNEO,Italy,2311,n.a.,324,279,254,271,209,224,201,189,240,n.a.,597,561,285,675,680,675,689,758,775
789.,AGRICOLA INDUSTRIALE DELLA FAELLA S.P.A.,LOC PRATIGLIOLMI 12,CASTELFRANCO PIANDISCO,Italy,2332,n.a.,6,5,8,7,6,10,10,10,12,n.a.,79,81,84,85,84,86,88,91,91
644.,AGRICOLA TRE VALLI - SOCIETA' COOPERATIVA,VIA VALPANTENA 18/G,VERONA,Italy,1012,n.a.,"2,107","3,105","3,135","3,251","3,136","2,940","2,510","2,290","2,386",n.a.,"6,812","6,760","6,613","6,284","6,161","6,067","5,977","5,163","5,699"
353.,AGRICONSERVE REGA SOCIETA' COOPERATIVA AGRICOLA,VIA VECCHIA STRIANO 3,SARNO,Italy,1030,n.a.,19,21,20,17,14,15,9,0,n.a.,n.a.,47,46,54,47,70,26,n.a.,n.a.,n.a.
