,Company name,"Street, no., building etc, line 1",City,Country,"NACE Rev. 2
Core code (4 digits)","Operating
revenue
(Turnover)
m EUR
2017","Operating
revenue
(Turnover)
m EUR
2016","Operating
revenue
(Turnover)
m EUR
2015","Operating
revenue
(Turnover)
m EUR
2014","Operating
revenue
(Turnover)
m EUR
2013","Operating
revenue
(Turnover)
m EUR
2012","Operating
revenue
(Turnover)
m EUR
2011","Operating
revenue
(Turnover)
m EUR
2010","Operating
revenue
(Turnover)
m EUR
2009","Operating
revenue
(Turnover)
m EUR
2008","Number of employees
2017","Number of employees
2016","Number of employees
2015","Number of employees
2014","Number of employees
2013","Number of employees
2012","Number of employees
2011","Number of employees
2010","Number of employees
2009","Number of employees
2008"
600.,AB AZUCARERA IBERIA SL.,"AVENIDA MANOTERAS, 46 ED DELTA NORTE",MADRID,Spain,1081,n.a.,400,348,477,615,679,511,444,264,481,n.a.,817,768,908,883,910,846,925,951,"1,028"
349.,ABELAN CATALANA SL.,CARRETERA C-14 (SALOU A PONTS. KM 26),ALCOVER,Spain,1712,n.a.,n.a.,25,25,19,36,32,23,29,39,n.a.,n.a.,142,146,112,120,117,120,118,123
430.,ACEITES DEL SUR-COOSUR SOCIEDAD ANONIMA,"CARRETERA LA CAROLINA, 29",VILCHES,Spain,1041,n.a.,n.a.,453,404,428,227,354,270,348,291,n.a.,n.a.,387,312,401,324,339,313,296,179
206.,ACERIA DE ALAVA SA,"POLIGONO INDUSTRIAL SARATXO, S/N",AMURRIO,Spain,2410,n.a.,200,200,284,255,298,264,204,161,373,n.a.,190,181,201,196,202,213,201,204,238
309.,ACEROS INOXIDABLES OLARRA SA,"CAMINO LARRABARRI (LARRONDO), 1",LOIU,Spain,2410,n.a.,169,186,201,194,213,261,252,126,279,n.a.,451,437,437,440,453,446,238,397,449
456.,ADAM ECOTECH SA,CARRETERA EXTREMADURA (KM 25),NAVALCARNERO,Spain,6209,n.a.,3,3,2,3,3,2,0,0,19,n.a.,10,11,11,10,9,9,3,6,121
866.,ADISSEO ESPANA SA,"CALLE MERINDAD CASTILLA LA VIEJA (POL. IND. VILLALONQUEJAR), 2",BURGOS,Spain,2014,n.a.,154,186,196,194,192,150,127,114,133,n.a.,123,118,120,124,121,115,114,118,126
369.,AG CEMENTOS BALBOA SA,"CARRETERA EXTREMADURA EX-101 (KM 14,500)",ALCONERA,Spain,2351,n.a.,20,27,22,24,33,46,44,49,83,n.a.,98,101,100,104,116,117,114,122,123
506.,AG SIDERURGICA BALBOA SA,"CARRETERA BADAJOZ, 32",JEREZ DE LOS CABALLEROS,Spain,2410,n.a.,254,216,187,281,339,395,326,278,419,n.a.,420,395,398,525,603,618,681,888,936
867.,AGC FLAT GLASS IBERICA SA,"CALLE MALLORCA, 272 - 274. PISO 6 . PTA 5A",BARCELONA,Spain,2311,n.a.,56,60,59,63,59,55,60,45,72,n.a.,172,168,167,172,181,189,167,166,168
827.,AGUSTIN BARRAL SA,"CALLE ANGEL GUIMERA, 3",LA POBLA DE LILLET,Spain,1721,n.a.,5,5,5,5,5,6,5,4,6,n.a.,25,23,23,23,26,28,30,30,30
479.,AHLSTROM BARCELONA SA,"CALLE CASP, 50 P. ENT PTA. 4",BARCELONA,Spain,1712,n.a.,0,1,1,2,6,10,12,12,16,n.a.,2,5,6,11,26,44,59,101,101
452.,AHLSTROM-MUNKSJO PAPER SA.,"BARRIO ELDUA ((CR TOLOSA LEIZA KM 6)), S/N",BERASTEGI,Spain,1712,n.a.,68,64,62,63,67,70,61,40,47,n.a.,156,157,162,165,162,161,160,159,161
158.,AIALA VIDRIO SA,"BARRIO MUNEGAZO, 22",LAUDIO/LLODIO,Spain,2313,n.a.,69,74,70,75,71,68,60,59,61,n.a.,348,362,377,387,403,412,423,423,421
198.,AIR EUROPA LINEAS AEREAS SA,"CARRETERA MA-19 (SON NOGUERA. CTRO EMPRESARIAL GLOBALIA), 19 (CTRA LLUCMAJOR KM 21,5)",LLUCMAJOR,Spain,5110,n.a.,"1,803","1,695","1,740","1,578","1,349","1,331","1,178","1,124","1,265",n.a.,"3,024","3,032","2,802","2,524","2,545","2,812","2,751","2,776","2,865"
562.,AIR NOSTRUM LINEAS AEREAS DEL MEDITERRANEO SA,"AVENIDA COMARQUES DEL PAIS VALENCIA, 2",QUART DE POBLET,Spain,5110,n.a.,438,422,414,407,486,578,528,561,682,n.a.,"1,398","1,391","1,485","1,592","1,696","1,796","1,760","1,977","2,125"
1028.,AIR PRODUCTS & CHEMICALS INC,"7201, HAMILTON BOULEVARD",ALLENTOWN,United States of America,2011,"6,935","6,723","6,984","8,296","7,538","7,434","7,164","6,313","5,638","7,281","15,300","18,600","19,700","21,200","21,600","21,300","18,900","18,300","18,900","21,100"
251.,ALCOHOLERA DE LA PUEBLA SA,"CARRETERA VILLACANAS, S/N",LA PUEBLA DE ALMORADIEL,Spain,4639,n.a.,22,22,26,35,42,31,22,25,51,n.a.,54,57,51,46,46,44,45,44,44
181.,ALIER SA,"CALLE DIPUTACIO, 238 -240 5 8A",BARCELONA,Spain,1712,n.a.,n.a.,n.a.,n.a.,87,93,86,76,59,82,n.a.,n.a.,n.a.,n.a.,169,173,169,170,172,187
186.,ALIMENTOS ESPANOLES ALSAT SL,"CALLE ISAAC PERAL (POL INDUSTRIAL), 64 12",DON BENITO,Spain,1032,n.a.,24,27,30,23,20,22,26,25,23,n.a.,82,76,77,69,72,81,76,78,75
774.,ALPIQ ENERGIA ESPANA SA,"CALLE PEDRO TEIXEIRA, 8 3",MADRID,Spain,3511,n.a.,57,45,55,223,667,514,347,56,21,n.a.,53,36,15,15,55,54,45,13,15
84.,ALTADIS SA,"CALLE VIA DE LOS POBLADOS, 3 EDIF. 7. PLANTAS 3 Y 4",MADRID,Spain,1200,n.a.,541,561,737,788,768,711,819,789,599,n.a.,980,"1,065","1,186","1,369","1,413","1,602","1,777","1,998","2,246"
516.,ALUDIUM TRANSFORMACION DE PRODUCTOS SOCIEDAD LIMITADA.,"BARRIO IBARGUREN, S/N",AMOREBIETA-ETXANO,Spain,2442,n.a.,486,464,416,419,414,472,467,375,549,n.a.,813,764,740,782,789,823,844,934,"1,302"
162.,ALUMINA ESPANOLA SA,"CALLE PEDRO TEIXEIRA, 8 PLT 3",MADRID,Spain,2442,n.a.,n.a.,471,395,403,399,415,377,296,365,n.a.,n.a.,484,486,497,497,484,478,460,463
644.,ALUMINIO ESPANOL SL,"CALLE PEDRO TEIXEIRA, 8 TERCERA PLANTA",MADRID,Spain,2442,n.a.,n.a.,"2,427","2,268","1,362",432,452,443,310,475,n.a.,n.a.,726,737,767,783,784,804,825,845
794.,ALUMINIOS CORTIZO SA,"PARQUE EXTRAMUNDI ((CR PADRON-NOIA. KM 2)), S/N",PADRON,Spain,2442,n.a.,228,219,176,153,159,168,178,147,186,n.a.,857,767,676,581,329,337,333,319,317
725.,ANDALUZA DE CALES SOCIEDAD ANONIMA,CARRETERA MONTELLANO (KM 3),MORON DE LA FRONTERA,Spain,2352,n.a.,14,15,15,15,15,17,15,12,12,n.a.,29,30,29,29,30,31,32,32,33
844.,ANDIA LACTEOS DE CANTABRIA SL,"BARRIO SAN ANTONIO (RENEDO), S/N",PIELAGOS,Spain,1051,n.a.,80,89,88,98,89,103,57,53,71,n.a.,129,145,140,140,155,141,128,125,108
824.,"ARCELORMITTAL ESPANA, SA","LUGAR RESIDENCIA LA GRANDA, S/N",GOZON,Spain,2410,n.a.,"2,823","2,878","2,514","2,448","2,400","2,698","2,430","2,182","3,150",n.a.,"6,807","6,164","6,210","6,289","6,030","6,780","6,977","6,978","7,190"
355.,ARCELORMITTAL GIPUZKOA SL,"CARRETERA NACIONAL I MADRID-IRUN ((BO. YURRE)), S/N KM 417 O 418",OLABERRIA,Spain,2410,n.a.,529,743,756,674,811,871,671,486,536,n.a.,819,932,941,973,"1,019",995,"1,081","1,060",448
702.,ARCELORMITTAL MADRID SL,"AVENIDA PRINCESA JUANA DE AUSTRIA (CTRA TOLEDO KM 9,200)",MADRID,Spain,2410,n.a.,n.a.,4,5,9,15,176,164,107,349,n.a.,n.a.,43,47,43,368,368,397,414,405
744.,ARCELORMITTAL SESTAO SOCIEDAD LIMITADA,"CALLE CHAVARRI, 6",SESTAO,Spain,2410,n.a.,65,272,307,352,176,549,639,347,845,n.a.,238,337,348,352,391,475,518,482,526
926.,ARCILLA BLANCA SA,"PARTIDA FOYES FERRAES, S/N",L'ALCORA,Spain,2320,n.a.,n.a.,59,52,48,44,43,34,30,52,n.a.,n.a.,71,71,72,72,73,71,85,94
219.,ARCILLAS ATOMIZADAS SA,"AVENIDA MANUEL ESCOBEDO (CAMI PAS DE FULLA), 30",ONDA,Spain,2331,n.a.,22,28,41,20,42,17,26,16,9,n.a.,23,23,23,19,16,16,16,14,29
322.,ARCILLEX SA,"CARRETERA LOECHES (A ALCALA KM 4,7)",TORRES DE LA ALAMEDA,Spain,2332,n.a.,0,0,1,2,2,2,3,3,5,n.a.,3,3,14,17,17,19,20,22,33
484.,ARCYDE SA,"LUGAR CAN DOMENECH, S/N",EL PAPIOL,Spain,2332,n.a.,n.a.,n.a.,n.a.,0,1,1,1,1,1,n.a.,n.a.,n.a.,n.a.,5,5,7,6,8,11
272.,ARGENTA CERAMICA SL,"POLIGONO IND VALL D ALBA (U.E 3-4, VIAL 5), PARC. 2",VALL D'ALBA,Spain,2331,n.a.,165,150,107,101,98,87,67,51,51,n.a.,316,303,277,275,233,228,189,185,189
731.,ASFALTOS ESPANOLES SA,"PASEO CASTELLANA, 141 PLT 19",MADRID,Spain,1920,n.a.,40,42,39,38,36,37,31,25,24,n.a.,113,113,117,115,119,118,108,115,114
