Country,Account Type,Account Holder Name,Company Registration No,Permit/Plan Date,Account status,Main Address Line,Postal Code,City,Allowance In Allocation In 2005,Allowance In Allocation In 2006,Allowance In Allocation In 2007,Allowance In Allocation In 2008,Allowance In Allocation In 2009,Allowance In Allocation In 2010,Allowance In Allocation In 2011,Allowance In Allocation In 2012,Allowance In Allocation In 2013,Allowance In Allocation In 2014,Allowance In Allocation In 2015,Allowance In Allocation In 2016,Allowance In Allocation In 2017,Allowance In Allocation In 2018,Allowance In Allocation In 2019,Allowance In Allocation In 2020,Verified Emissions In 2005,Verified Emissions In 2006,Verified Emissions In 2007,Verified Emissions In 2008,Verified Emissions In 2009,Verified Emissions In 2010,Verified Emissions In 2011,Verified Emissions In 2012,Verified Emissions In 2013,Verified Emissions In 2014,Verified Emissions In 2015,Verified Emissions In 2016,Verified Emissions In 2017,Verified Emissions In 2018,Verified Emissions In 2019,Verified Emissions In 2020,Units Surrendered In 2005,Units Surrendered In 2006,Units Surrendered In 2007,Units Surrendered In 2008,Units Surrendered In 2009,Units Surrendered In 2010,Units Surrendered In 2011,Units Surrendered In 2012,Units Surrendered In 2013,Units Surrendered In 2014,Units Surrendered In 2015,Units Surrendered In 2016,Units Surrendered In 2017,Units Surrendered In 2018,Units Surrendered In 2019,Units Surrendered In 2020
Austria,Aircraft Operator Account,Jetalliance Flugbetriebs GmbH,FN 203001g,2010-01-01,closed,Flugplatz 1,2542,Kottingbrunn,,,,,,,,671,,,,,,,,,,,,,,,,,Excluded,,,,,,,,,,,,,,,,,,,,,,,
Austria,Aircraft Operator Account,Glock GmbH,FN64142b,2010-01-01,closed,Loibstrasse 16,9170,Ferlach,,,,,,,,11,8,8,8,0,,,,,,,,,,,,1678,1692,1720,,,,,,,,,,,,,,1678,,3412,,,,,,
Austria,Aircraft Operator Account,Glock Services GmbH,FN329154a,2010-01-01,closed,Schneeweisshofweg 32,9521,Treffen am Ossiachersee,,,,,,,,94,,,,,,,,,,,,,,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,
Austria,Aircraft Operator Account,Austrian Airlines AG,111 000k,2010-01-01,open,Office Park 2,1300,Wien-Flughafen,,,,,,,,1541468,412575,412575,412575,412575,412575,412575,412575,412575,,,,,,,,828384,733862,716282,720505,763086,,,,,,,,,,,,828384,,1450145,720504,763086,,,,
Austria,Aircraft Operator Account,Tupack Verpackungen Gesellschaft m.b.H.,60238 k,2010-01-01,open,Warneckestrasse 5,1113,Wien,,,,,,,,25,16,16,16,16,16,16,16,16,,,,,,,,791,Excluded,Excluded,Excluded,Excluded,,,,,,,,,,,,791,,,,,,,,
Austria,Aircraft Operator Account,Air Charter Limited,FL-0001.021.205-3,2010-01-01,open,AEulestrasse 5,9490,Vaduz,,,,,,,,3,,,,,,,,,,,,,,,,297,Excluded,Excluded,Excluded,Excluded,,,,,,,,,,,,297,,,,,,,,
Austria,Aircraft Operator Account,International Jet Management GmbH,242653v,2009-01-01,open,Concorde Business Park 2/F14,2320,Wien-Schwechat,,,,,,,,493,146,146,146,146,146,146,146,146,,,,,,,,6358,2697,4647,5542,4647,,,,,,,,,,,,6358,,7344,5542,4647,,,,
Austria,Aircraft Operator Account,NIKI Luftfahrt GmbH,FN230533w,2010-01-01,open,"Office Park I, Top B03",1300,Vienna-Airport,,,,,,,,283624,141040,141040,141040,141040,141040,141040,141040,141040,,,,,,,,330525,226751,253650,255813,253289,,,,,,,,,,,,330525,,480401,255813,253289,,,,
Austria,Aircraft Operator Account,Ingrid Flick,,2010-01-01,closed,Auen Süduferstraße 11a,9220,Schiefling am Wörther See,,,,,,,,16,,,,,,,,,,,,,,,,555,Excluded,Excluded,Excluded,,,,,,,,,,,,,555,,,,,,,,
Austria,Aircraft Operator Account,InterSky Luftfahrt GmbH,FN 215648 f,2010-01-01,closed,Bahnhofstrasse 10,6900,Bregenz,,,,,,,,8369,7802,7802,7802,0,,,,,,,,,,,,16376,16656,13471,15330,,,,,,,,,,,,,16376,,30127,,13410,,,,
