Country,Account Type,Account Holder Name,Company Registration No,Permit/Plan Date,Account status,Main Address Line,Postal Code,City,Allowance In Allocation In 2005,Allowance In Allocation In 2006,Allowance In Allocation In 2007,Allowance In Allocation In 2008,Allowance In Allocation In 2009,Allowance In Allocation In 2010,Allowance In Allocation In 2011,Allowance In Allocation In 2012,Allowance In Allocation In 2013,Allowance In Allocation In 2014,Allowance In Allocation In 2015,Allowance In Allocation In 2016,Allowance In Allocation In 2017,Allowance In Allocation In 2018,Allowance In Allocation In 2019,Allowance In Allocation In 2020,Verified Emissions In 2005,Verified Emissions In 2006,Verified Emissions In 2007,Verified Emissions In 2008,Verified Emissions In 2009,Verified Emissions In 2010,Verified Emissions In 2011,Verified Emissions In 2012,Verified Emissions In 2013,Verified Emissions In 2014,Verified Emissions In 2015,Verified Emissions In 2016,Verified Emissions In 2017,Verified Emissions In 2018,Verified Emissions In 2019,Verified Emissions In 2020,Units Surrendered In 2005,Units Surrendered In 2006,Units Surrendered In 2007,Units Surrendered In 2008,Units Surrendered In 2009,Units Surrendered In 2010,Units Surrendered In 2011,Units Surrendered In 2012,Units Surrendered In 2013,Units Surrendered In 2014,Units Surrendered In 2015,Units Surrendered In 2016,Units Surrendered In 2017,Units Surrendered In 2018,Units Surrendered In 2019,Units Surrendered In 2020
Belgium,Aircraft Operator Account,TNT Airways,0466467258,2012-01-01,open,Rue de l'Aéroport 101,B-4460,Grâce-Hollogne,,,,,,,,575833,110679,110679,110679,110679,110679,110679,110679,110679,,,,,,,,641252,268863,267219,283467,311575,,,,,,,,,,,,641252,,536082,283467,311575,,,,
Belgium,Operator Holding Account,VPK Paper,454519927,2005-04-01,open,Oude Baan 120,9200,Dendermonde,200593,200593,200594,242137,242137,242137,242136,242136,112470,110279,108075,105858,103629,101390,99134,96879,198825,218881,187940,203760,207442,204179,207931,204050,203932,208374,207599,205319,,,,,198825,218881,187940,203760,207442,204179,207931,204050,203932,208374,207599,205319,,,,
Belgium,Operator Holding Account,Wienerberger,0448850870,2005-04-01,open,Kapel ter Bede 121,8500,Kortrijk,14642,14643,14643,14002,14002,14002,14002,14002,9161,9002,8841,8679,8514,8348,8180,8011,11337,11946,13358,13130,11289,12439,13714,14114,11450,11191,9660,9627,,,,,11337,11946,13358,13130,11289,12439,13714,14114,11450,11191,9660,9627,,,,
Belgium,Operator Holding Account,GlaxoSmithKline Biologicals,440872918,2005-04-01,open,Rue de l'institut  89,1330,Rixensart,18829,18830,18830,23401,23402,25588,26025,26025,19983,19636,19285,18930,18571,18209,17842,17474,10209,13542,18433,20424,20736,22613,25202,23572,23642,24912,25544,24937,,,,,10209,13542,18433,20424,20736,22613,25203,23571,23642,24912,25544,24937,,,,
Belgium,Operator Holding Account,Spanolux,0456573456,2005-04-01,open,Rue de la Forêt 2,6690,Vielsalm,37906,37907,37907,28918,28918,28918,28919,28919,91807,90212,58218,50937,43881,37052,30445,24085,22102,21557,22975,17698,10673,7403,6275,6821,6232,6946,7055,7183,,,,,22102,21557,22975,17698,10673,7403,6275,6821,6232,6946,7055,7183,,,,
Belgium,Operator Holding Account,Borealis Polymers,457665893,2005-04-01,open,Industrieweg 148,3583,Paal (Beringen),84344,84344,84343,70084,70084,70084,70084,70085,47478,46654,45819,44976,44125,43264,42393,41518,69600,64405,67280,66973,66287,63843,59316,57580,59840,55199,53379,50489,,,,,69600,64405,67280,66973,66287,63843,59316,57580,59840,55199,53379,50489,,,,
Belgium,Operator Holding Account,Ineos Manufacturing Belgium,0869926088,2005-04-01,open,SCHELDELAAN 482,2040,Antwerpen,22826,22826,22827,28053,28053,28053,28054,28054,24062,23644,23221,22794,22362,21926,21485,21041,26367,26756,30287,31856,29470,31851,26619,28286,39882,43901,47027,47376,,,,,26367,26756,30287,31856,29470,31851,26619,28286,39882,43901,47027,47376,,,,
Belgium,Operator Holding Account,SAPA RC Profiles,460274304,2005-01-01,closed,Route de Wallonie  1,7011,Ghlin,14188,14189,14189,,,,,,,,,,,,,,10668,11869,12561,,,,,,,,,,,,,,10668,11869,12561,,,,,,,,,,,,,
Belgium,Operator Holding Account,Carsid,460333492,2005-04-01,closed,Rue de Marchienne 42,6001,Marcinelle,411624,411624,411624,364644,364644,364644,364644,364644,,,,,,,,,359331,354522,213658,245426,0,0,0,0,Excluded,,,,,,,,359331,354522,213658,247049,,,,,,,,,,,,
Belgium,Operator Holding Account,Carsid,460333492,2005-04-01,closed,Rue de Marchienne 42,6001,Marcinelle,666420,666420,666420,590778,590779,590779,590779,590779,,,,,,,,,551900,567191,350498,380522,0,0,0,0,,,,,,,,,551900,567191,350498,421114,,,,,,,,,,,,
Belgium,Operator Holding Account,Carsid,460333492,2005-04-01,closed,Rue de Marchienne 42,6001,Marcinelle,1643835,1643835,1643835,1365711,1365711,1365712,1365712,1365712,,,,,,,,,308122,627580,982958,1264614,4881,0,0,0,,,,,,,,,308122,627580,982958,1264614,4881,,,,,,,,,,,
Belgium,Operator Holding Account,Carsid,460333492,2005-04-01,closed,Rue de Marchienne 42,6001,Marcinelle,135714,135714,135714,69691,0,0,0,0,,,,,,,,,129880,129006,114607,2828,,,,,,,,,,,,,129880,129006,114607,2828,,,,,,,,,,,,
Belgium,Operator Holding Account,Carsid,460333492,2005-04-01,closed,Rue de Marchienne 42,6001,Marcinelle,927660,927660,927660,1112462,1112462,1112462,1112462,1112462,0,0,0,0,0,0,0,0,682335,640454,375381,520896,1243,0,0,0,0,Excluded,Excluded,,,,,,682335,640454,375381,520896,1243,,,,,,,,,,,
Belgium,Operator Holding Account,Monsanto Europe,0460474539,2005-04-01,open,Scheldelaan 460,2040,Antwerpen,269482,269482,269481,315532,315532,315532,315532,315532,172906,169277,165636,161987,158327,154661,150979,147309,267527,266660,267200,263439,239921,251167,231189,236753,303328,283198,215118,213004,,,,,267527,266660,267200,263439,239921,251167,231189,236753,303328,283198,215118,213004,,,,
Belgium,Operator Holding Account,Veurne Snack Foods,462467195,2005-04-01,open,Albert I laan 33,8630,Veurne,13914,13914,13914,23670,25537,26062,26529,27067,15444,13821,12241,10710,9227,7791,6401,5064,17829,19331,20151,21085,20891,22575,21610,21641,22242,21590,22229,22898,,,,,17829,19331,20151,21085,20891,22575,21610,21641,22242,21590,22229,22898,,,,
Belgium,Operator Holding Account,Eternit,466059066,2005-04-01,open,Kuiermansstraat 1,1880,Kapelle-op-den-Bos,14138,14138,14139,29752,29752,29752,29751,29751,14053,12577,11140,9747,8396,7090,5825,4609,13216,12110,12665,19809,15664,13591,14140,13469,14350,12659,13959,14751,,,,,13216,12110,12665,19809,15664,13591,14140,13469,14350,12659,13959,14751,,,,
Belgium,Operator Holding Account,Promat International,466061145,2005-04-01,open,Bormstraat 24,2830,Willebroek,24072,24072,24073,29046,29046,29046,33473,33474,16829,15922,14408,12937,11511,10129,8787,7493,17348,17571,18715,31198,28585,27116,29582,29468,29634,29417,28328,30318,,,,,17348,17571,18715,31198,28585,27116,29582,29468,29634,29417,28328,30318,,,,
Belgium,Operator Holding Account,Unilin,0405414072,2005-04-01,open,Ooigemstraat 3,8710,Wielsbeke (Ooigem),32390,32390,32390,29053,29053,29053,29053,29052,27710,27228,17572,15374,13244,11183,9188,7269,32223,29947,30582,23655,11187,10566,10804,9108,8256,9842,10627,11577,,,,,32223,29947,30582,23655,11187,10566,10804,9108,8526,9572,10627,11577,,,,
Belgium,Operator Holding Account,Knauf,0467601069,2005-04-01,open,Rue de Maestricht 95,4600,Visé,57185,57186,57186,47836,47836,47837,47837,47837,37418,36768,36110,35446,34774,34096,33409,32721,47482,47959,47477,46082,47674,42747,39877,27137,28501,27926,29123,32648,,,,,47482,47959,47477,46082,47674,42747,39877,27137,28501,27926,29123,32648,,,,
Belgium,Operator Holding Account,3B-Fibreglass,467608690,2005-04-01,open,Rue de Maestricht 67-69,4651,Battice (Herve),111954,111955,111955,85974,85975,85975,85975,85975,53944,53007,52060,51102,50134,49155,48165,47173,72730,71598,71846,68399,39499,61296,59919,57779,58965,60764,60165,61271,,,,,72730,71598,71846,68399,39499,61296,59919,57779,58965,60764,60165,61271,,,,
Belgium,Operator Holding Account,MD Verre,0468377861,2005-04-01,open,Rue des Ayettes 2,7011,Ghlin (Mons),69755,69754,69754,65321,65321,65321,76836,76836,42894,42149,41395,40633,39863,39086,38299,37509,69656,66004,69945,60094,55449,40924,48126,43942,68984,59081,53467,53601,,,,,69656,66004,69945,60094,55449,40924,48126,43942,68984,59081,53467,53601,,,,
Belgium,Operator Holding Account,EDF Luminus,0471811661,2005-04-01,open,Rue du Marquis 1,1000,Bruxelles,887225,887225,887226,807066,807066,807066,807066,807067,,,,,,,,,935499,708055,619214,804564,858605,856654,443188,718358,708010,670058,620783,550079,,,,,935499,708055,619214,804564,858605,856654,443188,718358,708010,670058,620783,550079,,,,
