Country,Account Type,Account Holder Name,Company Registration No,Permit/Plan Date,Account status,Main Address Line,Postal Code,City,Allowance In Allocation In 2005,Allowance In Allocation In 2006,Allowance In Allocation In 2007,Allowance In Allocation In 2008,Allowance In Allocation In 2009,Allowance In Allocation In 2010,Allowance In Allocation In 2011,Allowance In Allocation In 2012,Allowance In Allocation In 2013,Allowance In Allocation In 2014,Allowance In Allocation In 2015,Allowance In Allocation In 2016,Allowance In Allocation In 2017,Allowance In Allocation In 2018,Allowance In Allocation In 2019,Allowance In Allocation In 2020,Verified Emissions In 2005,Verified Emissions In 2006,Verified Emissions In 2007,Verified Emissions In 2008,Verified Emissions In 2009,Verified Emissions In 2010,Verified Emissions In 2011,Verified Emissions In 2012,Verified Emissions In 2013,Verified Emissions In 2014,Verified Emissions In 2015,Verified Emissions In 2016,Verified Emissions In 2017,Verified Emissions In 2018,Verified Emissions In 2019,Verified Emissions In 2020,Units Surrendered In 2005,Units Surrendered In 2006,Units Surrendered In 2007,Units Surrendered In 2008,Units Surrendered In 2009,Units Surrendered In 2010,Units Surrendered In 2011,Units Surrendered In 2012,Units Surrendered In 2013,Units Surrendered In 2014,Units Surrendered In 2015,Units Surrendered In 2016,Units Surrendered In 2017,Units Surrendered In 2018,Units Surrendered In 2019,Units Surrendered In 2020
Bulgaria,Aircraft Operator Account,Air Via,355/2002510,2009-01-01,open,Block Rila 4,6600,Kurdjali,,,,,,,,60290,49383,49383,49383,49383,49383,49383,49383,49383,,,,,,,,43036,37872,38871,28248,31212,,,,,,,,,,,,43036,,76743,28248,31212,,,,
Bulgaria,Aircraft Operator Account,BH AIR,3972/2001110,2009-01-01,open,Dyakon Ignatii 7 street,1000,Sofia,,,,,,,,46217,41131,41131,41131,41131,41131,41131,41131,41131,,,,,,,,47432,41760,36878,33518,46814,,,,,,,,,,,,47432,,78638,33518,46814,,,,
Bulgaria,Aircraft Operator Account,Bulgaria Air,000633828,2009-01-01,open,bul. Brussels 1,1540,Sofia,,,,,,,,126175,80473,80473,80473,80473,80473,80473,80473,80473,,,,,,,,188181,132435,136545,145513,146784,,,,,,,,,,,,188181,,264945,149548,146784,,,,
Bulgaria,Aircraft Operator Account,Bulgarian Air Charter LTD,130317121,2009-01-01,open,str.Pavel Krassov 35,1138,Sofia,,,,,,,,36563,27529,27529,27529,27529,27529,27529,27529,27529,,,,,,,,39264,40418,54632,54252,64076,,,,,,,,,,,,39264,,95050,54252,64076,,,,
Bulgaria,Operator Holding Account,E.Miroglio AD,119603547,2008-11-30,open,Industrialen,8600,Yambol,,,,6605,8904,7673,7673,8000,5425,5331,5236,5139,5042,4944,4844,4744,,,3914,6605,6631,8116,8546,6963,7291,7337,8467,8343,,,,,,,,,13236,8116,8546,6963,7291,7337,8467,8343,,,,
Bulgaria,Operator Holding Account,E.Miroglio AD,119603547,2008-11-30,open,Industrialen,8800,Sliven,,,,6034,16894,14560,14560,15180,14134,13888,13639,13388,13135,12878,12619,12360,,,16574,6034,5262,5083,5276,4525,6395,3831,5270,6534,,,,,,,,,11296,5083,5276,4525,6395,3831,5270,6534,,,,
Bulgaria,Operator Holding Account,Vidahim  AD,815123066,2008-11-30,open,Ujna Promichlena Zona,3700,Vidin,,,,489222,583678,503018,503023,524461,68653,67458,66264,32535,0,0,0,0,,,572611,489222,535742,430294,380013,385374,357554,303279,98008,0,,,,,,,,,1024964,430294,380013,385374,357554,303279,98008,,,,,
Bulgaria,Operator Holding Account,Toplofikacia Pernik AD,113012360,2008-11-30,open,q.Mochino,2303,Pernik,,,,553311,663536,571840,571845,596217,218426,187011,158179,131891,108034,86518,67402,53387,,,768318,553311,402469,421894,487037,453960,480770,513948,456894,450971,,,,,,,,,955780,421894,487037,453960,480770,513948,456894,450971,,,,
Bulgaria,Operator Holding Account,“Trakya Glass Bulgaria” EAD,117606893,2008-11-30,open,q.Vabel,7700,Targovichte,,,,156774,208195,179424,179426,187073,165862,162980,160065,157120,154144,151138,148095,145041,,,157307,156774,171310,191975,193088,183615,189825,231410,315270,356858,,,,,,,,,328084,191975,193088,183615,189825,231410,315270,356858,,,,
Bulgaria,Operator Holding Account,Deven AD,103004325,2008-11-30,open,Promichlena zona-UG,9160,Devnia,,,,1508045,1653364,1527070,1849049,1927854,130130,116454,103166,90299,77835,65775,54106,42855,,,1622014,1508045,925045,1465565,1596833,1612604,1526718,1685183,1455781,1351671,,,,,,,,,2433090,1465565,1596833,1612604,1526718,1685183,1455781,1351671,,,,
