Country,Account Type,Account Holder Name,Company Registration No,Permit/Plan Date,Account status,Main Address Line,Postal Code,City,Allowance In Allocation In 2005,Allowance In Allocation In 2006,Allowance In Allocation In 2007,Allowance In Allocation In 2008,Allowance In Allocation In 2009,Allowance In Allocation In 2010,Allowance In Allocation In 2011,Allowance In Allocation In 2012,Allowance In Allocation In 2013,Allowance In Allocation In 2014,Allowance In Allocation In 2015,Allowance In Allocation In 2016,Allowance In Allocation In 2017,Allowance In Allocation In 2018,Allowance In Allocation In 2019,Allowance In Allocation In 2020,Verified Emissions In 2005,Verified Emissions In 2006,Verified Emissions In 2007,Verified Emissions In 2008,Verified Emissions In 2009,Verified Emissions In 2010,Verified Emissions In 2011,Verified Emissions In 2012,Verified Emissions In 2013,Verified Emissions In 2014,Verified Emissions In 2015,Verified Emissions In 2016,Verified Emissions In 2017,Verified Emissions In 2018,Verified Emissions In 2019,Verified Emissions In 2020,Units Surrendered In 2005,Units Surrendered In 2006,Units Surrendered In 2007,Units Surrendered In 2008,Units Surrendered In 2009,Units Surrendered In 2010,Units Surrendered In 2011,Units Surrendered In 2012,Units Surrendered In 2013,Units Surrendered In 2014,Units Surrendered In 2015,Units Surrendered In 2016,Units Surrendered In 2017,Units Surrendered In 2018,Units Surrendered In 2019,Units Surrendered In 2020
Croatia,Aircraft Operator Account,Croatia Airlines hrvatska zrakoplovna tvrtka d.d.,080037012,2010-01-01,open,"Bani 75 b, Buzin",10010,Zagreb,,,,,,,,66442,62717,85828,85828,85828,85828,85828,85828,85828,,,,,,,,130931,124782,150608,154276,162454,,,,,,,,,,,,130931,,275390,154276,162454,,,,
Croatia,Operator Holding Account,Wienerberger-Ilovac d.o.o.,020002278,2011-06-27,open,Donje Pokupje 2,47000,Karlovac,,,,,,,,,7837,12352,12132,11909,20484,20083,19679,19273,,,,,,,,,8499,9390,9472,11456,,,,,,,,,,,,,8199,9390,9772,11456,,,,
Croatia,Operator Holding Account,Sojara d.o.o.,080013325,2011-05-06,open,Gaženice b.b.,23000,Zadar,,,,,,,,,,,,,,,,,,,,,,,,,Excluded,Excluded,Excluded,Excluded,,,,,,,,,,,,,,,,,,,,
Croatia,Operator Holding Account,Podravka d.d.,010006549,2011-04-08,open,Ante Starčevića 32,48000,Koprivnica,,,,,,,,,4867,4356,3858,3376,2908,2455,2018,1596,,,,,,,,,6027,5182,4859,4784,,,,,,,,,,,,,6027,5182,4859,4784,,,,
Croatia,Operator Holding Account,DS Smith Belišće Croatia d.o.o.,030008963,2011-08-26,open,Vijenac Salamona Heinricha Gutmanna 30,31551,Belišće,,,,,,,,,77196,61802,60698,52808,71743,70342,68926,67505,,,,,,,,,60634,58794,43214,78139,,,,,,,,,,,,,60634,58794,43214,78139,,,,
Croatia,Operator Holding Account,Eko Međimurje d.d.,070013156,2011-12-22,open,"Braće Radić 37, Šenkovec",40000,Čakovec,,,,,,,,,7506,7377,7245,3036,2978,2920,2862,2802,,,,,,,,,6549,8834,1466,1579,,,,,,,,,,,,,6549,8834,1466,1579,,,,
Croatia,Operator Holding Account,Ferro-Preis d.o.o.,070039047,2011-08-26,open,Dr. Tome Bratkovića 2,40000,Čakovec,,,,,,,,,4069,3998,3926,3855,3782,3708,3633,3558,,,,,,,,,6108,7859,1413,691,,,,,,,,,,,,,6108,7859,1427,733,,,,
Croatia,Operator Holding Account,HEP-Toplinarstvo d.o.o.,080396278,2011-03-04,open,Miševečka 15a,10000,Zagreb,,,,,,,,,45,402,338,296,255,216,177,140,,,,,,,,,577,1052,913,605,,,,,,,,,,,,,577,1052,913,605,,,,
Croatia,Operator Holding Account,HEP-Proizvodnja d.o.o.,080434256,2011-06-27,open,Ulica grada Vukovara 37,10000,Zagreb,,,,,,,,,200475,176365,157135,138507,120459,102991,86082,69773,,,,,,,,,746207,368784,411123,439513,,,,,,,,,,,,,715751,399240,411123,439513,,,,
Croatia,Operator Holding Account,HEP-Proizvodnja d.o.o.,080434256,2011-06-27,open,Ulica grada Vukovara 37,10000,Zagreb,,,,,,,,,167026,143701,128557,113884,99665,85899,72571,59713,,,,,,,,,317752,263612,261850,242724,,,,,,,,,,,,,317752,263612,261850,242724,,,,
Croatia,Operator Holding Account,Metalska industrija Varaždin d.d.,070032908,2013-10-31,open,Fabijanska 33,42000,Varaždin,,,,,,,,,1535,1508,1481,1454,1426,1399,1370,1342,,,,,,,,,709,754,864,825,,,,,,,,,,,,,709,754,864,828,,,,
Croatia,Operator Holding Account,Podravka d.d.,010006549,2011-03-09,open,Ante Starčevića 32,48000,Koprivnica,,,,,,,,,7656,6851,6068,5309,4574,3862,3173,2510,,,,,,,,,6734,6561,6401,6467,,,,,,,,,,,,,6734,6561,6401,6467,,,,
Croatia,Operator Holding Account,Sladorana d.o.o.,030010011,2011-08-08,open,Šećerana 63,32270,Županja,,,,,,,,,50759,49217,47687,46175,44675,43193,41721,40274,,,,,,,,,38037,47003,25011,36247,,,,,,,,,,,,,38037,47003,25011,36247,,,,
Croatia,Operator Holding Account,GIRK Kalun d.d.,060106871,2011-10-17,open,Stjepana Radića 5,22320,Drniš,,,,,,,,,70158,68940,67707,66461,65202,63930,62643,61351,,,,,,,,,46488,37676,37127,32441,,,,,,,,,,,,,46488,37676,37127,32441,,,,
Croatia,Operator Holding Account,HEP-Proizvodnja d.o.o.,080434256,2011-03-09,open,Ulica grada Vukovara 37,10000,Zagreb,,,,,,,,,,,,,,,,,,,,,,,,,39074,4955,35464,278,,,,,,,,,,,,,39074,4955,35464,278,,,,
Croatia,Operator Holding Account,HEP-Proizvodnja d.o.o.,080434256,2011-03-25,open,Ulica grada Vukovara 37,10000,Zagreb,,,,,,,,,,,,,,,,,,,,,,,,,788766,734550,797450,845420,,,,,,,,,,,,,788766,734550,797450,845420,,,,
Croatia,Operator Holding Account,HEP-Proizvodnja d.o.o.,080434256,2011-03-25,open,Ulica grada Vukovara 37,10000,Zagreb,,,,,,,,,,,,,,,,,,,,,,,,,1396827,1417565,1233310,1409891,,,,,,,,,,,,,1396827,1417565,1233310,1409891,,,,
