Country,Account Type,Account Holder Name,Company Registration No,Permit/Plan Date,Account status,Main Address Line,Postal Code,City,Allowance In Allocation In 2005,Allowance In Allocation In 2006,Allowance In Allocation In 2007,Allowance In Allocation In 2008,Allowance In Allocation In 2009,Allowance In Allocation In 2010,Allowance In Allocation In 2011,Allowance In Allocation In 2012,Allowance In Allocation In 2013,Allowance In Allocation In 2014,Allowance In Allocation In 2015,Allowance In Allocation In 2016,Allowance In Allocation In 2017,Allowance In Allocation In 2018,Allowance In Allocation In 2019,Allowance In Allocation In 2020,Verified Emissions In 2005,Verified Emissions In 2006,Verified Emissions In 2007,Verified Emissions In 2008,Verified Emissions In 2009,Verified Emissions In 2010,Verified Emissions In 2011,Verified Emissions In 2012,Verified Emissions In 2013,Verified Emissions In 2014,Verified Emissions In 2015,Verified Emissions In 2016,Verified Emissions In 2017,Verified Emissions In 2018,Verified Emissions In 2019,Verified Emissions In 2020,Units Surrendered In 2005,Units Surrendered In 2006,Units Surrendered In 2007,Units Surrendered In 2008,Units Surrendered In 2009,Units Surrendered In 2010,Units Surrendered In 2011,Units Surrendered In 2012,Units Surrendered In 2013,Units Surrendered In 2014,Units Surrendered In 2015,Units Surrendered In 2016,Units Surrendered In 2017,Units Surrendered In 2018,Units Surrendered In 2019,Units Surrendered In 2020
Cyprus,Aircraft Operator Account,Cyprus Airways Public Ltd,REG. NO 314,2012-01-01,closed,"21, ALKEOU STREET",2404,Nicosia,,,,,,,,293216,250491,250491,0,0,,,,,,,,,,,,205158,160329,103858,Excluded,Excluded,,,,,,,,,,,,205158,,264187,,,,,,
Cyprus,Aircraft Operator Account,EDT Shipmanagment Ltd,HE 160122,2012-01-01,open,124 Ayias Paraskevis Street,3725,Limassol,,,,,,,,25,,,,,,,,,,,,,,,,196,Excluded,Excluded,Excluded,Excluded,,,,,,,,,,,,196,,,,,,,,
Cyprus,Aircraft Operator Account,KINGFISHER AIRLINES LTD,L85110KA1995PLCO18045,2012-01-01,open,"LEVEL 12, UB CITY, 24 VITTAL MALLYA ROAD",560001,BANGALORE,,,,,,,,168468,,,,,,,,,,,,,,,,Not Reported,Not Reported,Not Reported,Not Reported,Not Reported,,,,,,,,,,,,,,,,,,,,
Cyprus,Aircraft Operator Account,Air Executive Ltd,131699,2012-01-01,open,"49, Griva Digeni, Chrystalla Court, Office 41",6036,Larnaca,,,,,,,,7,,,,,,,,,,,,,,,,120,Excluded,Excluded,Excluded,Excluded,,,,,,,,,,,,,120,,,,,,,
Cyprus,Aircraft Operator Account,CSM Aviation Ltd,55774,2012-01-01,open,"COLUMBIA HOUSE, Dodekanison Street",4043,Limassol,,,,,,,,42,,,,,,,,,,,,,,,,589,Excluded,Excluded,Excluded,Excluded,,,,,,,,,,,,589,,,,,,,,
Cyprus,Operator Holding Account,Electricity Authority of Cyprus,19101266G,2006-08-09,open,11 Amfipoleos Street,2025,Strovolos,,,,1259446,1396493,1557277,1762358,2019293,868904,757188,657885,546169,434452,322736,198607,0,1245389,1565277,1676010,1703920,1788007,2082321,1127595,420127,1405691,1674982,1807252,1926291,,,,,,2810666,1676010,1703920,1788007,2082321,1127595,420127,1405691,1674982,1807252,1926291,,,,
Cyprus,Operator Holding Account,Electricity Authority of Cyprus,19101266G,2006-08-09,open,11 Amfipoleos Street,2025,Strovolos,,,,533473,546763,550022,590958,648445,482659,420602,365442,303385,241329,179273,110322,0,610670,497481,484318,492824,446322,283476,525568,565727,11711,10893,12742,25727,,,,,,1108151,484318,492824,446322,283476,525568,565727,11711,10893,12742,25727,,,,
Cyprus,Operator Holding Account,Electricity Authority of Cyprus,19101266G,2006-08-09,open,11 Amfipoleos Street,2025,Strovolos,,,,1237780,1361435,1417370,1513658,1600886,1167514,1017405,883975,733866,583757,433648,266860,0,1615785,1590622,1641339,1770549,1758138,1502204,2074875,2560075,1412330,1254445,1203009,1347983,,,,,,3206407,1641339,1770549,1758138,1502204,2074875,2560075,,2666775,1203009,1347983,,,,
Cyprus,Operator Holding Account,Vassiliko Cement Works Public Company Ltd,E1210,2006-08-09,open,"Vassiliko Cement Company, Mari, 7736, Larnaca",7736,Larnaka,,,,1182506,1182506,1244479,1368423,1720968,838904,824333,809591,794695,779638,764435,749043,733597,1145721,1119609,1139518,1125221,1064968,856827,740228,798264,1173202,1506658,1326076,1323548,,,,,,2265330,1139518,1125221,1064968,856827,740228,798264,1173202,1506658,1326076,1323548,,,,
Cyprus,Operator Holding Account,Vassiliko Cement Works Public Company Ltd,E1210,2006-08-09,closed,"Vassiliko Cement Company, Mari, 7736, Larnaca",7736,Larnaka,,,,352544,352544,352544,352544,0,,,,,,,,,335599,351890,320088,349957,219912,268602,85441,0,,,,,,,,,,687489,320088,349957,219912,268602,85441,,,,,,,,,
Cyprus,Operator Holding Account,Christos Poyiadjis,E7473,2006-08-09,open,"16th km old Nicosia-Limassol road, 1306, Nisou Industrial Area, Nicosia",1306,Nicosia,,,,32151,32151,32151,32151,32155,6993,3436,3375,3312,3249,3186,3122,3057,15908,17191,18701,17347,10554,7607,5529,4807,2526,2084,2780,2843,,,,,,33099,18701,17347,10554,7607,5529,4807,2526,2084,2780,2843,,,,
Cyprus,Operator Holding Account,Marios Hadjigavriel,E65628,2006-08-09,open,"Socratous 7, Viomichaniki Zoni Geriou, 2250, Nicosia",2250,Nicosia,,,,32855,32855,32855,32855,32859,7637,3752,3685,3617,5072,4973,4873,4772,16604,19874,18575,19849,14178,9099,6137,5183,3017,2974,3130,3984,,,,,,36478,18575,19849,14178,9099,6137,5183,3017,2974,3130,3984,,,,
Cyprus,Operator Holding Account,Kyriakos Chrysafis,E11051,2006-08-09,open,"Larnaca-Limassol Road, Kalo Chorion, 6305, Larnaca",6305,Larnaca,,,,33926,33926,33926,33926,33930,7348,3610,3545,3480,4913,4817,4720,4623,17133,18674,18119,18415,11393,7654,5618,5365,2964,2839,3351,4590,,,,,,35807,18119,18415,11393,7654,5618,5365,2964,2839,3351,4590,,,,
Cyprus,Operator Holding Account,George Ntoas,E27769,2006-08-09,open,P.O. Box 27365,1644,Nicosia,,,,34723,34723,34723,34723,34723,6868,3374,3314,3253,4555,4466,4376,4286,17103,17297,18087,17131,9500,8035,5930,4977,2857,3014,2666,3620,,,,,,34400,18087,17131,9500,,13965,4977,2857,3014,2666,3620,,,,
Cyprus,Operator Holding Account,Yiannakis Melios,E3403,2006-08-09,open,"Parodos Dimitri Stavrou, Geri, 2224, Nicosia",2224,Nicosia,,,,33997,33998,33998,33998,33998,7412,3642,3576,3510,4692,4600,4508,4414,18943,18248,17535,17652,10849,7378,5870,5146,3112,3183,2763,3824,,,,,,37191,17535,17652,10849,7378,5870,5146,3112,3183,2763,3824,,,,
Cyprus,Operator Holding Account,"TOUVLOPOIEIA PALAIKYTHROU ""O GIGAS"" LTD",HE8189,2006-08-09,open,INOMENON ETHNON 61,2548,NICOSIA,,,,29647,29647,29647,29647,29649,9566,3404,3343,0,0,0,0,0,13257,17224,17450,17206,11919,9441,6527,6252,1844,1837,0,0,,,,,,30481,17450,17206,11919,9441,6527,6252,1844,1837,,,,,,
