Country,Account Type,Account Holder Name,Company Registration No,Permit/Plan Date,Account status,Main Address Line,Postal Code,City,Allowance In Allocation In 2005,Allowance In Allocation In 2006,Allowance In Allocation In 2007,Allowance In Allocation In 2008,Allowance In Allocation In 2009,Allowance In Allocation In 2010,Allowance In Allocation In 2011,Allowance In Allocation In 2012,Allowance In Allocation In 2013,Allowance In Allocation In 2014,Allowance In Allocation In 2015,Allowance In Allocation In 2016,Allowance In Allocation In 2017,Allowance In Allocation In 2018,Allowance In Allocation In 2019,Allowance In Allocation In 2020,Verified Emissions In 2005,Verified Emissions In 2006,Verified Emissions In 2007,Verified Emissions In 2008,Verified Emissions In 2009,Verified Emissions In 2010,Verified Emissions In 2011,Verified Emissions In 2012,Verified Emissions In 2013,Verified Emissions In 2014,Verified Emissions In 2015,Verified Emissions In 2016,Verified Emissions In 2017,Verified Emissions In 2018,Verified Emissions In 2019,Verified Emissions In 2020,Units Surrendered In 2005,Units Surrendered In 2006,Units Surrendered In 2007,Units Surrendered In 2008,Units Surrendered In 2009,Units Surrendered In 2010,Units Surrendered In 2011,Units Surrendered In 2012,Units Surrendered In 2013,Units Surrendered In 2014,Units Surrendered In 2015,Units Surrendered In 2016,Units Surrendered In 2017,Units Surrendered In 2018,Units Surrendered In 2019,Units Surrendered In 2020
France,Aircraft Operator Account,AIR FRANCE,420495178,2012-01-01,open,45 RUE DE PARIS,95747,ROISSY CDG CEDEX,,,,,,,,12069402,1343461,1343461,1343461,1343461,1343461,1343461,1343461,1343461,,,,,,,,3769484,2610545,2428578,2428126,2318274,,,,,,,,,,,,3769484,,5039123,2428126,2318274,,,,
France,Aircraft Operator Account,HOP - BRITAIR,927 350 363,2012-01-01,closed,AEROPORT - CS 27925,29679,MORLAIX CEDEX,,,,,,,,78366,74042,74042,74042,74042,,,,,,,,,,,,160916,38788,0,0,0,,,,,,,,,,,,160916,,38788,,,,,,
France,Aircraft Operator Account,MEA AIR LIBAN,1838 Beirut - Lebanon,2012-01-01,open,RAFIC HARIRI INTERNATIONAL AIRPORT,1107 2801,BEIRUT,,,,,,,,160498,37,37,37,37,37,37,37,37,,,,,,,,167,43,123,43,112,,,,,,,,,,,,167,,166,43,112,,,,
France,Aircraft Operator Account,SPECIALISED TRANSPORTATION LIMITED,058106C,2012-01-01,open,5 MARKET PLACE,IM51AB,PEEL,,,,,,,,35,8,8,8,8,8,8,8,8,,,,,,,,327,Excluded,400,Excluded,Excluded,,,,,,,,,,,,327,,195,205,,,,,
France,Aircraft Operator Account,AVIALAIR,415395664,2012-01-01,open,"aértogare aviation d'affaires, aéroport le Bourget",93350,LE BOURGET,,,,,,,,25,11,11,11,11,11,11,11,11,,,,,,,,328,Excluded,Excluded,Excluded,Excluded,,,,,,,,,,,,328,,,,,,,,
France,Aircraft Operator Account,ACTIFLY,504866211,2012-01-01,open,32 AVENUE HOCHE,75008,PARIS,,,,,,,,21,8,8,8,8,8,8,8,8,,,,,,,,346,Excluded,Excluded,Excluded,Excluded,,,,,,,,,,,,346,,,,,,,,
France,Aircraft Operator Account,ACCOR SA,602036444,2012-01-01,open,110 avenue de France,75013,Paris,,,,,,,,19,13,13,13,13,13,13,13,13,,,,,,,,278,Excluded,Excluded,Excluded,Excluded,,,,,,,,,,,,278,,,,,,,,
France,Aircraft Operator Account,THE DOW CHEMICAL COMPANY,0414128,2012-01-01,open,MSB INERNATIONAL AIRPORT,48623,FREELAND,,,,,,,,30,5,5,5,5,5,5,5,5,,,,,,,,194,Excluded,40,143,72,,,,,,,,,,,,194,,40,143,72,,,,
France,Aircraft Operator Account,AIR ALGERIE,00B0091100,2012-01-01,open,1 PLACE MAURICE AUDIN,16027,Algiers,,,,,,,,153736,27,27,27,27,27,27,27,27,,,,,,,,95,42,158,267,165,,,,,,,,,,,,95,,200,267,165,,,,
France,Aircraft Operator Account,ASL AIRLINES FRANCE SA,344461546,2012-01-01,open,15 RUE DU HAUT DE LAVAL,93290,TREMBLAY EN FRANCE,,,,,,,,117048,60684,60684,60684,60684,60684,60684,60684,60684,,,,,,,,192045,124324,124519,134881,119720,,,,,,,,,,,,192045,,248843,134881,119720,,,,
France,Aircraft Operator Account,AIRBY,442536264,2012-01-01,open,32 av Hoche,75008,PARIS,,,,,,,,115,24,24,24,24,24,24,24,24,,,,,,,,425,216,332,374,198,,,,,,,,,,,,425,,548,374,198,,,,
France,Aircraft Operator Account,AIRBUS TRANSPORT INTERNATIONAL,408772234,2012-01-01,open,12 Rue Gabriel Clerc,31707,BLAGNAC,,,,,,,,33657,31799,31799,31799,31799,31799,31799,31799,31799,,,,,,,,84327,88488,90555,95773,114282,,,,,,,,,,,,84327,,179043,95773,114282,,,,
