Country,Account Type,Account Holder Name,Company Registration No,Permit/Plan Date,Account status,Main Address Line,Postal Code,City,Allowance In Allocation In 2005,Allowance In Allocation In 2006,Allowance In Allocation In 2007,Allowance In Allocation In 2008,Allowance In Allocation In 2009,Allowance In Allocation In 2010,Allowance In Allocation In 2011,Allowance In Allocation In 2012,Allowance In Allocation In 2013,Allowance In Allocation In 2014,Allowance In Allocation In 2015,Allowance In Allocation In 2016,Allowance In Allocation In 2017,Allowance In Allocation In 2018,Allowance In Allocation In 2019,Allowance In Allocation In 2020,Verified Emissions In 2005,Verified Emissions In 2006,Verified Emissions In 2007,Verified Emissions In 2008,Verified Emissions In 2009,Verified Emissions In 2010,Verified Emissions In 2011,Verified Emissions In 2012,Verified Emissions In 2013,Verified Emissions In 2014,Verified Emissions In 2015,Verified Emissions In 2016,Verified Emissions In 2017,Verified Emissions In 2018,Verified Emissions In 2019,Verified Emissions In 2020,Units Surrendered In 2005,Units Surrendered In 2006,Units Surrendered In 2007,Units Surrendered In 2008,Units Surrendered In 2009,Units Surrendered In 2010,Units Surrendered In 2011,Units Surrendered In 2012,Units Surrendered In 2013,Units Surrendered In 2014,Units Surrendered In 2015,Units Surrendered In 2016,Units Surrendered In 2017,Units Surrendered In 2018,Units Surrendered In 2019,Units Surrendered In 2020
Greece,Aircraft Operator Account,KENRICK LTD,513659359,2010-01-01,open,15 NEVATIM ST.,42935,HADAR-AM,,,,,,,,23,1,1,1,1,1,1,1,1,,,,,,,0,17,Excluded,Excluded,Excluded,Excluded,,,,,,,,,,,,21,,,,,,,,
Greece,Aircraft Operator Account,OLYMPIC AIR,60016/04/b/06/92,2009-01-01,open,"Athens Iinternational Airport,",19019,SPATA,,,,,,,,234372,208642,208642,208642,208642,208642,208642,208642,208642,,,,,,,0,174877,89476,21729,28264,133684,,,,,,,,,,,,174877,,111205,28264,133684,,,,
Greece,Aircraft Operator Account,Universal Air Link Inc,4338700,2010-01-01,open,10 -12 Kifissias Avenue,15125,ATHENS,,,,,,,,21,13,13,13,13,13,13,13,13,,,,,,,0,544,Excluded,Excluded,Excluded,Excluded,,,,,,,,,,,,544,,,,,,,,
Greece,Aircraft Operator Account,AEGEAN AIRLINES S.A.,32603/06/13/95/3,2010-01-01,open,"Biltanioti 31, kifisia",14564,ATHENS,,,,,,,,444591,396419,396419,396419,396419,396419,396419,396419,396419,,,,,,,0,607178,608431,756429,876953,831065,,,,,,,,,,,,607178,,1364860,876953,831065,,,,
Greece,Aircraft Operator Account,FIRST AIRWAYS,66993/01NT/B/08/296,2010-01-01,open,"127, VOULIAGMENIS AVENUE",16674,ATHENS,,,,,,,,22,9,9,9,9,9,9,9,9,,,,,,,0,210,Excluded,Excluded,Excluded,Excluded,,,,,,,,,,,,210,,,,,,,,
Greece,Aircraft Operator Account,ASTRA AIRLINES S.A.,AOC:GR-028,2010-01-01,open,MAKEDONIA AIRPORT,57001,THERMI THESSALONIKI,,,,,,,,3876,2226,2226,2226,2226,2226,2226,2226,2226,,,,,,,0,6597,4598,7742,13051,37576,,,,,,,,,,,,6597,,12340,13051,12462,,,,
Greece,Aircraft Operator Account,SKY EXPRESS S.A.,58112/70/B/05/08,2010-01-01,open,Heraklion International Airport,71601,HERAKLION,,,,,,,,4646,2956,2956,2956,2956,2956,2956,2956,2956,,,,,,,0,0,Excluded,Excluded,Excluded,Excluded,,,,,,,,,,,,,,,,,,,,
Greece,Aircraft Operator Account,"CJSC ""AEROSVIT AIRLINES""",20048090,2010-01-01,open,"Borispil SIA, Borispil-7",08324,Village Gora,,,,,,,,29930,131,131,131,131,131,131,131,131,,,,,,,0,Not Reported,Excluded,Excluded,Excluded,Excluded,,,,,,,,,,,,,,,,,,,,
Greece,Aircraft Operator Account,OXY USA,135519445,2010-01-01,open,10676 SHERMAN WAY,91505,BURBANK,,,,,,,,46,1,1,1,1,1,1,1,1,,,,,,,0,46,0,Excluded,Excluded,Excluded,,,,,,,,,,,,,,46,,,,,,
Greece,Operator Holding Account,ΠΑΝΑΓΙΩΤΟΠΟΥΛΟΣ ΑΒΕΕ,047599925000,2005-01-01,open,12ο χλμ  ΠΥΡΓΟΥ ΑΜΑΛΙΑΔΑΣ ΠΑΤΡΩΝ,27200,ΑΜΑΛΙΑΔΑ,16932,16932,16932,18630,18630,18630,18630,18630,8192,9241,9076,8909,8741,8570,8397,8225,16390,14165,18402,16226,13311,10345,8515,5031,5403,4364,5180,6968,,,,,16390,14165,18402,16226,13311,10345,8515,5031,5403,4364,5180,6968,,,,
Greece,Operator Holding Account,ΔΕΗ  ΑΕ,000786301000,2005-01-01,open,ΧΑΛΚΟΚΟΝΔΥΛΗ 29,10432,ΑΘΗΝΑ,2643743,2643743,2643743,1667927,1667927,1667927,1667927,1667927,,,,,,,,,1955721,1723533,2031377,1846726,1875199,2196000,1900480,1877823,1452834,2098480,1605506,1557925,,,,,1955721,1723533,2031377,1846726,1875199,2196000,1900480,1877823,1452834,2098480,1605506,1557925,,,,
Greece,Operator Holding Account,ΔΕΗ  ΑΕ,000786301000,2005-01-01,open,ΧΑΛΚΟΚΟΝΔΥΛΗ 29,10432,ΑΘΗΝΑ,667589,667589,667589,639361,639361,639361,639361,639361,,,,,,,,,930813,852916,1018981,976083,683421,626593,126792,24390,835,462,10,71,,,,,930813,852916,1018981,976083,683421,626593,126792,24390,835,462,10,71,,,,
Greece,Operator Holding Account,ΔΕΗ  ΑΕ,000786301000,2005-01-01,open,ΧΑΛΚΟΚΟΝΔΥΛΗ 29,10432,ΑΘΗΝΑ,3135765,3135765,3135765,2992891,2992891,2992891,2992891,2992891,,,,,,,,,3055402,3509203,4191488,4092188,2700711,1617813,1566646,1249799,910971,876120,570065,593781,,,,,3055402,3509203,4191488,4092188,2700711,1617813,1566646,1249799,910971,876120,570065,593781,,,,
Greece,Operator Holding Account,ΔΕΗ  ΑΕ,000786301000,2005-01-01,open,ΧΑΛΚΟΚΟΝΔΥΛΗ 29,10432,ΑΘΗΝΑ,949161,949161,949161,740962,740962,740962,740962,740962,,,,,,,,,972522,880058,1128440,1222408,799406,526950,508677,375656,288768,148404,182526,668334,,,,,972522,880058,1128440,1222408,799406,526950,508677,375656,288768,148404,182526,668334,,,,
Greece,Operator Holding Account,ΔΕΗ  ΑΕ,000786301000,2005-01-01,open,ΧΑΛΚΟΚΟΝΔΥΛΗ 29,10432,ΑΘΗΝΑ,1103991,1103991,1103991,893558,893558,893558,893558,893558,,,,,,,,,1115197,1101392,1035194,1104833,582721,44421,3250,26469,400024,557941,666918,535119,,,,,1115197,1101392,1035194,1104833,582721,44421,3250,26469,400024,557941,666918,535119,,,,
Greece,Operator Holding Account,ΔΕΗ  ΑΕ,000786301000,2005-01-01,open,ΧΑΛΚΟΚΟΝΔΥΛΗ 29,10432,ΑΘΗΝΑ,992150,992150,992150,781366,781366,781366,781366,781366,,,,,,,,,870433,870305,816713,809374,801628,804496,769020,743481,687424,714511,724933,664755,,,,,870433,870305,816713,809374,801628,804496,769020,743481,687424,714511,724933,664755,,,,
Greece,Operator Holding Account,ΚΕΡΑΜΟΠΟΙΙΑ ΑΦΟΙ ΣΟΛΩΜΟΥ ΟΕ,026493340000,2005-01-01,open,2ο χλμ ΕΛΑΣΣΟΝΑΣ ΛΑΡΙΣΑΣ,40200,ΛΑΡΙΣΑ,15035,15035,15035,23044,23044,23044,23044,23044,616,605,594,583,572,561,550,538,17296,23077,17060,15656,5481,1607,709,492,0,0,0,0,,,,,17296,23077,17060,15656,5481,1607,709,492,,,,,,,,
