Country,Account Type,Account Holder Name,Company Registration No,Permit/Plan Date,Account status,Main Address Line,Postal Code,City,Allowance In Allocation In 2005,Allowance In Allocation In 2006,Allowance In Allocation In 2007,Allowance In Allocation In 2008,Allowance In Allocation In 2009,Allowance In Allocation In 2010,Allowance In Allocation In 2011,Allowance In Allocation In 2012,Allowance In Allocation In 2013,Allowance In Allocation In 2014,Allowance In Allocation In 2015,Allowance In Allocation In 2016,Allowance In Allocation In 2017,Allowance In Allocation In 2018,Allowance In Allocation In 2019,Allowance In Allocation In 2020,Verified Emissions In 2005,Verified Emissions In 2006,Verified Emissions In 2007,Verified Emissions In 2008,Verified Emissions In 2009,Verified Emissions In 2010,Verified Emissions In 2011,Verified Emissions In 2012,Verified Emissions In 2013,Verified Emissions In 2014,Verified Emissions In 2015,Verified Emissions In 2016,Verified Emissions In 2017,Verified Emissions In 2018,Verified Emissions In 2019,Verified Emissions In 2020,Units Surrendered In 2005,Units Surrendered In 2006,Units Surrendered In 2007,Units Surrendered In 2008,Units Surrendered In 2009,Units Surrendered In 2010,Units Surrendered In 2011,Units Surrendered In 2012,Units Surrendered In 2013,Units Surrendered In 2014,Units Surrendered In 2015,Units Surrendered In 2016,Units Surrendered In 2017,Units Surrendered In 2018,Units Surrendered In 2019,Units Surrendered In 2020
Hungary,Aircraft Operator Account,WIZZ AIR HUNGARY LTD,01-09-964332,2010-01-01,open,KŐÉR U 2/A,1103,Budapest,,,,,,,,789314,734441,734441,734441,734441,734441,734441,734441,734441,,,,,,,,1097535,1093495,1255436,1548220,1832991,,,,,,,,,,,,1097535,,2348931,1548220,1832991,,,,
Hungary,Aircraft Operator Account,MALEV,01-10-042034,2010-01-01,closed,Könyves Kálmán krt. 12-14.,1097,Budapest,,,,,,,,264086,,,,,,,,,,,,,,0,0,33878,,,,,,,,,,,,,,,,33878,,,,,,,,
Hungary,Aircraft Operator Account,CityLine Hungary Kft,13-09-09-3453,2010-01-01,open,Fő utca 137.,2220,Vecsés,,,,,,,,3881,3305,3305,3305,3305,3305,3305,3305,3305,,,,,,0,0,220,Excluded,Excluded,Excluded,Excluded,,,,,,,,,,,,220,,,,,,,,
Hungary,Aircraft Operator Account,Travel Service kft,01-09-693315,2010-01-01,open,Wesselényi u. 16/A,1077,Budapest,,,,,,,,40137,5702,5702,5702,5702,5702,5702,5702,5702,,,,,,,0,26832,4143,9544,10139,10271,,,,,,,,,,,,26832,,13687,10139,10271,,,,
Hungary,Operator Holding Account,"AES Borsodi Energetikai Kft. ""f.a""",05-09-003017,2005-01-01,closed,Ipari út,3700,Kazincbarcika,523700,523700,523700,233185,233185,233565,233565,0,0,,,,,,,,331095,358830,465675,519742,477764,479380,54236,Not Reported,Not Reported,Not Reported,,,,,,,331095,358830,465675,519742,477764,479380,54236,,,,,,,,,
Hungary,Operator Holding Account,"AES Borsodi Energetikai Kft. ""f.a""",05-09-003017,2005-01-01,closed,Ipari út,3700,Kazincbarcika,464930,464930,464930,156306,156306,156561,156561,0,0,,,,,,,,343954,339891,346520,266877,81554,5912,7805,Not Reported,Not Reported,Not Reported,,,,,,,343954,339891,346520,266877,81554,5912,7805,,,,,,,,,
Hungary,Operator Holding Account,AES Tisza Erõmû Kft.,05-09-007689,2005-01-01,closed,Verebély László utca,3580,Tiszaújváros,1435860,1435860,1435860,790781,790781,792068,792068,792068,0,0,0,0,0,0,0,0,862381,1076048,1218823,1153755,851167,860670,675455,100990,0,,,,,,,,862381,1076048,1218823,1153755,851167,860670,,776445,,,,,,,,
Hungary,Operator Holding Account,"Riegel Pharma Kft. ""FA""",01-09-262916,2005-01-01,closed,Bányalég utca,1225,Budapest,10715,10715,10715,6661,6661,6661,6661,6661,,,,,,,,,6713,5670,3793,3446,2996,2396,2328,2167,,,,,,,,,6713,5670,3793,3446,2996,2396,2329,2167,,,,,,,,
Hungary,Operator Holding Account,EVONIK Agroferm Fermentációipari ZRt.,09-10-000008,2005-01-01,open,Hrsz,4183,Kaba,31353,31353,31353,24012,24012,24012,24012,24012,18366,18047,17724,17398,17069,16736,16399,16061,24198,22021,9857,17528,14633,16163,15712,16214,16457,19276,19209,19110,,,,,24198,21803,10075,17528,14633,16163,15712,16214,16457,19276,19209,19110,,,,
Hungary,Operator Holding Account,Arconic-Köfém Székesfehérvári Könnyűfémmű Kft,07-09-001598,2005-01-01,open,Verseci út,8000,Székesfehérvár,114209,114209,114209,98085,98085,98085,98085,98085,81952,80528,79088,77633,76162,74677,73173,71664,98846,104300,96424,91570,57197,68482,69707,65603,72054,76292,76303,77118,,,,,98846,104300,96424,91570,57197,68482,69707,65603,72054,76292,76303,77118,,,,
