Country,Account Type,Account Holder Name,Company Registration No,Permit/Plan Date,Account status,Main Address Line,Postal Code,City,Allowance In Allocation In 2005,Allowance In Allocation In 2006,Allowance In Allocation In 2007,Allowance In Allocation In 2008,Allowance In Allocation In 2009,Allowance In Allocation In 2010,Allowance In Allocation In 2011,Allowance In Allocation In 2012,Allowance In Allocation In 2013,Allowance In Allocation In 2014,Allowance In Allocation In 2015,Allowance In Allocation In 2016,Allowance In Allocation In 2017,Allowance In Allocation In 2018,Allowance In Allocation In 2019,Allowance In Allocation In 2020,Verified Emissions In 2005,Verified Emissions In 2006,Verified Emissions In 2007,Verified Emissions In 2008,Verified Emissions In 2009,Verified Emissions In 2010,Verified Emissions In 2011,Verified Emissions In 2012,Verified Emissions In 2013,Verified Emissions In 2014,Verified Emissions In 2015,Verified Emissions In 2016,Verified Emissions In 2017,Verified Emissions In 2018,Verified Emissions In 2019,Verified Emissions In 2020,Units Surrendered In 2005,Units Surrendered In 2006,Units Surrendered In 2007,Units Surrendered In 2008,Units Surrendered In 2009,Units Surrendered In 2010,Units Surrendered In 2011,Units Surrendered In 2012,Units Surrendered In 2013,Units Surrendered In 2014,Units Surrendered In 2015,Units Surrendered In 2016,Units Surrendered In 2017,Units Surrendered In 2018,Units Surrendered In 2019,Units Surrendered In 2020
Iceland,Aircraft Operator Account,Switchback Argentina,11-3674070,2011-01-01,open,PO Box 2296,82414,Cody,,,,,,,,1,0,0,0,0,0,0,0,0,,,,,,0,0,55,Excluded,Excluded,Excluded,Excluded,,,,,,,,,,,,55,,,,,,,,
Iceland,Aircraft Operator Account,Silk Way Airlines LLC,9900067141,2011-01-01,open,Heydar Aliyev International Airport,AZ 1044,Baku,,,,,,,,68550,4,4,4,4,4,4,4,4,,,,,,,,1287,Excluded,Excluded,Excluded,Excluded,,,,,,,,,,,,1287,,,,,,,,
Iceland,Aircraft Operator Account,Investair 300,85-0455335,2011-01-01,open,4801 Aviation Drive,87507,Santa Fe,,,,,,,,3,,,,,1,1,1,1,,,,,,,,14,Excluded,Excluded,Excluded,Excluded,,,,,,,,,,,,1,13,,,,,,,
Iceland,Aircraft Operator Account,Papier-Mettler,HRA 20723,2009-01-01,open,Hochwaldstrasse 22,D-54497,Morbach,,,,,,,,66,61,61,61,61,61,61,61,61,,,,,,,,631,Excluded,Excluded,Excluded,Excluded,,,,,,,,,,,,631,,,,,,,,
Iceland,Aircraft Operator Account,Supervalu,41-0617000.,2011-01-01,open,6995 34th Ave. So.,55450,Minneapolis,,,,,,,,16,4,4,4,4,4,4,4,4,,,,,,,,0,Excluded,Excluded,Excluded,Excluded,,,,,,,,,,,,,,,,,,,,
Iceland,Aircraft Operator Account,Icelandair ehf.,461202-3490,2009-01-01,open,Reykjavík Airport,101,Reykjavik,,,,,,,,355491,186364,186364,186364,186364,186364,186364,186364,186364,,,,,,,,332763,350850,381604,425528,503641,,,,,,,,,,,,332763,,732454,425528,503641,,,,
Iceland,Aircraft Operator Account,Flugfélag Íslands ehf.,530575-0209,2009-01-01,open,Reykjavík Airport,101,Reykjavík,,,,,,,,10490,8011,8011,8011,8011,8011,8011,8011,8011,,,,,,,,20667,13324,12659,12514,14699,,,,,,,,,,,,20667,,25983,12514,14699,,,,
Iceland,Operator Holding Account,Alcoa Fjarðarál,520303-4210,2011-06-30,open,Hrauni 1,730,Fjarðarbyggð,,,,,,,,,501832,493116,484297,475386,466379,457285,448077,438837,,,,,,,,,583627,591238,596581,538524,,,,,,,,,,,,,583627,591238,596581,538524,,,,
Iceland,Operator Holding Account,Rio Tinto Alcan á Ísland,680466-0179,2011-06-30,open,Straumsvík,222,Hafnafjörður,,,,,,,,,278456,273620,268727,263782,258784,253738,248629,243501,,,,,,,,,320357,312971,306922,306455,,,,,,,,,,,,,320357,312971,306922,306455,,,,
Iceland,Operator Holding Account,Norðurál Grundartangi,570297-2609,2011-06-30,open,Grundartangi,301,Akranes,,,,,,,,,396164,389284,382322,375287,368177,360997,353728,346434,,,,,,,,,466147,480682,505421,524104,,,,,,,,,,,,,466147,480682,505421,524104,,,,
Iceland,Operator Holding Account,Elkem Ísland,6406750209,2011-06-30,open,Grundartangi,301,Akranes,,,,,,,,,281834,276939,271986,266981,261923,256816,251645,246456,,,,,,,,,406948,369352,401844,402484,,,,,,,,,,,,,406948,369352,401844,402484,,,,
Iceland,Aircraft Operator Account,"Nextant Aerospace, LLC",1981459,2012-01-01,open,26180 Curtiss Wright Parkway,44143,Cleveland,,,,,,,,,,,,,,,,,,,,,,,,30,Excluded,Excluded,Excluded,Excluded,,,,,,,,,,,,30,,,,,,,,
Iceland,Aircraft Operator Account,Bluebird Cargo,460899-2229,2012-01-01,open,Lynghals,110,Reykjavik,,,,,,,,,,,,,14058,14058,14058,14058,,,,,,,,15514,Excluded,12667,11704,12496,,,,,,,,,,,,15514,,12667,11704,12496,,,,
Iceland,Aircraft Operator Account,Town Fair Tires,0749931,2010-01-01,open,3 Juliano Drive,06478,Oxford,,,,,,,,,,,,,,,,,,,,,,,,,Excluded,Excluded,Excluded,Excluded,,,,,,,,,,,,,,,,,,,,
Iceland,Aircraft Operator Account,Logistics Services LLC,0904544,2013-01-01,open,1 Bradley International Airport Hangar 85-207,06096,Windsor Locks,,,,,,,,,,,,,,,,,,,,,,,,60,Excluded,Excluded,Excluded,Excluded,,,,,,,,,,,,60,,,,,,,,
Iceland,Aircraft Operator Account,B.F. Limited Partnership,U.S. EIN 91-1754602,2012-01-01,open,"1910 Fairview Avenue East, Suite 500",98102,Seattle,,,,,,,,,,,,,,,,,,,,,,,,24,Excluded,Excluded,Excluded,Excluded,,,,,,,,,,,,,,,,,,,,
