Country,Account Type,Account Holder Name,Company Registration No,Permit/Plan Date,Account status,Main Address Line,Postal Code,City,Allowance In Allocation In 2005,Allowance In Allocation In 2006,Allowance In Allocation In 2007,Allowance In Allocation In 2008,Allowance In Allocation In 2009,Allowance In Allocation In 2010,Allowance In Allocation In 2011,Allowance In Allocation In 2012,Allowance In Allocation In 2013,Allowance In Allocation In 2014,Allowance In Allocation In 2015,Allowance In Allocation In 2016,Allowance In Allocation In 2017,Allowance In Allocation In 2018,Allowance In Allocation In 2019,Allowance In Allocation In 2020,Verified Emissions In 2005,Verified Emissions In 2006,Verified Emissions In 2007,Verified Emissions In 2008,Verified Emissions In 2009,Verified Emissions In 2010,Verified Emissions In 2011,Verified Emissions In 2012,Verified Emissions In 2013,Verified Emissions In 2014,Verified Emissions In 2015,Verified Emissions In 2016,Verified Emissions In 2017,Verified Emissions In 2018,Verified Emissions In 2019,Verified Emissions In 2020,Units Surrendered In 2005,Units Surrendered In 2006,Units Surrendered In 2007,Units Surrendered In 2008,Units Surrendered In 2009,Units Surrendered In 2010,Units Surrendered In 2011,Units Surrendered In 2012,Units Surrendered In 2013,Units Surrendered In 2014,Units Surrendered In 2015,Units Surrendered In 2016,Units Surrendered In 2017,Units Surrendered In 2018,Units Surrendered In 2019,Units Surrendered In 2020
Ireland,Aircraft Operator Account,Eli Lilly and Company,35-0470950,2010-01-01,open,Lilly Corporate Center,46285,Indianapolis,,,,,,,,31,2,2,2,2,2,2,2,2,,,,,,,,73,Excluded,Excluded,Excluded,Excluded,,,,,,,,,,,,73,,,,,,,,
Ireland,Aircraft Operator Account,United States Steel Corporation,25-1897152,2010-01-01,open,USS Tower,15219,Pittsburgh,,,,,,,,77,13,13,13,13,13,13,13,13,,,,,,,,576,Excluded,Excluded,Excluded,Excluded,,,,,,,,,,,,576,,,,,,,,
Ireland,Aircraft Operator Account,Blue City Holdings,47-0951248,2010-01-01,open,NASA-ARC Mail Stop 211-7,94035-0001,Moffett Field,,,,,,,,186,2,2,2,2,2,2,2,2,,,,,,,,286,310,362,403,354,,,,,,,,,,,,286,,672,403,354,,,,
Ireland,Aircraft Operator Account,North American Airlines Inc,2194030,2010-01-01,open,101 World Drive,30269,Peachtree City,,,,,,,,135290,811,811,811,811,811,811,811,811,,,,,,,,125473,3982,349,Excluded,Excluded,,,,,,,,,,,,125473,,,2433,,,,,
Ireland,Aircraft Operator Account,ASL Airlines (Ireland) Limited,187849,2010-01-01,open,3 Malahide Road,D03 H277,County Dublin,,,,,,,,18422,13413,13413,13413,13413,13413,13413,13413,13413,,,,,,,,40971,39644,40004,39132,46941,,,,,,,,,,,,40971,,79648,39132,46941,,,,
Ireland,Aircraft Operator Account,Ryanair Designated Activity Company,104547,2010-01-01,open,Dublin Office,Co Dublin,Swords,,,,,,,,5560944,4610591,4610591,4610591,4610591,4610591,4610591,4610591,4610591,,,,,,,,7456718,6608939,6639350,7400795,8438841,,,,,,,,,,,,7456718,,13248289,7400795,8438841,,,,
Ireland,Operator Holding Account,Lagan Brick Limited,361969,2005-09-08,closed,Kingscourt Bricks Limited,County Cavan,Kingscourt,13218,13218,13218,9994,9994,9994,9994,0,,,,,,,,,12442,9200,9290,5162,2413,2932,4364,0,,,,,,,,,12442,9200,9290,5162,2413,2932,4364,,,,,,,,,
Ireland,Operator Holding Account,Lagan Brick Limited,361969,2005-09-19,closed,Kingscourt Bricks Limited,County Cavan,Kingscourt,7672,7672,7672,8662,8662,8662,8662,8662,1449,0,0,0,0,0,0,0,8473,8669,8082,5488,1100,412,681,517,429,,,,,,,,8518,8669,8037,5488,1100,412,681,517,429,,,,,,,
Ireland,Operator Holding Account,Saint-Gobain Construction Products (Ireland) Limited,11815,2005-09-08,open,"Unit 4, Kilcarbery Business Park",Dublin 22,Dublin,40778,40778,40778,49030,49030,49030,49030,49030,20932,25710,25250,24786,39478,38708,37928,37147,45592,52158,50002,35058,23299,19732,17378,14020,14720,16684,20381,26916,,,,,45592,,102160,35058,23299,19732,17378,14020,14720,16684,20381,26916,,,,
Ireland,Operator Holding Account,Arrabawn Cooperative Society Limited,Co-operative Society,2005-09-09,open,Stafford Street,Tipperary,Nenagh,22596,22596,22596,24316,24316,24316,24316,24316,14295,13792,13296,12806,12323,11847,11376,10917,23299,22970,22688,18338,21613,23588,22607,21137,23966,24822,24763,16823,,,,,23299,22970,22688,18338,21613,23588,22607,21131,23972,24822,24763,16823,,,,
