Country,Account Type,Account Holder Name,Company Registration No,Permit/Plan Date,Account status,Main Address Line,Postal Code,City,Allowance In Allocation In 2005,Allowance In Allocation In 2006,Allowance In Allocation In 2007,Allowance In Allocation In 2008,Allowance In Allocation In 2009,Allowance In Allocation In 2010,Allowance In Allocation In 2011,Allowance In Allocation In 2012,Allowance In Allocation In 2013,Allowance In Allocation In 2014,Allowance In Allocation In 2015,Allowance In Allocation In 2016,Allowance In Allocation In 2017,Allowance In Allocation In 2018,Allowance In Allocation In 2019,Allowance In Allocation In 2020,Verified Emissions In 2005,Verified Emissions In 2006,Verified Emissions In 2007,Verified Emissions In 2008,Verified Emissions In 2009,Verified Emissions In 2010,Verified Emissions In 2011,Verified Emissions In 2012,Verified Emissions In 2013,Verified Emissions In 2014,Verified Emissions In 2015,Verified Emissions In 2016,Verified Emissions In 2017,Verified Emissions In 2018,Verified Emissions In 2019,Verified Emissions In 2020,Units Surrendered In 2005,Units Surrendered In 2006,Units Surrendered In 2007,Units Surrendered In 2008,Units Surrendered In 2009,Units Surrendered In 2010,Units Surrendered In 2011,Units Surrendered In 2012,Units Surrendered In 2013,Units Surrendered In 2014,Units Surrendered In 2015,Units Surrendered In 2016,Units Surrendered In 2017,Units Surrendered In 2018,Units Surrendered In 2019,Units Surrendered In 2020
Latvia,Aircraft Operator Account,Smartlynx Airlines,40003056133,2010-01-01,open,"""Mazrūdas""",LV-2167,Mazrūdas,,,,,,,,23284,9162,9162,9162,9162,9162,9162,9162,9162,,,,,,,,19972,11846,10813,10913,17841,,,,,,,,,,,,19972,,22659,10913,17841,,,,
Latvia,Aircraft Operator Account,"A/S ""AirBaltic Corporation""",40003245752,2010-01-01,open,Lidosta Rīga,LV1053,Mārupes nov.,,,,,,,,288236,189706,189706,189706,189706,189706,189706,189706,189706,,,,,,0,0,286527,272063,265566,285839,285529,,,,,,,,,,,,286527,,537629,285839,285529,,,,
Latvia,Operator Holding Account,A/S “Olaines udens un siltums”,50003182001,2007-12-21,open,Kudras iela 27,LV-2114,Olaine,38309,37565,36849,16259,16259,16259,16259,16259,10467,9367,4149,3630,3127,2640,2170,1717,13994,13842,13428,12806,12929,13846,12273,8031,7327,5792,3156,4128,,,,,13994,13842,13428,12806,12929,13846,12273,8031,7327,5792,3156,4128,,,,
Latvia,Operator Holding Account,Pasvaldibas SIA „Ventspils siltums”,40003007655,2007-12-27,open,Brivibas iela 38,LV-3601,Ventspils,56836,55732,54671,39735,39735,39735,39735,39735,19411,17371,15386,13462,11597,9792,8046,6365,37592,29446,24189,22443,23050,26851,23635,21034,6076,324,21,180,,,,,37592,29446,24189,22443,23050,26851,23635,21034,6076,324,21,180,,,,
Latvia,Operator Holding Account,Pasvaldibas SIA “Ventspils siltums”,40003007655,2007-12-27,open,Talsu iela 69,LV-3602,Ventspils,62965,61767,60615,46247,46247,46247,46247,46247,22995,18680,16441,14390,12404,10482,8623,6830,41165,41178,46106,40655,48676,53505,46652,49252,48126,16631,9950,15370,,,,,41165,41178,46106,40655,48676,53505,46652,49252,48126,16631,9950,15370,,,,
Latvia,Operator Holding Account,A/S “Jelgavas cukurfabrika”,LV40003017988,2008-12-10,closed,Cukura iela 22,LV-3002,Jelgava,49337,48486,47666,12381,0,0,0,0,,,,,,,,,40331,38051,15004,7501,,Not Reported,,,,,,,,,,,40331,38051,15004,7501,,,,,,,,,,,,
Latvia,Operator Holding Account,A/S “Liepajas cukurfabrika”,,2005-11-30,closed,Grizupes iela 2,LV-3402,Liepaja,23613,23613,23613,,,,,,,,,,,,,,14218,14841,478,0,,Not Reported,,,,,,,,,,,14218,14841,478,,,,,,,,,,,,,
Latvia,Operator Holding Account,AS “Latvenergo” TEC-1,40003032949,2007-11-16,open,Pulkveþa Brieþa 12,LV-1230,Riga,368920,363417,358123,444782,444782,444782,444782,444782,190072,170096,150687,131892,113688,96074,79029,62595,381589,416338,385897,329379,313535,350007,320300,282200,257817,311139,310824,373172,,,,,381589,416338,385897,329379,313535,350007,320300,282200,257817,311139,310824,373172,,,,
Latvia,Operator Holding Account,AS „Latvenergo” TEC-2,40003032949,2007-11-16,open,Pulkveþa Brieþa 12,LV-1230,Riga,986878,973696,961017,735907,956593,956593,956593,956593,312793,272682,241568,211438,182254,154017,126692,100348,619389,629723,567193,638231,584766,857410,813039,615640,817575,627206,742877,739510,,,,,619389,629723,567193,638231,584766,857410,813039,615640,817575,627206,742877,739510,,,,
Latvia,Operator Holding Account,SIA „Fortum Jelgava”,50003549231,2007-12-14,open,"Lidosta ""Riga""",LV- 1053,Marupes pagasts,53044,52014,51023,29309,29309,29309,29309,29309,26658,23858,0,0,0,0,0,0,27740,28822,26886,25635,25083,30678,25354,27217,17983,973,471,732,,,,,27740,28822,26886,25635,25083,30678,25354,27217,17983,973,471,732,,,,
