Country,Account Type,Account Holder Name,Company Registration No,Permit/Plan Date,Account status,Main Address Line,Postal Code,City,Allowance In Allocation In 2005,Allowance In Allocation In 2006,Allowance In Allocation In 2007,Allowance In Allocation In 2008,Allowance In Allocation In 2009,Allowance In Allocation In 2010,Allowance In Allocation In 2011,Allowance In Allocation In 2012,Allowance In Allocation In 2013,Allowance In Allocation In 2014,Allowance In Allocation In 2015,Allowance In Allocation In 2016,Allowance In Allocation In 2017,Allowance In Allocation In 2018,Allowance In Allocation In 2019,Allowance In Allocation In 2020,Verified Emissions In 2005,Verified Emissions In 2006,Verified Emissions In 2007,Verified Emissions In 2008,Verified Emissions In 2009,Verified Emissions In 2010,Verified Emissions In 2011,Verified Emissions In 2012,Verified Emissions In 2013,Verified Emissions In 2014,Verified Emissions In 2015,Verified Emissions In 2016,Verified Emissions In 2017,Verified Emissions In 2018,Verified Emissions In 2019,Verified Emissions In 2020,Units Surrendered In 2005,Units Surrendered In 2006,Units Surrendered In 2007,Units Surrendered In 2008,Units Surrendered In 2009,Units Surrendered In 2010,Units Surrendered In 2011,Units Surrendered In 2012,Units Surrendered In 2013,Units Surrendered In 2014,Units Surrendered In 2015,Units Surrendered In 2016,Units Surrendered In 2017,Units Surrendered In 2018,Units Surrendered In 2019,Units Surrendered In 2020
Lithuania,Aircraft Operator Account,"UAB ""Small Planet Airlines""",300659612,2010-01-01,open,Smolensko g. 10,LT-03201,Vilnius,,,,,,,,44503,12753,12753,12753,12753,12753,12753,12753,12753,,,,,,,,69007,27619,24555,55493,72695,,,,,,,,,,,,69007,,52174,55493,72695,,,,
Lithuania,Aircraft Operator Account,"UAB ""Aurela""",123264654,2010-01-01,open,Rodunios kelias 32,LT-02187,Vilnius,,,,,,,,11450,,,,,,,,,,,,,,,,3969,,Not Reported,Not Reported,Not Reported,,,,,,,,,,,,3969,,,,,,,,
Lithuania,Operator Holding Account,AB Akmenes cementas,153009143,2005-12-02,open,Dalinkeviciaus g.2  LT-85118 N. Akmene,LT-85118,Naujoji Akmene,1330526,997895,997894,985617,985617,985617,985617,985616,648923,637652,626248,614726,603079,591319,579412,567464,783415,1064344,1092056,902179,585206,594096,662809,815541,955420,806637,843052,741381,,,,,783415,1064344,1092056,902179,585206,594096,662809,815541,955420,806637,843052,741381,,,,
Lithuania,Operator Holding Account,AB Naujasis kalcitas,153085326,2005-12-30,open,"J.Dalinkeviciaus 2K,  Naujoji Akmene",LT-85118,Naujoji Akmene,177582,133186,133186,72938,72938,132506,102722,102721,46969,46153,45328,44494,43651,42800,41938,41073,49289,80211,67811,47275,6763,25164,51564,47151,35178,49527,47229,45637,,,,,49289,80211,67811,47275,6763,25164,51564,47151,35178,49527,47229,45637,,,,
Lithuania,Operator Holding Account,UAB Svencioneliu keramika,278666190,2005-12-02,open,Augustavo k.  LT-18206 svencioneliu sen.  svencioniu r.,LT-18206,Augustavo k.,9857,7393,7393,5339,5339,14263,10601,10601,5579,5482,5383,5285,5185,5084,4981,4879,4567,2625,2683,2205,1759,1693,1706,1390,1280,1177,592,916,,,,,4567,2625,2683,2205,1759,1693,1706,1390,1280,1177,592,916,,,,
Lithuania,Operator Holding Account,UAB Taurages keramika,179331614,2005-12-02,closed,Gaures g. 27  LT-72343 Taurage,LT-72343,Taurage,8126,6094,6094,10908,10908,10907,10907,10907,5461,0,0,0,0,0,0,0,3082,1658,1518,1357,0,0,8,0,0,,,,,,,,3082,1658,1518,1357,,,8,,,,,,,,,
Lithuania,Operator Holding Account,UAB Jasiunu keramika,174977969,2005-12-02,closed,Popierines g. 3 salcininku r.,LT-17250,Jasiunai,391,293,293,,,,,,,,,,,,,,166,252,251,0,,Not Reported,,,,,,,,,,,166,252,251,,,,,,,,,,,,,
Lithuania,Operator Holding Account,UAB Roku keramika,159700872,2005-12-02,open,J.Borutos g. 23  LT-46500 Kaunas,LT-46500,Kaunas,8267,11847,8621,6076,6076,6076,6076,6076,8478,8331,8181,8031,7879,7725,7570,7414,2427,2457,2895,2111,1325,1565,2238,1424,1309,1796,701,1700,,,,,,4884,2895,2111,1325,1565,2238,1424,1309,1796,701,1700,,,,
Lithuania,Operator Holding Account,AB Palemono keramikos gamykla,304178964,2005-12-02,open,Pamario g. 1,LT-52265,Kaunas,8153,6114,6114,7950,7950,7950,7950,7950,8675,8440,8227,8019,7811,7604,7395,7189,9596,7226,9557,4451,976,1565,3786,3934,3430,3124,3737,3097,,,,,9596,7226,9557,8237,976,1565,,3934,3430,3124,3737,3097,,,,
Lithuania,Operator Holding Account,AB Dvarcioniu keramika,112021238,2005-12-02,open,Keramiku g. 2  LT-10233 Vilnius,LT-10233,Vilnius,14953,11215,11215,11226,11226,11225,11225,11225,12267,12053,11839,11619,11399,11178,10953,10727,11292,12605,12795,15045,4631,5440,6204,5542,3420,106,51,77,,,,,11292,12605,12795,15045,4631,5440,6204,5542,3420,106,51,77,,,,
Lithuania,Operator Holding Account,UAB Kauno jiesia,300561837,2005-12-02,closed,Chemijos g. 29,LT-51333,Kaunas,343,257,257,,,,,,,,,,,,,,0,0,0,0,,Not Reported,,,,,,,,,,,,,,,,,,,,,,,,,,
Lithuania,Operator Holding Account,UAB Alytaus Keramika,153643973,2005-12-02,closed,Geistaru k.Miroslavo sen. Alytaus raj.,LT-62193,Alytaus r.,1975,1481,1481,1564,1563,1563,1563,1563,1587,1559,1531,1503,0,0,0,0,515,595,839,684,718,627,851,631,457,291,617,0,,,,,515,595,839,684,718,627,851,631,457,291,617,,,,,
Lithuania,Operator Holding Account,BAB Ekranas,147802225,2005-12-02,closed,Elektronikos g. 1  LT-35116 Panevezys,LT-35116,Panevezys,63120,47340,47340,9451,9451,9450,9450,0,,,,,,,,,35181,9780,0,0,0,0,0,,,,,,,,,,35181,9780,,,,,,,,,,,,,,
Lithuania,Operator Holding Account,UAB Kauno stiklas,300037592,2005-12-02,open,Europos pr. 91  LT-46334 Kaunas,LT-46334,Kaunas,28850,21637,21637,12202,12202,12202,12202,38116,5908,5805,5702,5597,5491,5384,5275,5166,14499,14028,14354,17465,14015,14063,13622,14833,15669,14255,14030,15641,,,,,14499,14028,14354,17465,14015,14063,13622,14833,15669,14255,14030,15641,,,,
Lithuania,Operator Holding Account,AB Panevezio stiklas,147038795,2005-12-02,open,Pramones g. 10  LT-35100 Panevezys,LT-35100,Panevezys,80695,60522,60521,23803,23803,23803,23803,23802,11514,11251,10988,10726,10464,10202,9939,9679,25155,20892,21012,20900,19875,18428,21840,22142,22123,22884,21259,21659,,,,,25155,20892,21012,39328,19875,,21840,22142,22123,22884,21259,21659,,,,
Lithuania,Operator Holding Account,AB ORLEN Lietuva,166451720,2005-12-02,open,Juodeikiai  LT-89467 Mazeikiu r.,LT-89467,Mazeikiai,2649155,1986866,1986866,1990544,2035090,2473984,2320645,2320645,1436056,1410726,1385117,1359259,1333141,1306788,1280122,1253382,1870375,1624066,1201673,2090742,2102763,1967110,1903476,1731630,1812299,1631285,1755789,1830717,,,,,1870375,1624066,1201673,2090742,2102763,1967110,1903476,1731630,1812299,1631285,1755789,1830717,,,,
Lithuania,Operator Holding Account,AB Grigeo Klaipeda,141011268,2005-12-02,open,Nemuno g. 2  LT-91199 Klaipeda,LT-91199,Klaipeda,31780,23835,23835,32313,32313,32313,32312,32312,25108,24672,24231,23785,23335,22879,22419,21956,0,0,0,29321,23181,33111,35036,34955,33578,15076,7078,9104,,,,,,,,97468,23181,,,34955,33578,15076,7078,9104,,,,
Lithuania,Operator Holding Account,AB Grigiskes,110012450,2005-12-02,open,Vilniaus g. 10  LT-27101 Grigiskes   Vilniaus m. sav.,LT-27101,Vilnius,66349,49762,49762,45204,45204,75329,64803,85930,39614,38074,36555,35060,33589,32143,30720,29327,48916,46187,46097,42096,32729,36223,13985,51,254,175,2817,9487,,,,,48916,46187,46097,42096,32729,36223,13985,51,254,175,2817,9487,,,,
Lithuania,Operator Holding Account,AB Simega,164780489,2005-12-02,open,Gedimino g. 85   LT-40135 Kupiskis,LT-40135,Kupiskis,30820,23115,23115,11526,11526,11526,11525,13042,4473,4003,3545,3102,2672,2257,1854,1467,0,0,4216,0,0,0,0,0,0,0,0,0,,,,,,,4216,,,,,,,,,,,,,
Lithuania,Operator Holding Account,AB Achema,156667399,2005-12-02,open,Jonalaukio k.  Ruklos sen.  LT-55550 Jonavos raj.,LT-55550,Jonavos raj.,242582,181937,181936,212558,212558,212557,212557,425479,2095783,2056943,2017759,1978283,1938496,1898435,1857991,1817507,125537,166878,61810,27074,97939,86177,112079,212377,2387162,2716077,2755145,2440359,,,,,125537,166878,61810,27074,97939,86177,83869,240587,2387162,2716077,2755145,2440359,,,,
