Country,Account Type,Account Holder Name,Company Registration No,Permit/Plan Date,Account status,Main Address Line,Postal Code,City,Allowance In Allocation In 2005,Allowance In Allocation In 2006,Allowance In Allocation In 2007,Allowance In Allocation In 2008,Allowance In Allocation In 2009,Allowance In Allocation In 2010,Allowance In Allocation In 2011,Allowance In Allocation In 2012,Allowance In Allocation In 2013,Allowance In Allocation In 2014,Allowance In Allocation In 2015,Allowance In Allocation In 2016,Allowance In Allocation In 2017,Allowance In Allocation In 2018,Allowance In Allocation In 2019,Allowance In Allocation In 2020,Verified Emissions In 2005,Verified Emissions In 2006,Verified Emissions In 2007,Verified Emissions In 2008,Verified Emissions In 2009,Verified Emissions In 2010,Verified Emissions In 2011,Verified Emissions In 2012,Verified Emissions In 2013,Verified Emissions In 2014,Verified Emissions In 2015,Verified Emissions In 2016,Verified Emissions In 2017,Verified Emissions In 2018,Verified Emissions In 2019,Verified Emissions In 2020,Units Surrendered In 2005,Units Surrendered In 2006,Units Surrendered In 2007,Units Surrendered In 2008,Units Surrendered In 2009,Units Surrendered In 2010,Units Surrendered In 2011,Units Surrendered In 2012,Units Surrendered In 2013,Units Surrendered In 2014,Units Surrendered In 2015,Units Surrendered In 2016,Units Surrendered In 2017,Units Surrendered In 2018,Units Surrendered In 2019,Units Surrendered In 2020
Luxembourg,Operator Holding Account,Cegyco S.A.,B 58432,2006-06-08,open,Avenue Gordon Smith,7750,Colmar Berg,67356,67356,67356,66999,66999,66999,66999,66999,45226,44439,43652,42865,42078,41291,40504,39717,62428,65258,66589,64327,44988,53430,59052,51228,42118,36669,36882,39683,,,,,62428,65258,66589,64327,44988,53430,59052,51228,42118,36669,36882,39683,,,,
Luxembourg,Operator Holding Account,Dupont de Nemours Luxembourg,B 9529,2006-06-08,open,Rue General Patton,2984,Luxembourg,79588,79588,79588,70485,70485,70485,70485,70485,71885,70021,68161,66314,64473,62645,60822,59020,56226,51371,58352,56414,51255,49560,42203,44369,79354,71144,63742,63372,,,,,56226,51371,58352,56414,51255,49560,42203,44369,79354,71144,63742,63372,,,,
Luxembourg,Operator Holding Account,Ceduco S.A.,B 47147,2006-06-08,closed,Rue General Patton,2984,Contern,74423,74423,74423,68931,68931,68931,68931,68931,,,,,,,,,58358,62764,28743,41050,22762,38290,36846,34042,,,,,,,,,58358,62764,28743,41050,22762,38290,36846,34042,,,,,,,,
Luxembourg,Operator Holding Account,Guardian Luxguard I,1980 2200059,2006-06-08,open,Route de Luxembourg,4940,Bascharage,128035,128035,128035,112618,112618,112618,112618,112618,93104,91487,89851,88198,86527,84839,83131,81417,108456,107855,108008,110790,109984,110294,115636,114012,112479,110480,110182,107608,,,,,108456,107855,108008,110790,109984,110294,115636,114012,112479,110480,110182,107608,,,,
Luxembourg,Operator Holding Account,Guardian Luxguard II,B 27249,2006-06-08,open,Z.I. Wolser,3452,Dudelange,130300,130300,130300,122224,122224,122224,122224,122224,95244,46795,91916,90225,88515,86789,85042,83288,113305,111429,121224,120756,116775,118922,120376,115151,55117,110022,111548,116521,,,,,113305,111429,121224,120756,116775,118922,120376,115151,55117,110022,110548,117521,,,,
Luxembourg,Operator Holding Account,Cimalux S.A.,B 7466,2006-06-08,open,BP 146,4149,Esch/Alzette,846079,846079,846079,746132,746132,746132,746132,746132,593160,582858,572434,561901,551255,540506,529622,518701,732271,696782,678223,641079,619940,623802,640357,595040,599535,585892,548004,590961,,,,,732271,696782,678223,641079,619940,623802,640357,595040,599535,585892,548004,590961,,,,
Luxembourg,Operator Holding Account,Kronospan Luxembourg S.A.,B 46483,2006-06-08,open,Z.I. Gadderscheier,4902,Sanem,95411,95411,95411,72505,72505,72505,72505,72505,46825,46012,29693,25981,22381,18898,15528,12284,55195,61130,49452,33488,36034,30764,28418,28152,29140,23192,15778,18550,,,,,55195,61130,49452,33488,36034,30764,28418,28152,29140,23192,15778,18550,,,,
Luxembourg,Operator Holding Account,Luxénergie S.A.,B 34538,2006-06-08,open,"23, avenue J.F. Kennedy",1855,Luxembourg-Kirchberg,31883,31883,31883,46705,46705,46705,46705,46705,23914,21333,18840,16439,14125,11898,9755,7703,31829,37471,36303,41130,40789,44628,40805,43647,46046,40838,44392,45794,,,,,31829,37471,36303,41130,40789,44628,40805,43647,46046,40838,44392,45794,,,,
Luxembourg,Operator Holding Account,Luxénergie S.A.,B 34538,2006-06-08,open,"23, avenue J.F. Kennedy",1855,Luxembourg-Kirchberg,15090,15090,15090,19780,19780,19780,19780,19780,5445,4856,4288,3739,3213,2706,2217,1750,11369,11178,9821,10804,11453,13135,12117,12540,12820,13444,14214,14795,,,,,11369,11178,9821,10804,11453,13135,12117,12540,12820,13444,14214,14795,,,,
Luxembourg,Operator Holding Account,Luxlait Association Agricole,H4,2006-06-08,open,"27, boulevard Marcel Cahen",1311,Luxembourg,8021,8021,8021,3883,3883,4087,3883,0,,,,,,,,,5892,5768,6036,6777,6838,Not Reported,Not Reported,Not Reported,Not Reported,Not Reported,Not Reported,Not Reported,,,,,5892,6449,5355,6777,6838,,,,,,,,,,,
