Country,Account Type,Account Holder Name,Company Registration No,Permit/Plan Date,Account status,Main Address Line,Postal Code,City,Allowance In Allocation In 2005,Allowance In Allocation In 2006,Allowance In Allocation In 2007,Allowance In Allocation In 2008,Allowance In Allocation In 2009,Allowance In Allocation In 2010,Allowance In Allocation In 2011,Allowance In Allocation In 2012,Allowance In Allocation In 2013,Allowance In Allocation In 2014,Allowance In Allocation In 2015,Allowance In Allocation In 2016,Allowance In Allocation In 2017,Allowance In Allocation In 2018,Allowance In Allocation In 2019,Allowance In Allocation In 2020,Verified Emissions In 2005,Verified Emissions In 2006,Verified Emissions In 2007,Verified Emissions In 2008,Verified Emissions In 2009,Verified Emissions In 2010,Verified Emissions In 2011,Verified Emissions In 2012,Verified Emissions In 2013,Verified Emissions In 2014,Verified Emissions In 2015,Verified Emissions In 2016,Verified Emissions In 2017,Verified Emissions In 2018,Verified Emissions In 2019,Verified Emissions In 2020,Units Surrendered In 2005,Units Surrendered In 2006,Units Surrendered In 2007,Units Surrendered In 2008,Units Surrendered In 2009,Units Surrendered In 2010,Units Surrendered In 2011,Units Surrendered In 2012,Units Surrendered In 2013,Units Surrendered In 2014,Units Surrendered In 2015,Units Surrendered In 2016,Units Surrendered In 2017,Units Surrendered In 2018,Units Surrendered In 2019,Units Surrendered In 2020
Netherlands,Aircraft Operator Account,K.O.M. Activity I B.V.,24181812,2010-01-01,open,Straatweg 199,3054 AE,Rotterdam,,,,,,,,10,,,,,9,9,9,9,,,,,,,,86,Excluded,Excluded,Excluded,Excluded,,,,,,,,,,,,86,,,,,,,,
Netherlands,Aircraft Operator Account,Nippon Cargo Airlines,T0933740,2010-01-01,open,Nishi-Shinbashi 3-23-5,105-0003,Tokyo,,,,,,,,275921,6521,6521,6521,6521,6521,6521,6521,6521,,,,,,,,203267,9580,10386,10809,12458,,,,,,,,,,,,203267,,19966,10809,12458,,,,
Netherlands,Aircraft Operator Account,Shell Aircraft Limited,24293574,2010-01-01,open,Fornebubaan 25,3045 AV,Rotterdam,,,,,,,,153,26,26,26,26,26,26,26,26,,,,,,,,1813,1780,1867,1858,1648,,,,,,,,,,,,1813,,3647,1858,1648,,,,
Netherlands,Aircraft Operator Account,Koninklijke Luchtvaart Maatschappij N.V.,33014286,2010-01-01,open,Amsterdamseweg 55,1182GP,Amstelveen,,,,,,,,7897037,768364,768364,768364,768364,768364,768364,768364,768364,,,,,,,,1891413,1493362,1551342,1569239,1649880,,,,,,,,,,,,1891413,,3044704,1569239,1649880,,,,
Netherlands,Aircraft Operator Account,Martinair Holland N.V.,34029668,2010-01-01,open,Piet Guilonardweg 17,1117 EE,Schiphol,,,,,,,,1548398,3408,3408,3408,3408,3408,3408,3408,3408,,,,,,,,843973,3405,3242,3285,2558,,,,,,,,,,,,843973,,6647,3285,2558,,,,
Netherlands,Aircraft Operator Account,Oshkosh Corporation,1O01160,2010-01-01,open,2307 Oregon Street,54902,Oshkosh,,,,,,,,,,,,,,,,,,,,,,,,112,Excluded,Excluded,Excluded,Excluded,,,,,,,,,,,,,112,,,,,,,
Netherlands,Aircraft Operator Account,"LBN, LLC c/o Central Missouri Aviation, Inc.",FL0844616,2012-01-01,open,11200 S. Airport Rd.,65201,Columbia,,,,,,,,10,,,,,,,,,,,,,,,,19,Excluded,Excluded,Excluded,Excluded,,,,,,,,,,,,19,,,,,,,,
Netherlands,Aircraft Operator Account,Amsterdam Airlines BV,34279605,2010-01-01,closed,Postbus 1031,1000 BA,Amsterdam,,,,,,,,15151,,,,,,,,,,,,,,,,Not Reported,Excluded,Excluded,Excluded,,,,,,,,,,,,,,,,,,,,,
Netherlands,Operator Holding Account,Koole Tankstorage Pernis B.V.,24250858,2008-01-01,open,Sluispolderweg 67,1505 HJ,ZAANDAM,,,,8822,8822,8822,8822,8822,11134,9965,8826,7722,6652,5617,4615,3651,,,,505,33,184,6041,14599,15285,15811,15941,16083,,,,,,,,505,33,184,6041,14599,15285,15811,15941,16083,,,,
Netherlands,Operator Holding Account,Bergpeppers V.O.F.,27273364,2008-01-01,closed,Roelof Kromkampweg 8,2651 KG,LANSINGERLAND,,,,0,42075,23210,23210,23210,,,,,,,,,,,,18167,19477,21989,23782,13475,,,,,,,,,,,,18167,19477,21989,23782,13475,,,,,,,,
Netherlands,Operator Holding Account,Kwekerij de Hoge Akkers B.V.,17104187,2008-01-01,closed,Meijelseweg 19,5725 BA,HEUSDEN GEM ASTEN,,,,9954,9954,9953,9953,0,,,,,,,,,,,,9710,8254,10433,3006,Not Reported,,,,,,,,,,,,9710,8254,10433,3006,,,,,,,,,
Netherlands,Operator Holding Account,Kwekerij de Kabel B.V.,27304173,2008-01-01,closed,Zijtwende 21,2678 NL,DE LIER,,,,14757,29987,22372,22371,22371,8522,7627,6756,0,0,0,0,0,,,,19067,16416,19248,17214,17712,17972,15692,12595,,,,,,,,,19067,16416,19248,17214,17712,17972,15692,12595,,,,,
Netherlands,Operator Holding Account,Landbouwbedrijf Van Gog B.V.,17086693,2008-01-01,closed,Griendtsveenseweg 4,5754 AB,DEURNE,,,,13248,13248,13248,13248,13248,0,0,0,0,0,0,0,0,,,,14030,13901,15333,13372,13321,,,,,,,,,,,,14030,13901,15333,13372,13321,,,,,,,,
Netherlands,Operator Holding Account,Kwekerij De Wieringermeer C.V.,27280080,2008-01-01,open,Oostlanderweg 17,1775 TH,MIDDENMEER,,,,0,105489,59356,59356,59356,27872,24942,22096,9671,8336,7045,5795,4590,,,,44580,53260,62468,52712,52144,52540,32438,26568,31651,,,,,,,,44580,53260,62468,52712,52144,52540,32438,26568,31651,,,,
Netherlands,Operator Holding Account,A.J.M. Dukker Holding B.V.,24280765,2008-01-01,closed,Ruigendijk 11,3234 LC,TINTE,,,,0,24259,12535,12535,12535,,,,,,,,,,,,11382,9525,11612,10740,3675,,,,,,,,,,,,11382,9525,11612,10740,3675,,,,,,,,
Netherlands,Operator Holding Account,A.J.M. Dukker Holding B.V.,24280765,2009-08-22,closed,Ruigendijk 11,3234 LC,TINTE,,,,0,0,24966,12483,0,,,,,,,,,,,,,9827,11144,4514,Not Reported,,,,,,,,,,,,,9827,11144,4514,,,,,,,,,
Netherlands,Operator Holding Account,Kwekerij G.J. van der Wel Zijdijk B.V.,27297758,2008-01-01,closed,Maasdijk 201,2691 PE,'S-GRAVENZANDE,,,,0,0,0,0,0,,,,,,,,,,,,0,Not Reported,Not Reported,,,,,,,,,,,,,,,,,,,,,,,,,,
Netherlands,Operator Holding Account,Kwekerij Helderman B.V.,62147137,2008-01-01,closed,Wagenpad 4,1775 RJ,MIDDENMEER,,,,0,55485,34502,34502,34502,15034,6899,6111,0,0,0,0,0,,,,17184,27564,32048,30338,30394,21034,11429,9529,,,,,,,,,17184,27564,32048,30338,30394,21034,11429,9529,,,,,
Netherlands,Operator Holding Account,H.W.J. van den Berg Beheer B.V.,24361499,2008-01-01,open,Jan Hendrikspad 4,2761 KE,Zevenhuizen,,,,0,31874,15937,15937,15937,7230,6470,5732,5018,4324,0,0,0,,,,16917,13312,15499,14910,14295,13259,12523,12146,11653,,,,,,,,16917,13312,15499,14910,14295,13259,12523,12146,11653,,,,
Netherlands,Operator Holding Account,Peter Hoogerbrugge Holding B.V.,27184908,2008-01-01,closed,Kreekrug 1,2678 PR,DE LIER,,,,7830,7829,7829,7829,7829,,,,,,,,,,,,6786,6686,9511,7452,1996,,,,,,,,,,,,6786,6686,9511,7452,1996,,,,,,,,
Netherlands,Operator Holding Account,Hoge Zuidplas Roses B.V.,29036635,2008-01-01,closed,Bredeweg 86b,2761 KA,ZEVENHUIZEN ZH,,,,13329,13328,13328,13328,13328,,,,,,,,,,,,13487,14586,15513,15036,3884,,,,,,,,,,,,13487,14586,15513,15036,3884,,,,,,,,
Netherlands,Operator Holding Account,R.P.L. Schenkeveld Holding B.V.,27268099,2008-01-01,closed,Woudseweg 146,2636 AV,SCHIPLUIDEN,,,,12722,12721,12721,12721,12721,,,,,,,,,,,,12939,10448,13256,10340,2488,,,,,,,,,,,,12939,10448,13256,10340,2488,,,,,,,,
Netherlands,Operator Holding Account,Schenkeveld Beheer B.V.,27217628,2009-12-17,closed,Woudseweg 146,2636 AV,SCHIPLUIDEN,,,,0,0,19586,16262,16262,,,,,,,,,,,,,1003,12883,11155,2547,,,,,,,,,,,,,1003,12883,11155,2547,,,,,,,,
Netherlands,Operator Holding Account,Kwekerij L.W. van der Houwen B.V.,24275343,2008-01-01,closed,Zoekweg 6a,4651 PS,STEENBERGEN NB,,,,20508,20508,20508,20508,20508,,,,,,,,,,,,19680,19612,17927,16197,8674,,,,,,,,,,,,19680,19612,17927,16197,8674,,,,,,,,
Netherlands,Operator Holding Account,Lamb-Weston/Meijer V.O.F.,22036226,2008-01-01,open,Stationsweg 18 A,4416 PJ,KRUININGEN,,,,21967,21967,21967,21966,21966,18938,23262,22845,22425,22000,21571,21137,20701,,,,22332,22411,22128,22487,23668,21863,22689,23812,28831,,,,,,,,22332,22411,22128,22487,23668,21863,22689,23812,28831,,,,
Netherlands,Operator Holding Account,Lamb-Weston/Meijer V.O.F.,22036226,2008-01-01,closed,Stationsweg 18 A,4416 PJ,KRUININGEN,,,,21687,21687,0,0,0,,,,,,,,,,,,24951,14214,,,,,,,,,,,,,,,24951,14214,,,,,,,,,,,
Netherlands,Operator Holding Account,Marjoland B.V.,27190670,2008-01-01,closed,Bredeweg 1A,2742 KS,WADDINXVEEN,,,,29628,29628,44519,39555,39555,,,,,,,,,,,,29777,28725,37165,37496,10690,,,,,,,,,,,,29777,28776,37114,37496,10690,,,,,,,,
Netherlands,Operator Holding Account,Mars Food Europe C.V.,23051922,2008-01-01,open,Benjamin Franklinstraat 19,3261LW,OUD-BEIJERLAND,,,,8708,8708,8708,8707,8707,7598,6800,6023,5270,4540,3833,3150,2492,,,,9034,8691,7812,7809,7117,7537,6747,6519,6286,,,,,,,,9034,8691,7812,7809,7117,7537,6747,6519,6286,,,,
Netherlands,Operator Holding Account,Mars Nederland B.V.,16021492,2008-01-01,open,Taylorweg 5,5466 AE,Veghel,,,,11805,11804,11804,11804,11804,10250,9173,8125,7109,6124,5171,4248,3362,,,,12919,12455,12005,13504,12899,14072,13385,12106,11694,,,,,,,,12919,12455,12005,13504,12899,14072,13385,12106,11694,,,,
Netherlands,Operator Holding Account,Ministerie van Defensie,27370985,2008-01-01,open,Plein 4,2511 CR,Den Haag,,,,14474,14474,14474,14474,14474,10098,9037,8005,7004,6033,5094,4186,3312,,,,16209,16292,19044,18860,15360,14227,11103,11692,11613,,,,,,,,16209,16292,19044,18860,15360,14227,11103,11692,11613,,,,
Netherlands,Operator Holding Account,Harry Wubben Flowers,65422155,2008-01-01,closed,Langelandseweg 57,2631 PS,NOOTDORP,,,,6258,6257,6257,6257,6257,,,,,,,,,,,,6682,5930,7247,6526,2385,,,,,,,,,,,,6682,5930,7247,6526,2385,,,,,,,,
Netherlands,Operator Holding Account,Tomatenkwekerij Jan van Marrewijk,27366938,2008-01-01,closed,Zuideindseweg 23d,2645 BD,DELFGAUW,,,,11893,11893,11893,11893,0,,,,,,,,,,,,10912,11009,11342,4826,Not Reported,,,,,,,,,,,,10912,11009,11342,4826,,,,,,,,,
Netherlands,Operator Holding Account,VDL Nedcar B.V.,14027374,2008-01-01,open,Dr Hub van Doorneweg 1,6121 RD,Born,,,,9427,9427,9426,9426,9426,8524,5050,13759,13506,13250,12991,12730,12467,,,,6744,6702,8868,6256,6731,8385,13316,16460,21802,,,,,,,,6744,6702,8868,6256,6731,8385,13316,16460,21802,,,,
Netherlands,Operator Holding Account,Gouda Refractories B.V.,29011939,2008-01-01,open,Goudkade 16,2802 AA,GOUDA,,,,8616,8616,8615,8615,8615,8325,8181,8034,7886,7737,7586,7433,7280,,,,7603,4246,5596,7686,8045,8278,5924,10151,7855,,,,,,,,7603,4246,5596,7686,8045,8278,5924,10151,7855,,,,
