Country,Account Type,Account Holder Name,Company Registration No,Permit/Plan Date,Account status,Main Address Line,Postal Code,City,Allowance In Allocation In 2005,Allowance In Allocation In 2006,Allowance In Allocation In 2007,Allowance In Allocation In 2008,Allowance In Allocation In 2009,Allowance In Allocation In 2010,Allowance In Allocation In 2011,Allowance In Allocation In 2012,Allowance In Allocation In 2013,Allowance In Allocation In 2014,Allowance In Allocation In 2015,Allowance In Allocation In 2016,Allowance In Allocation In 2017,Allowance In Allocation In 2018,Allowance In Allocation In 2019,Allowance In Allocation In 2020,Verified Emissions In 2005,Verified Emissions In 2006,Verified Emissions In 2007,Verified Emissions In 2008,Verified Emissions In 2009,Verified Emissions In 2010,Verified Emissions In 2011,Verified Emissions In 2012,Verified Emissions In 2013,Verified Emissions In 2014,Verified Emissions In 2015,Verified Emissions In 2016,Verified Emissions In 2017,Verified Emissions In 2018,Verified Emissions In 2019,Verified Emissions In 2020,Units Surrendered In 2005,Units Surrendered In 2006,Units Surrendered In 2007,Units Surrendered In 2008,Units Surrendered In 2009,Units Surrendered In 2010,Units Surrendered In 2011,Units Surrendered In 2012,Units Surrendered In 2013,Units Surrendered In 2014,Units Surrendered In 2015,Units Surrendered In 2016,Units Surrendered In 2017,Units Surrendered In 2018,Units Surrendered In 2019,Units Surrendered In 2020
Norway,Aircraft Operator Account,"Duke Energy Business Services, LLC",123456789,2010-01-01,open,4620 First Flight Drive,28208,Charlotte,,,,,,,,10,0,0,0,0,0,0,0,0,,,,,,,,0,Excluded,Excluded,Excluded,Excluded,,,,,,,,,,,,,,,,,,,,
Norway,Aircraft Operator Account,Widerøe's Flyveselskap AS,917330557,2010-01-01,open,Postboks 247,8001,Bodø,,,,,,,,63376,59879,59879,59879,59879,59879,59879,59879,59879,,,,,,,,165885,155652,159858,167041,147180,,,,,,,,,,,,165886,,315510,167041,147180,,,,
Norway,Aircraft Operator Account,Norwegian Air Shuttle ASA,965920358,2010-01-01,open,Postboks 115,1330,Fornebu,,,,,,,,994506,824183,824183,824183,824183,824183,824183,824183,824183,,,,,,,,1696576,1845344,2058681,1996198,1373324,,,,,,,,,,,,1696576,,3904025,1996198,1373324,,,,
Norway,Aircraft Operator Account,Bristow Norway AS,967827363,2010-01-01,open,Postboks 171,4097,Sola,,,,,,,,4191,3959,3959,3959,3959,3959,3959,3959,3959,,,,,,,,52045,50949,52156,44344,38401,,,,,,,,,,,,52045,,103105,44344,38401,,,,
Norway,Aircraft Operator Account,Sundt Air Management AS,989656422,2010-01-01,open,Postboks 31,2061,Gardermoen,,,,,,,,75,23,23,23,23,23,23,23,23,,,,,,,,1093,Excluded,472,Excluded,747,,,,,,,,,,,,1093,,472,,747,,,,
Norway,Operator Holding Account,Agder Energi Varme AS,980921409,2009-04-02,open,Postboks 603 Lundsiden,4606,Kristiansand,,,,154,154,154,154,154,4007,3585,3176,2778,2394,2021,1661,1314,,,,1372,3122,7386,1710,367,462,437,636,205,,,,,,,,1372,3122,7386,1710,367,462,437,636,205,,,,
Norway,Operator Holding Account,BKK Produksjon AS,876944642,2009-04-02,open,Postboks 7050,5020,Bergen,,,,6768,6768,6768,6768,6768,4787,4284,3795,3322,2864,2419,1990,1576,,,,20665,20866,24626,27344,25507,26046,27250,24292,27176,,,,,,,,20665,20866,24626,27344,25507,26046,27250,24292,27176,,,,
Norway,Operator Holding Account,BKK Varme AS,979427697,2009-04-02,open,Postboks 7050,5020,Bergen,,,,9786,9786,9786,9786,9786,17906,16025,14194,12419,10698,9034,7422,5872,,,,16919,16303,22494,10655,9328,8023,5284,6653,8214,,,,,,,,16919,16303,22494,10655,9328,8023,5284,6653,8214,,,,
Norway,Operator Holding Account,Pelagia AS,989094823,2009-04-02,open,Postboks 444,5805,BERGEN,,,,13368,13368,13368,13368,13368,9470,9305,9139,8971,8801,8629,8455,8281,,,,13222,15034,11856,13822,10027,7094,6426,7476,5916,,,,,,,,13222,15034,11856,13822,10027,7094,6426,7476,5916,,,,
Norway,Operator Holding Account,Borregaard AS,895623032,2009-04-02,open,Postboks 162,1721,Sarpsborg,,,,160497,160497,212736,177910,177910,210857,207195,203490,199745,195962,192140,188271,184389,,,,167666,175938,142486,115166,113440,137852,129371,116270,121639,,,,,,,,167666,175938,142486,115166,113440,137852,129371,116270,121639,,,,
