Country,Account Type,Account Holder Name,Company Registration No,Permit/Plan Date,Account status,Main Address Line,Postal Code,City,Allowance In Allocation In 2005,Allowance In Allocation In 2006,Allowance In Allocation In 2007,Allowance In Allocation In 2008,Allowance In Allocation In 2009,Allowance In Allocation In 2010,Allowance In Allocation In 2011,Allowance In Allocation In 2012,Allowance In Allocation In 2013,Allowance In Allocation In 2014,Allowance In Allocation In 2015,Allowance In Allocation In 2016,Allowance In Allocation In 2017,Allowance In Allocation In 2018,Allowance In Allocation In 2019,Allowance In Allocation In 2020,Verified Emissions In 2005,Verified Emissions In 2006,Verified Emissions In 2007,Verified Emissions In 2008,Verified Emissions In 2009,Verified Emissions In 2010,Verified Emissions In 2011,Verified Emissions In 2012,Verified Emissions In 2013,Verified Emissions In 2014,Verified Emissions In 2015,Verified Emissions In 2016,Verified Emissions In 2017,Verified Emissions In 2018,Verified Emissions In 2019,Verified Emissions In 2020,Units Surrendered In 2005,Units Surrendered In 2006,Units Surrendered In 2007,Units Surrendered In 2008,Units Surrendered In 2009,Units Surrendered In 2010,Units Surrendered In 2011,Units Surrendered In 2012,Units Surrendered In 2013,Units Surrendered In 2014,Units Surrendered In 2015,Units Surrendered In 2016,Units Surrendered In 2017,Units Surrendered In 2018,Units Surrendered In 2019,Units Surrendered In 2020
Poland,Aircraft Operator Account,POLSKIE LINIE LOTNICZE LOT SPÓŁKA AKCYJNA,010058960,2011-01-01,open,17 Stycznia 43,02-146,Warszawa,,,,,,,,618595,223359,223359,223359,223359,223359,223359,223359,223359,,,,,,,,474499,428788,408184,375134,450780,,,,,,,,,,,,474499,,836972,375134,450780,,,,
Poland,Aircraft Operator Account,Magellan Pro-Service Sp. z o. o.,260363043,2011-01-01,open,al. Solidarności 36,25-323,Kielce,,,,,,,,16,12,12,12,12,12,12,12,12,,,,,,,,393,Excluded,Excluded,Excluded,Excluded,,,,,,,,,,,,393,320,,,,,,,
Poland,Aircraft Operator Account,Enter Air,142051272,2011-01-01,open,17 Stycznia 74,02-146,Warszawa,,,,,,,,32502,7390,7390,7390,7390,7390,7390,7390,7390,,,,,,,,121298,85675,109177,128883,157781,,,,,,,,,,,,121298,,194852,128883,157781,,,,
Poland,Operator Holding Account,Veolia Energia Poznań S.A,630956570,2009-01-01,open,Energetyczna 3,61-016,Poznań,,,,0,7991,10339,10329,10329,7831,6744,5776,4927,4187,3555,3025,2715,,,,,8001,9869,6980,6862,6903,6504,6317,7183,,,,,,,,,8001,9869,6980,6862,6903,6504,6317,7183,,,,
Poland,Operator Holding Account,JSW KOKS S.A.,278093210,2009-02-25,open,PAWLICZKA 1,41-800,ZABRZE,,,,0,141922,141922,141922,141922,1075,962,852,746,643,543,447,354,,,,,137329,137744,135409,141553,136832,136199,124749,112122,,,,,,,,,137329,137744,135409,141553,,273031,124749,112122,,,,
Poland,Operator Holding Account,Pfleiderer MDF Grajewo Sp. z o.o.,330994545,2009-07-28,open,Wiórowa 1,19-203,Grajewo,,,,0,7237,14475,14475,14475,47365,46542,30036,26280,22639,19116,15707,12426,,,,,4914,13761,14673,4819,5363,6241,3351,3779,,,,,,,,,4914,13761,14673,4819,5363,6241,3351,3779,,,,
Poland,Operator Holding Account,POLMLEK  Sp. z o.o.,015203332,2009-11-05,open,Modlińska 310/312,03-152,Warszawa,,,,0,13322,13322,13322,13322,11857,11147,10454,9775,9114,8470,7840,7231,,,,,14446,13566,14840,17525,18769,18707,19473,21559,,,,,,,,,14446,13566,14840,17381,18913,18707,19473,21559,,,,
Poland,Operator Holding Account,Bridgestone Stargard Sp. z o.o.,320226297,2010-02-01,open,Most Kamienny 7,73-110,Stargard Szczeciński,,,,0,0,16306,16306,16306,7144,7020,6895,6768,6639,6509,6379,6247,,,,,,8288,9961,9504,10788,12010,13051,13629,,,,,,,,,,8288,9961,9504,10788,12010,13051,13629,,,,
Poland,Operator Holding Account,Elektrociepłownia Marcel Sp. z o.o.,276160089,2005-01-01,open,Hutnicza 1,44-310,Radlin,360700,360700,360700,186997,186997,186997,186997,186997,16055,15204,14439,13694,12966,12256,11562,10888,329459,202429,152763,134142,138230,139013,136516,130719,134141,132158,131459,122432,,,,,329459,202429,152763,134142,138230,139013,136516,130719,134141,132158,131459,122432,,,,
Poland,Operator Holding Account,CERAMIKA BUDOWLANA Sp. z o.o.,270516846,2009-07-29,closed,Odonów,28-500,Kazimierza Wielka,,,,0,3575,7000,7000,7000,,,,,,,,,,,,,2928,0,0,Not Reported,,,,,,,,,,,,,2928,,,,,,,,,,,
Poland,Operator Holding Account,WIENERBERGER CERAMIKA BUDOWLANA SP. Z O.O.,770733953,2009-12-08,open,Ostrobramska 79,04-175,Warszawa,,,,0,2422,36833,36833,36833,39241,38559,37869,37173,28958,28394,27821,27248,,,,,2374,48180,35542,40053,38467,33158,39437,27480,,,,,,,,,,50554,35542,40053,38467,33158,39437,27480,,,,
