Country,Account Type,Account Holder Name,Company Registration No,Permit/Plan Date,Account status,Main Address Line,Postal Code,City,Allowance In Allocation In 2005,Allowance In Allocation In 2006,Allowance In Allocation In 2007,Allowance In Allocation In 2008,Allowance In Allocation In 2009,Allowance In Allocation In 2010,Allowance In Allocation In 2011,Allowance In Allocation In 2012,Allowance In Allocation In 2013,Allowance In Allocation In 2014,Allowance In Allocation In 2015,Allowance In Allocation In 2016,Allowance In Allocation In 2017,Allowance In Allocation In 2018,Allowance In Allocation In 2019,Allowance In Allocation In 2020,Verified Emissions In 2005,Verified Emissions In 2006,Verified Emissions In 2007,Verified Emissions In 2008,Verified Emissions In 2009,Verified Emissions In 2010,Verified Emissions In 2011,Verified Emissions In 2012,Verified Emissions In 2013,Verified Emissions In 2014,Verified Emissions In 2015,Verified Emissions In 2016,Verified Emissions In 2017,Verified Emissions In 2018,Verified Emissions In 2019,Verified Emissions In 2020,Units Surrendered In 2005,Units Surrendered In 2006,Units Surrendered In 2007,Units Surrendered In 2008,Units Surrendered In 2009,Units Surrendered In 2010,Units Surrendered In 2011,Units Surrendered In 2012,Units Surrendered In 2013,Units Surrendered In 2014,Units Surrendered In 2015,Units Surrendered In 2016,Units Surrendered In 2017,Units Surrendered In 2018,Units Surrendered In 2019,Units Surrendered In 2020
Portugal,Aircraft Operator Account,Timothy E Jassak,,2010-01-01,open,3010 Corporate Drive,60087,Waukegan,,,,,,,,,0,0,0,0,0,0,0,0,,,,,,,,57,Excluded,Excluded,Excluded,Excluded,,,,,,,,,,,,,,,,,,,,
Portugal,Aircraft Operator Account,"Transportes Aéreos Portugueses, S.A.",500278725,2012-01-01,open,"Aeroporto de Lisboa, Edifício 25 - 8º",1704-801,Lisboa,,,,,,,,1980886,499254,499254,499254,499254,499254,499254,499254,499254,,,,,,,,1281902,1055775,1108664,1160829,1115287,,,,,,,,,,,,1281902,,2164439,1160829,1115287,,,,
Portugal,Aircraft Operator Account,"White Airways, S.A.",504869213,2012-01-01,open,"Rua Henrique Callado, n.º4, piso 2",2740-303,Porto Salvo,,,,,,,,43359,2067,2067,2067,2067,2067,2067,2067,2067,,,,,,,,0,Excluded,12344,Excluded,Excluded,,,,,,,,,,,,,,12344,,,,,,
Portugal,Operator Holding Account,"SUGAL - Alimentos, S.A.",500277230,2005-11-25,open,"Estrada Nacional nº 3, Apartado 1, Azambuja",2054-909,Azambuja,27982,27982,27982,31714,37171,44084,44084,44585,20098,19520,18946,18378,17813,17253,16698,16151,28520,27409,29416,27409,31540,34373,17669,21667,18927,20899,28907,24628,,,,,28520,27409,29416,27409,31540,34373,17669,21667,18927,20899,28907,24628,,,,
Portugal,Operator Holding Account,"DOW Portugal, Produtos Químicos, SUL",500803862,2005-11-25,open,"Quinta da Indústria, Poente",3860-529,Estarreja,49093,49093,49093,48149,48149,48149,111632,74480,45698,44905,44102,43290,42470,41642,40803,39962,44544,47619,47240,45451,29692,50092,43748,50254,53587,58860,56926,52317,,,,,44544,47619,47240,45451,29692,50092,43748,50254,53587,58860,56926,52317,,,,
Portugal,Operator Holding Account,"SPE-Sociedade de Produção de Electricidade e Calor, S.A.",503208280,2005-11-25,open,"Rua Comendador Manuel Gonçalves, n.º25, S.Cosme da Vila",4770-583,S. Cosme do Vale,55626,55626,55626,46027,46027,46027,46027,46027,5899,0,0,0,0,0,0,0,54078,56516,55721,20925,22495,22133,21182,21158,2388,0,77,293,,,,,54078,56516,55721,20925,22495,22133,21182,21158,2388,,77,293,,,,
Portugal,Operator Holding Account,"António Marques, Lda",500956677,2005-11-25,closed,"Rua da Azenha, n.º 42/254",4536,Paços de Brandão,1632,1632,1632,0,0,0,0,0,,,,,,,,,1778,3328,0,0,Not Reported,Not Reported,0,,,,,,,,,,1778,3328,,,,,,,,,,,,,,
Portugal,Operator Holding Account,"Evertis Energia, S.A.",506748626,2005-11-25,open,Quinta de S. Vicente - Estrada Nacional 246,7300-952,Portalegre,41225,41225,41225,51079,51079,51079,51079,51079,21619,21143,20669,10496,10209,9925,9645,9368,39452,41161,42727,41324,37777,36056,21517,38162,38923,25414,10246,9954,,,,,39452,41161,85454,41324,37777,36056,21517,38162,38923,25414,10246,9954,,,,
Portugal,Operator Holding Account,"M. A. Lopes D'Avó, Lda",500659400,2005-11-25,open,Rua Dr.Carlos Nunes Ferreira,2025,Amiais de Cima,6477,6477,6477,6048,6048,6048,6048,6048,4354,2140,2102,2063,2024,1985,1944,1904,4347,3547,4009,865,1,0,0,0,906,898,134,84,,,,,8356,3547,,865,1,,,,906,898,134,84,,,,
Portugal,Operator Holding Account,"Riopele Têxteis, S.A.",500108064,2005-11-25,closed,"Avenida da Riopele, n.º 946, Pousada de Saramagos",4770-405,Pousada de Saramagos,22015,22015,22015,4781,4781,4781,0,0,,,,,,,,,4695,1253,1196,3121,2756,2919,0,,,,,,,,,,4695,1253,1196,3121,2756,2919,,,,,,,,,,
