Country,Account Type,Account Holder Name,Company Registration No,Permit/Plan Date,Account status,Main Address Line,Postal Code,City,Allowance In Allocation In 2005,Allowance In Allocation In 2006,Allowance In Allocation In 2007,Allowance In Allocation In 2008,Allowance In Allocation In 2009,Allowance In Allocation In 2010,Allowance In Allocation In 2011,Allowance In Allocation In 2012,Allowance In Allocation In 2013,Allowance In Allocation In 2014,Allowance In Allocation In 2015,Allowance In Allocation In 2016,Allowance In Allocation In 2017,Allowance In Allocation In 2018,Allowance In Allocation In 2019,Allowance In Allocation In 2020,Verified Emissions In 2005,Verified Emissions In 2006,Verified Emissions In 2007,Verified Emissions In 2008,Verified Emissions In 2009,Verified Emissions In 2010,Verified Emissions In 2011,Verified Emissions In 2012,Verified Emissions In 2013,Verified Emissions In 2014,Verified Emissions In 2015,Verified Emissions In 2016,Verified Emissions In 2017,Verified Emissions In 2018,Verified Emissions In 2019,Verified Emissions In 2020,Units Surrendered In 2005,Units Surrendered In 2006,Units Surrendered In 2007,Units Surrendered In 2008,Units Surrendered In 2009,Units Surrendered In 2010,Units Surrendered In 2011,Units Surrendered In 2012,Units Surrendered In 2013,Units Surrendered In 2014,Units Surrendered In 2015,Units Surrendered In 2016,Units Surrendered In 2017,Units Surrendered In 2018,Units Surrendered In 2019,Units Surrendered In 2020
Romania,Aircraft Operator Account,S.C. BLUE AIR - AIRLINE MANAGEMENT SOLUTIONS S.R.L.,J40/5103/17.04.2013,2012-01-01,open,"Sos. Bucuresti-Ploiesti, nr. 42-44, complex BB&TP",013696,Bucuresti,,,,,,,,163908,153915,153915,153915,153915,153915,153915,153915,153915,,,,,,,,208971,186292,192816,269194,434073,,,,,,,,,,,,208971,,379108,269194,434073,,,,
Romania,Aircraft Operator Account,CARPATAIR S.A.,J35/777/2003,2012-01-01,open,"Str.Ion Ionescu de la Brad,Nr.15,Timisoara,Timis",307210,Timisoara,,,,,,,,30892,24618,24618,24618,24618,24618,24618,24618,24618,,,,,,,,38029,19536,8820,5339,4605,,,,,,,,,,,,38029,,28356,5339,4605,,,,
Romania,Aircraft Operator Account,S.C. TAROM S.A.,J23/1298/2003,2012-01-01,open,"Calea Bucurestilor, nr.224 F",075150,Otopeni,,,,,,,,185458,135528,135528,135528,135528,135528,135528,135528,135528,,,,,,,,260886,267022,288705,295621,313251,,,,,,,,,,,,260886,,555727,295621,313251,,,,
Romania,Aircraft Operator Account,Autoritatea Aeronautica Civila Romana,J40/9079/2003,2009-01-01,open,"Str. Bucuresti-Ploiesti nr. 38-40, sec.1 Bucuresti",013695,Bucuresti,,,,,,,,,,,,,,,,,,,,,,,,5,Excluded,Excluded,Excluded,Excluded,,,,,,,,,,,,5,,,,,,,,
Romania,Operator Holding Account,SC LASSELBERGER SA,RO446209,2008-04-18,closed,"Str. Zarii, Nr.12, Sector 5",0,Bucuresti,0,0,10292,9107,9107,0,0,0,,,,,,,,,,,10894,9059,0,0,Not Reported,,,,,,,,,,,,10894,9059,,,,,,,,,,,,
Romania,Operator Holding Account,United Romanian Breweries Bereprod SRL,5857302,2008-04-18,open,"B-dul Unirii, nr.27, Bl 15, Sc. 2, et 1,  Ap. 24",040103,BUCURESTI,0,0,6999,9797,15258,15258,15258,15257,6953,6222,5511,4822,4154,3507,2882,2280,,,9397,11168,10150,11719,11062,10536,9236,10406,11932,11137,,,,,,,9397,11168,10150,11719,11062,10536,9236,10406,11932,11137,,,,
Romania,Operator Holding Account,S Complexul Energetic Oltenia SA,RO30267310,2008-04-18,open,"Str.Alexandru Ioan Cuza, nr.5",210227,Tg. Jiu,0,0,1641882,1445035,1445034,1445034,1445034,1445034,315646,257082,205255,159966,120917,87841,60461,46444,,,2022746,2257591,1797740,1495325,1962612,1619393,1120185,1164735,1241520,1303931,,,,,,,2022746,2257591,1797740,1495325,1962612,1619393,1120185,1164735,1241520,1303931,,,,
Romania,Operator Holding Account,CUPROM SA Bucuresti - Sucursala Baia Mare,15521953,2008-04-18,open,"Str. Monetariei Nr. 8 , Corp B , Etaj II, Sector 2",430334,Baia Mare,0,0,19186,19245,19245,19245,19245,19244,,,,,,,,,,,12335,9933,212,62,18,15,Excluded,Excluded,Excluded,Excluded,,,,,,,12335,9933,212,62,18,15,,,,,,,,
Romania,Operator Holding Account,Directia de Termoficare a Municipiului Bistrita,19124328,2008-04-18,closed,Str. Parcului nr.1,545300,Bistrita Nasaud,0,0,5597,,,,,,,,,,,,,,,,4920,Not Reported,Not Reported,Not Reported,Not Reported,Not Reported,,,,,,,,,,,5597,,,,,,,,,,,,,
Romania,Operator Holding Account,CRH Ciment (Romania) SA,RO328750,2008-04-18,open,"Piata Charles de Gaulle nr.15, etaj 2, sector 1",011857,Bucuresti,0,0,1078285,1306086,1306085,1306085,1306085,1306085,695527,683446,671223,658873,646390,633785,621024,608218,,,797476,920649,684340,598530,635868,693187,610714,633988,844876,754153,,,,,,,797476,920649,684340,598530,635868,693187,610714,633988,844876,754153,,,,
