Country,Account Type,Account Holder Name,Company Registration No,Permit/Plan Date,Account status,Main Address Line,Postal Code,City,Allowance In Allocation In 2005,Allowance In Allocation In 2006,Allowance In Allocation In 2007,Allowance In Allocation In 2008,Allowance In Allocation In 2009,Allowance In Allocation In 2010,Allowance In Allocation In 2011,Allowance In Allocation In 2012,Allowance In Allocation In 2013,Allowance In Allocation In 2014,Allowance In Allocation In 2015,Allowance In Allocation In 2016,Allowance In Allocation In 2017,Allowance In Allocation In 2018,Allowance In Allocation In 2019,Allowance In Allocation In 2020,Verified Emissions In 2005,Verified Emissions In 2006,Verified Emissions In 2007,Verified Emissions In 2008,Verified Emissions In 2009,Verified Emissions In 2010,Verified Emissions In 2011,Verified Emissions In 2012,Verified Emissions In 2013,Verified Emissions In 2014,Verified Emissions In 2015,Verified Emissions In 2016,Verified Emissions In 2017,Verified Emissions In 2018,Verified Emissions In 2019,Verified Emissions In 2020,Units Surrendered In 2005,Units Surrendered In 2006,Units Surrendered In 2007,Units Surrendered In 2008,Units Surrendered In 2009,Units Surrendered In 2010,Units Surrendered In 2011,Units Surrendered In 2012,Units Surrendered In 2013,Units Surrendered In 2014,Units Surrendered In 2015,Units Surrendered In 2016,Units Surrendered In 2017,Units Surrendered In 2018,Units Surrendered In 2019,Units Surrendered In 2020
Slovakia,Aircraft Operator Account,"VIP WINGS, a.s.",35788631,2012-01-01,closed,Ivánska cesta 30/B,82104,Bratislava,,,,,,,,4005,,,,,,,,,,,,,,,,6678,,,,,,,,,,,,,,,,6678,,,,,,,,
Slovakia,Operator Holding Account,"STEFE Banská Bystrica, a.s.",36024473,2008-01-01,open,Zvolenská cesta 1,97405,Banská Bystrica,37541,37541,37540,32600,32600,32600,32600,32600,9725,8673,7684,6725,5797,4899,4030,3192,23371,24191,25895,23516,23280,23094,20340,13057,12305,12435,12701,13386,,,,,,47562,25895,23516,23280,23094,20340,13057,12305,12435,12701,13386,,,,
Slovakia,Operator Holding Account,"Tate & Lyle Boleraz, s.r.o.",31411011,2008-01-01,open,Boleráz,91908,Boleráz,39045,39045,39045,44200,44200,66500,73200,73200,42263,41528,40793,40056,39321,38586,37851,37116,39586,46781,44950,55380,49229,51840,58929,57082,52288,59480,60606,59805,,,,,541,85826,44950,55380,49229,51840,58929,57082,52288,59480,60606,59805,,,,
Slovakia,Operator Holding Account,A.N.B. a.s.,35732032,2006-02-10,closed,Bystrická 657/7,96681,Žarnovica,1892,1892,1891,,,,,,,,,,,,,,12,55,21,,,Not Reported,,,,,,,,,,,,67,21,,,,,,,,,,,,,
Slovakia,Operator Holding Account,"AVC, a.s.",31561306,2005-12-21,closed,Slobody 1360,02211,Čadca,5197,5196,5196,,,,,,,,,,,,,,1997,941,0,,,Not Reported,,,,,,,,,,,1,2937,,,,,,,,,,,,,,
Slovakia,Operator Holding Account,Bekaert Hlohovec a. s.,36234052,2008-01-01,closed,Mierová 2317,92028,Hlohovec,18792,18792,18792,7480,7480,7480,7480,0,,,,,,,,,7531,7417,7253,8134,6744,250,0,,,,,,,,,,,14948,7253,8134,6744,250,,,,,,,,,,
Slovakia,Operator Holding Account,Biotika a.s.,31561900,2008-01-01,open,Slovenská Ľupča 566,97613,Slovenská Ľupča,58417,58416,58416,52561,52561,52561,52561,52561,15874,15598,15319,15037,14752,14464,14173,13881,28193,20198,23173,23420,18828,19221,20652,17818,19849,15464,15097,14738,,,,,4977,43414,23173,23420,18828,19221,20652,17818,19849,15464,15097,14738,,,,
Slovakia,Operator Holding Account,TIMMA s.r.o.,36624985,2008-01-01,closed,Námestie A. Hlinka 3/816,01011,Žilina,34286,34285,34285,39433,39433,39433,39433,0,,,,,,,,,27146,21330,15495,10550,2994,57,5,Not Reported,,,,,,,,,9162,39314,15495,10550,2994,57,5,,,,,,,,,
Slovakia,Operator Holding Account,"Bratislavská teplárenská, a.s.",35823542,2008-01-01,open,Bajkalská 21/A,82905,Bratislava,132530,132530,132530,103390,103390,103390,103390,103390,34740,31598,51480,45658,40014,34551,29260,24157,119341,87439,38762,39938,39339,41099,26282,28619,30641,136535,136695,137191,,,,,,206780,38762,39938,39339,41099,26282,28619,30641,136535,136695,137191,,,,
Slovakia,Operator Holding Account,"Bratislavská teplárenská, a.s.",35823542,2008-01-01,open,Bajkalská 21/A,82905,Bratislava,121764,121764,121764,97884,97884,97884,97884,97884,62358,55804,49437,43271,37298,31519,25928,20536,101300,94469,85028,84369,83582,87459,78038,69910,61274,49413,54288,55730,,,,,,195769,85028,84369,83582,87459,78038,69910,61274,49413,54288,55730,,,,
Slovakia,Operator Holding Account,"Bratislavská teplárenská, a.s.",35823542,2008-01-01,open,Bajkalská 21/A,82905,Bratislava,14000,14000,14000,8571,8571,8571,8571,8571,4058,3565,3189,2825,2471,2129,1797,1478,7778,8571,1535,2811,4054,6006,1145,3823,2990,26143,26089,22667,,,,,,16349,1535,2811,4054,6006,1145,3823,2990,26143,26089,22667,,,,
Slovakia,Operator Holding Account,"Bučina DDD, spol. s r.o.",36059323,2008-01-01,open,Lučenecká cesta 1335/21,96096,Zvolen,15089,15089,15089,9700,9700,9700,9700,9700,32787,32218,20792,18191,15671,13232,10871,8602,7003,8332,8403,13617,8315,7502,6917,7650,8025,8034,8744,8721,,,,,,15335,8403,13617,8315,7502,6917,7650,8025,8034,8744,8721,,,,
Slovakia,Operator Holding Account,"BUČINA ZVOLEN, a.s.",36029815,2008-01-01,closed,Lučenecká cesta 2266/6,96096,Zvolen,2484,2484,2484,700,700,700,700,700,,,,,,,,,110,410,35,17,2,1,173,60,,,,,,,,,,520,35,17,2,1,173,60,,,,,,,,
