Country,Account Type,Account Holder Name,Company Registration No,Permit/Plan Date,Account status,Main Address Line,Postal Code,City,Allowance In Allocation In 2005,Allowance In Allocation In 2006,Allowance In Allocation In 2007,Allowance In Allocation In 2008,Allowance In Allocation In 2009,Allowance In Allocation In 2010,Allowance In Allocation In 2011,Allowance In Allocation In 2012,Allowance In Allocation In 2013,Allowance In Allocation In 2014,Allowance In Allocation In 2015,Allowance In Allocation In 2016,Allowance In Allocation In 2017,Allowance In Allocation In 2018,Allowance In Allocation In 2019,Allowance In Allocation In 2020,Verified Emissions In 2005,Verified Emissions In 2006,Verified Emissions In 2007,Verified Emissions In 2008,Verified Emissions In 2009,Verified Emissions In 2010,Verified Emissions In 2011,Verified Emissions In 2012,Verified Emissions In 2013,Verified Emissions In 2014,Verified Emissions In 2015,Verified Emissions In 2016,Verified Emissions In 2017,Verified Emissions In 2018,Verified Emissions In 2019,Verified Emissions In 2020,Units Surrendered In 2005,Units Surrendered In 2006,Units Surrendered In 2007,Units Surrendered In 2008,Units Surrendered In 2009,Units Surrendered In 2010,Units Surrendered In 2011,Units Surrendered In 2012,Units Surrendered In 2013,Units Surrendered In 2014,Units Surrendered In 2015,Units Surrendered In 2016,Units Surrendered In 2017,Units Surrendered In 2018,Units Surrendered In 2019,Units Surrendered In 2020
Slovenia,Aircraft Operator Account,Adria Airways d.d.,5156505000,2011-01-01,open,Zgornji Brnik 130H,SI-4210,Brnik,,,,,,,,82534,38891,38891,38891,38891,38891,38891,38891,38891,,,,,,,,71482,59807,66206,88387,135814,,,,,,,,,,,,71482,,126013,88387,135814,,,,
Slovenia,Operator Holding Account,"ENERGETIKA LJUBLJANA, D.O.O.",5226406000,2005-01-01,open,Verovškova 62,SI-1000,Ljubljana,48845,46888,44930,52263,52263,52263,52263,52263,27776,25404,23098,13391,12251,11145,10071,9031,50960,57244,45991,43070,52643,41628,42389,44462,36849,39945,37113,38998,,,,,50960,57244,45991,43070,52643,41628,42389,44462,36849,39945,37113,38998,,,,
Slovenia,Operator Holding Account,JAVNO PODJETJE ENERGETIKA MARIBOR D.O.O.,5107199000,2005-01-01,open,Jadranska cesta 28,SI-2000,Maribor,33100,32021,30943,30595,30595,30595,30595,30595,13655,12220,5413,4738,8168,6902,5677,4497,31591,22320,18729,20110,21614,23218,20892,20308,19349,7118,7192,9970,,,,,31591,22320,18729,20110,21614,23218,20892,20308,19349,7118,7192,9970,,,,
Slovenia,Operator Holding Account,TEB D.O.O. BRESTANICA,5033772000,2005-01-01,open,Cesta prvih borcev 18,SI-8280,Brestanica,86320,82878,79436,65200,65200,65200,65200,65200,,,,,,,,,27995,19951,57448,12817,13088,5754,10663,8843,4638,10422,9136,7009,,,,,27995,19951,57448,12817,13088,5754,10663,8843,4638,10422,9136,7009,,,,
Slovenia,Operator Holding Account,TERMOELEKTRARNA ŠOŠTANJ D.O.O.,5040388000,2005-01-01,open,Cesta Lole Ribarja 18,SI-3325,Šoštanj,4740366,4465271,4190176,4300824,4300824,4300824,4300824,4300824,132157,110006,90334,73070,58102,45335,37967,32042,4622633,4662428,4906889,4798149,4573225,4775277,4676085,4547821,4362082,3530977,3791039,4148697,,,,,4622633,4662428,4906889,4798149,4573225,4775277,4676085,4547821,4362082,3530977,3791039,4148697,,,,
Slovenia,Operator Holding Account,"ENERGETIKA LJUBLJANA, d.o.o.",5226406,2005-01-01,open,Verovškova 62,SI-1000,Ljubljana,836237,802940,769642,769556,769556,769556,769556,769556,296268,251596,211208,175009,147906,127310,107370,88133,858187,809286,809426,826144,701085,756316,721924,670947,649890,584808,565901,576966,,,,,858187,809286,809426,826144,701085,756316,721924,670947,649890,584808,565901,576966,,,,
Slovenia,Operator Holding Account,"TET, d.o.o. - v lividaciji",5035511000,2005-01-01,open,Ob železnici 27,SI-1420,Trbovlje,743260,713675,684089,681420,681420,681420,681420,681420,,,,,,,,,670750,747600,727309,682625,729965,591297,747089,636131,553014,143390,232,276,,,,,670750,747600,727309,682625,729965,591297,747089,636131,553014,143390,232,276,,,,
Slovenia,Operator Holding Account,SIJ ACRONI D.O.O.,5688418000,2005-01-01,open,Cesta Borisa Kidriča 44,SI-4270,Jesenice,87055,83568,80081,91386,91386,91386,91386,91386,99172,97449,95706,93945,92165,90367,88548,86723,90638,93006,88300,97418,78144,94564,96067,98538,98746,101921,95712,96288,,,,,90638,,181306,97418,78144,94564,96067,98538,98746,101921,94988,97012,,,,
Slovenia,Operator Holding Account,"METAL RAVNE, D.O.O.",5686482000,2005-01-01,open,Koroška cesta 14,SI-2390,Ravne na Koroškem,58392,55649,52905,55216,55216,55216,55216,55216,56035,55061,54076,53082,52076,51061,50032,49000,61131,57770,55275,56146,43356,59791,66226,67187,67897,71218,76202,85558,,,,,61131,57770,55275,56146,43356,59791,66226,67187,67897,71218,76202,85558,,,,
Slovenia,Operator Holding Account,ŠTORE STEEL D.O.O.,1197967000,2005-01-01,open,Železarska 3,SI-3220,Štore,29288,28206,27124,28319,28319,28319,28319,28319,31225,30683,30135,29580,29020,28454,27881,27306,34306,34758,36578,35090,18005,32644,34934,31676,33462,33387,34441,35642,,,,,34306,34758,36578,35090,18005,32644,34934,31676,33462,33387,34441,35642,,,,
Slovenia,Operator Holding Account,"SALONIT ANHOVO, D.D.",5043816000,2005-01-01,open,Anhovo 1,SI-5210,Deskle,487039,478567,470095,423819,423819,437819,437819,437819,610399,599786,589050,578200,566674,555624,544436,533209,432800,470162,532142,608238,479512,369522,392517,437372,402528,496227,534965,524131,,,,,432800,470162,532142,608238,479512,369522,392517,437372,402528,496227,534965,524131,,,,
Slovenia,Operator Holding Account,"LAFARGE CEMENT, D.O.O",5950619000,2005-01-01,open,Kolodvorska cesta 5,SI-1420,Trbovlje,313852,308105,302359,306597,306597,306597,306597,306597,72758,284787,140042,383,376,369,361,354,343602,365452,365843,359693,213980,194199,86034,42797,198066,141476,11939,170,,,,,343602,365452,365843,359693,213980,194199,86034,42797,198066,141476,11939,170,,,,
