Country,Account Type,Account Holder Name,Company Registration No,Permit/Plan Date,Account status,Main Address Line,Postal Code,City,Allowance In Allocation In 2005,Allowance In Allocation In 2006,Allowance In Allocation In 2007,Allowance In Allocation In 2008,Allowance In Allocation In 2009,Allowance In Allocation In 2010,Allowance In Allocation In 2011,Allowance In Allocation In 2012,Allowance In Allocation In 2013,Allowance In Allocation In 2014,Allowance In Allocation In 2015,Allowance In Allocation In 2016,Allowance In Allocation In 2017,Allowance In Allocation In 2018,Allowance In Allocation In 2019,Allowance In Allocation In 2020,Verified Emissions In 2005,Verified Emissions In 2006,Verified Emissions In 2007,Verified Emissions In 2008,Verified Emissions In 2009,Verified Emissions In 2010,Verified Emissions In 2011,Verified Emissions In 2012,Verified Emissions In 2013,Verified Emissions In 2014,Verified Emissions In 2015,Verified Emissions In 2016,Verified Emissions In 2017,Verified Emissions In 2018,Verified Emissions In 2019,Verified Emissions In 2020,Units Surrendered In 2005,Units Surrendered In 2006,Units Surrendered In 2007,Units Surrendered In 2008,Units Surrendered In 2009,Units Surrendered In 2010,Units Surrendered In 2011,Units Surrendered In 2012,Units Surrendered In 2013,Units Surrendered In 2014,Units Surrendered In 2015,Units Surrendered In 2016,Units Surrendered In 2017,Units Surrendered In 2018,Units Surrendered In 2019,Units Surrendered In 2020
Spain,Aircraft Operator Account,SPANAIR S.A.,A07225154,2012-01-01,closed,"PASSEIG DE GRACIA, 2",08012,BARCELONA,,,,,,,,567881,,,,,,,,,,,,,,,,45781,,,,,,,,,,,,,,,,45781,,,,,,,,
Spain,Aircraft Operator Account,PUNTO FA S.L.,B-59088948,2010-01-01,open,"MERCADERS, 9-11",08184,PALAU-SOLITÀ I PLEGAMANS,,,,,,,,57,17,17,17,17,17,17,17,17,,,,,,,,916,1086,1175,0,Excluded,,,,,,,,,,,,916,,2261,543,,,,,
Spain,Aircraft Operator Account,Edelweiss Air AG,CH-020.3.006.6253,2010-01-01,open,Operations Center,8058,Zurich Airport,,,,,,,,53047,150,150,150,150,150,150,150,150,,,,,,,,82811,0,32,45,17,,,,,,,,,,,,82811,,32,45,17,,,,
Spain,Aircraft Operator Account,"AIR NOSTRUM LINEAS AEREAS DEL MEDITERRANEO, S.A.",A96302724,2009-01-01,open,"AVDA. COMARQUES DEL PAIS VALENCIA, 2",46930,"QUART DE POBLET, VALENCIA",,,,,,,,197162,174084,174084,174084,174084,174084,174084,174084,174084,,,,,,,,415375,307286,289528,309492,340468,,,,,,,,,,,,415375,,596814,309492,340468,,,,
Spain,Aircraft Operator Account,VIM Airlines,011553148,2011-01-01,open,"Novokhokhlovskaya str., 23, bld. 1",109052,Moscow,,,,,,,,73359,7,7,7,7,7,7,7,7,,,,,,,,22858,327,16,27,156,,,,,,,,,,,,22858,,343,27,156,,,,
Spain,Aircraft Operator Account,"Vueling Airlines, S.A.",A63422141,2011-01-01,open,"Plaça Plà de L Estany, 5",08820,Barcelona,,,,,,,,721536,590650,590650,590650,590650,590650,590650,590650,590650,,,,,,,,1264582,1303932,1611610,1840120,2014935,,,,,,,,,,,,1264582,,2915542,1840120,2014935,,,,
Spain,Aircraft Operator Account,IBERWORLD AIRLINES SAU,A07788318,2012-01-01,closed,RITA LEVI S/N,07121,PALMA DE MALLORCA,,,,,,,,318284,39263,0,0,0,,,,,,,,,,,,242974,1679,0,,,,,,,,,,,,,,242974,,1679,,,,,,
Spain,Operator Holding Account,"ENGIE CARTAGENA, S.L",B96766928,2005-06-09,open,"Torrelaguna, 79",28043,Madrid,74841,0,0,912930,895580,895580,895580,895580,,,,,,,,,0,31508,817933,1493421,1874028,1255225,293348,94394,37538,68072,153181,213141,,,,,,31508,817933,1493421,1874028,1255225,293348,94394,37538,68072,153181,213141,,,,
Spain,Operator Holding Account,"Iberdrola Generación, S.A.U.",A95075586,2005-06-09,closed,"Plaza Euskadi, 5",48009,Bilbao (Vizcaya),215564,84646,0,0,0,0,0,0,,,,,,,,,749397,167396,24843,4,,Not Reported,,,,,,,,,,,749397,167396,24843,4,,,,,,,,,,,,
Spain,Operator Holding Account,"Cal Industrial, S.L",B31027097,2005-06-09,open,"Avda. Pio XII, 22, oficina 2",31008,Pamplona,175134,175134,175134,154096,154096,154096,154096,154096,130960,128685,126384,124059,121708,119335,116932,114521,144903,149906,166569,151224,143988,132091,126889,120984,130146,126476,136035,119960,,,,,144903,149906,166569,151224,143988,132091,126889,120984,130146,126476,136035,119960,,,,
