Country,Account Type,Account Holder Name,Company Registration No,Permit/Plan Date,Account status,Main Address Line,Postal Code,City,Allowance In Allocation In 2005,Allowance In Allocation In 2006,Allowance In Allocation In 2007,Allowance In Allocation In 2008,Allowance In Allocation In 2009,Allowance In Allocation In 2010,Allowance In Allocation In 2011,Allowance In Allocation In 2012,Allowance In Allocation In 2013,Allowance In Allocation In 2014,Allowance In Allocation In 2015,Allowance In Allocation In 2016,Allowance In Allocation In 2017,Allowance In Allocation In 2018,Allowance In Allocation In 2019,Allowance In Allocation In 2020,Verified Emissions In 2005,Verified Emissions In 2006,Verified Emissions In 2007,Verified Emissions In 2008,Verified Emissions In 2009,Verified Emissions In 2010,Verified Emissions In 2011,Verified Emissions In 2012,Verified Emissions In 2013,Verified Emissions In 2014,Verified Emissions In 2015,Verified Emissions In 2016,Verified Emissions In 2017,Verified Emissions In 2018,Verified Emissions In 2019,Verified Emissions In 2020,Units Surrendered In 2005,Units Surrendered In 2006,Units Surrendered In 2007,Units Surrendered In 2008,Units Surrendered In 2009,Units Surrendered In 2010,Units Surrendered In 2011,Units Surrendered In 2012,Units Surrendered In 2013,Units Surrendered In 2014,Units Surrendered In 2015,Units Surrendered In 2016,Units Surrendered In 2017,Units Surrendered In 2018,Units Surrendered In 2019,Units Surrendered In 2020
Sweden,Aircraft Operator Account,TUIfly Nordic AB,5562489525,2010-01-01,open,Söder Mälarstrand 27,11785,Stockholm,,,,,,,,400360,93930,93930,93930,93930,93930,93930,93930,93930,,,,,,,,306681,96703,105689,106126,122573,,,,,,,,,,,,306681,,202392,106126,122573,,,,
Sweden,Aircraft Operator Account,Scandinavian Airlines System SAS,9020017720,2010-01-01,open,Scandinavian Airlines System SAS,19587,STOCKHOLM,,,,,,,,2415214,1275339,1275339,1275339,1275339,1275339,1275339,1275339,1275339,,,,,,,,3621292,2334686,2366299,2357470,2432546,,,,,,,,,,,,3621292,,4700985,2357470,2432546,,,,
Sweden,Aircraft Operator Account,West Air Sweden AB,556062-4420,2012-01-01,open,Prästgårdsgatan,SE41271,Gothenburg,,,,,,,,15230,13495,13495,13495,13495,13495,13495,13495,13495,,,,,,,,3308,10318,39366,38235,40346,,,,,,,,,,,,3308,,49684,38235,40346,,,,
Sweden,Aircraft Operator Account,Braathens Regional Aviation AB,556458-3101,2010-01-01,open,Box 37,20120,Malmö,,,,,,,,60574,56321,56321,56321,56321,56321,56321,56321,56321,,,,,,,,131741,130863,135870,132436,116162,,,,,,,,,,,,131741,,266733,132436,116162,,,,
Sweden,Operator Holding Account,AB Fortum Värme samägt med Stockholms Stad,556016-9095,2005-03-04,closed,Lidingövägen 115,11547,Stockholm,8444,8444,8444,7631,7631,0,0,0,,,,,,,,,410,625,526,576,0,,,,,,,,,,,,410,625,526,576,,,,,,,,,,,,
Sweden,Operator Holding Account,ABB AB,556029-7029,2005-03-04,open,Fe 6350,83 984,ÖSTERSUND,9144,9144,9144,7684,7684,7684,7684,7684,6262,6153,6043,5932,5819,5706,5591,5476,6679,6577,6998,7361,8619,8991,7498,7241,8069,7064,6777,7933,,,,,6679,6577,6998,7361,8619,8991,7498,7241,8069,7064,6777,7933,,,,
Sweden,Operator Holding Account,Länssjukhuset,232100-0073,2005-03-04,open,Lasarettsvägen,39185,KALMAR,0,0,0,431,431,431,431,431,77,0,0,0,0,0,0,0,0,0,278,70,8,1,1,3,4,16,34,17,,,,,,,1143,70,8,1,1,3,4,16,35,16,,,,
Sweden,Operator Holding Account,Ystad Energi AB,556527-2936,2005-01-01,open,Fridhemsgatan 24,27145,YSTAD,4827,4827,4827,0,0,0,0,0,20753,18573,16451,14393,12400,10470,8603,6805,1305,2661,1168,469,1060,724,327,426,249,185,325,315,,,,,1305,2661,1168,469,1060,724,327,426,249,185,325,315,,,,
Sweden,Operator Holding Account,Håfreströms företagspark AB,556058-6595,2005-03-04,closed,FABRIKSVÄGEN 15,46482,ÅSENSBRUK,34123,21192,21192,19155,19155,19155,19155,19155,,,,,,,,,21042,58137,21265,30846,11940,1462,0,0,0,,,,,,,,21042,58137,21265,30846,11940,1462,,,,,,,,,,
Sweden,Operator Holding Account,Scania,556084-0976,2005-03-04,closed,Järnagatan 33,15187,SÖDERTÄLJE,27,27,27,24,24,24,24,24,,,,,,,,,26,23,36,26,18,0,0,,,,,,,,,,26,23,36,26,18,,,,,,,,,,,
Sweden,Operator Holding Account,Tekniska Verken i Linköping AB,556004-9727,2005-03-04,open,Box 1500,58115,LINKÖPING,439,439,439,0,0,0,0,0,5447,4874,4318,3778,3254,2748,2258,1786,468,140,76,77,134,348,93,349,99,144,177,177,,,,,468,140,76,77,134,348,93,349,99,144,177,177,,,,
Sweden,Operator Holding Account,Arctic Paper Munkedals AB,556000-5273,2005-03-04,open,Bruksvägen,45533,MUNKEDAL,21942,26450,30959,14011,14011,14011,14011,14011,44238,43470,42692,41907,41113,40311,39499,38685,5882,48095,13274,28234,24561,24393,16657,3160,1564,3261,9917,26344,,,,,5882,48095,13274,28234,24561,24393,16657,3160,1564,3261,9918,26343,,,,
Sweden,Operator Holding Account,Akzo Nobel Functional Chemicals AB,556234-9398,2005-01-01,open,Stenunge Allé 3,44485,STENUNGSUND,50260,56485,58975,58301,58301,58301,58301,58301,99121,97399,95657,93897,92118,90321,88503,86678,32339,31281,38006,42551,42812,42588,36512,34180,85991,87642,88169,81691,,,,,32339,31281,38006,42551,42812,42588,58301,12391,85991,87642,88169,81691,,,,
Sweden,Operator Holding Account,Norcarb Engineered Carbons AB,556095-3886,2005-03-04,open,Kusthamnsgatan 1,21124,MALMÖ,96436,96436,96436,108965,108965,108965,108965,108965,92616,88666,84778,80961,77213,73536,69925,66400,88816,100608,93241,92363,55979,85647,76123,76031,66885,76806,82829,79668,,,,,88816,,193849,92363,55979,85647,76123,76031,66885,76806,82829,79668,,,,
Sweden,Operator Holding Account,Akzo Nobel Pulp and Performance Chemicals AB,556022-9972,2005-03-04,open,Box 13000,85013,Sundsvall,9776,9776,9776,10467,10467,10467,10467,10467,18512,18191,17865,17536,17204,16869,16529,16189,9089,7352,12186,9063,12491,14404,8340,5892,6826,5461,7412,7657,,,,,9089,7507,12186,9063,12491,14404,8340,5892,6826,5461,7412,7657,,,,
Sweden,Operator Holding Account,SSAB EMEA AB,556313-7933,2005-03-04,open,SSAB Oxelösund AB,61380,OXELÖSUND,12654,12654,12654,292828,292828,292828,292828,292828,263185,258614,253989,249316,244592,239823,234993,230148,4207,3312,4148,325716,227441,303755,282639,244863,267430,266901,236274,239048,,,,,4207,3312,4148,325716,227441,303755,282639,244863,267430,266901,236274,239048,,,,
Sweden,Operator Holding Account,BillerudKorsnäs Skog & Industri AB,556023-8338,2005-03-04,open,Fröviforsvägen,71880,Frövi,61760,61760,61760,66150,66150,66150,66150,66150,114905,111425,107972,104554,101169,97820,94498,91227,30964,30961,32867,36369,34609,21564,16212,7806,7927,7790,7990,13942,,,,,30964,30961,32867,36369,34609,21564,16212,7806,7927,7790,7990,13942,,,,
Sweden,Operator Holding Account,Öresundskraft Kraft & Värme AB,556501-1003,2005-03-04,open,Box 642,25106,HELSINGBORG,33826,33826,33826,0,0,0,0,0,35939,32162,28493,24939,21496,18166,14943,11836,27157,15647,3119,1295,325,1150,2213,311,242,262,301,210,,,,,27157,15647,3119,1295,325,1150,2213,311,242,262,301,210,,,,
Sweden,Operator Holding Account,Arizona Chemical AB,556708-3539,2005-03-04,open,Box 66,82022,SANDARNE,32634,34917,34917,26681,26681,26681,26681,26681,24383,21821,19327,16911,14567,12301,10107,7996,30434,23671,708,104,2819,2883,13348,13830,14211,5351,9655,7655,,,,,30434,23671,708,104,2819,2883,13348,13830,14211,5351,9655,7655,,,,
Sweden,Operator Holding Account,E.ON Värme Lokala Energilösningar AB,559087-5745,2005-03-04,open,Carl Gustavs väg 1,205 09,Malmö,1526,1526,1526,1379,1379,1379,1379,1379,13515,13280,8570,7499,6460,5454,4481,3546,731,332,326,288,174,212,276,178,267,149,187,542,,,,,731,332,326,288,174,212,276,178,267,149,187,542,,,,
Sweden,Operator Holding Account,Öresundskraft Kraft & Värme AB,556501-1003,2005-03-04,open,Box 642,25106,HELSINGBORG,29,29,29,0,0,0,0,0,349,312,277,242,209,176,145,115,565,636,735,979,56,822,325,96,72,117,3,3,,,,,565,636,735,979,56,822,325,96,72,117,3,3,,,,
Sweden,Operator Holding Account,OX2 Bio Energi AB,556909-4807,2005-03-04,open,Box 2299,10317,Stockholm,0,0,0,0,0,0,0,0,3585,3208,2842,2488,2145,1812,1490,1180,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,
Sweden,Operator Holding Account,Siljan Timber AB,556034-1025,2005-03-04,open,Box 435,79227,Mora,0,0,0,0,0,0,0,0,17193,16622,12143,10858,9611,8402,7230,6099,0,0,0,0,35,0,0,0,15,30,24,7,,,,,,,,,35,,,,15,30,24,7,,,,
Sweden,Operator Holding Account,Arla Foods AB,556579-4400,2005-03-04,open,Mejerivägen 1,59840,Vimmerby,1453,1660,1660,4832,4832,4832,4832,4832,13717,12276,10873,9514,8195,6920,5686,4498,6362,4454,2966,1170,2264,2647,1421,1872,2232,3877,2352,1577,,,,,6362,4454,2966,1170,2264,2647,1421,1872,2232,3877,2352,1577,,,,
Sweden,Operator Holding Account,BillerudKorsnäs Sweden AB,556876-2974,2005-03-04,open,Fröviforsvägen,71880,Frövi,81398,81960,81960,74319,74319,74319,74319,74319,255147,250306,237433,231543,225664,219799,213936,208121,75188,50170,56528,44942,43080,36041,17362,17852,21167,23240,18800,15578,,,,,75188,50170,56528,44942,43080,36041,17362,17852,21167,23240,18800,15578,,,,
Sweden,Operator Holding Account,Veolia Sweden AB,559065-3506,2005-03-04,open,Box 6613,11384,Stockholm,10313,10313,10313,8438,8438,8438,8438,8438,4995,4470,3958,3464,2984,2520,2070,1638,8236,6559,5793,6770,7497,6796,7086,5932,4621,3234,4145,3762,,,,,8236,6559,5793,6770,7497,6796,7086,5932,4621,3234,4145,3762,,,,
