Country,Account Type,Account Holder Name,Company Registration No,Permit/Plan Date,Account status,Main Address Line,Postal Code,City,Allowance In Allocation In 2005,Allowance In Allocation In 2006,Allowance In Allocation In 2007,Allowance In Allocation In 2008,Allowance In Allocation In 2009,Allowance In Allocation In 2010,Allowance In Allocation In 2011,Allowance In Allocation In 2012,Allowance In Allocation In 2013,Allowance In Allocation In 2014,Allowance In Allocation In 2015,Allowance In Allocation In 2016,Allowance In Allocation In 2017,Allowance In Allocation In 2018,Allowance In Allocation In 2019,Allowance In Allocation In 2020,Verified Emissions In 2005,Verified Emissions In 2006,Verified Emissions In 2007,Verified Emissions In 2008,Verified Emissions In 2009,Verified Emissions In 2010,Verified Emissions In 2011,Verified Emissions In 2012,Verified Emissions In 2013,Verified Emissions In 2014,Verified Emissions In 2015,Verified Emissions In 2016,Verified Emissions In 2017,Verified Emissions In 2018,Verified Emissions In 2019,Verified Emissions In 2020,Units Surrendered In 2005,Units Surrendered In 2006,Units Surrendered In 2007,Units Surrendered In 2008,Units Surrendered In 2009,Units Surrendered In 2010,Units Surrendered In 2011,Units Surrendered In 2012,Units Surrendered In 2013,Units Surrendered In 2014,Units Surrendered In 2015,Units Surrendered In 2016,Units Surrendered In 2017,Units Surrendered In 2018,Units Surrendered In 2019,Units Surrendered In 2020
United Kingdom,Aircraft Operator Account,Qatar Airways (Q.C.S.C.),16070,2009-01-01,open,P.O. Box 22550,DOHA,Doha,,,,,,,,1541007,370,370,370,370,370,370,370,370,,,,,,,,12118,13416,17743,18725,22345,,,,,,,,,,,,12118,,31160,18724,22345,,,,
United Kingdom,Aircraft Operator Account,KOHLER CO,006073225,2009-01-01,open,N6200,53085,Sheboygan Falls,,,,,,,,63,5,5,5,5,5,5,5,5,,,,,,,,56,Excluded,151,Excluded,Excluded,,,,,,,,,,,,56,,151,,,,,,
United Kingdom,Aircraft Operator Account,Kansas City Life Insurance Company,440308260,2010-01-01,open,3520 Broadway,64121-9139,Kansas City,,,,,,,,7,2,2,2,2,2,2,2,2,,,,,,,,0,Excluded,Excluded,Excluded,Excluded,,,,,,,,,,,,,,,,,,,,
United Kingdom,Aircraft Operator Account,"Zimmer, Inc",0776101,2010-01-01,closed,PO Box 708,46581,Warsaw,,,,,,,,,,,,,,,,,,,,,,,,0,Excluded,Excluded,Excluded,,,,,,,,,,,,,,,,,,,,,
United Kingdom,Aircraft Operator Account,Hamlin Jet Ltd,17680005,2009-01-01,closed,Hangar 125,LU2 9PA,Luton,,,,,,,,,,,,,,,,,,,,,,,,812,,,,,,,,,,,,,,,,812,,,,,,,,
United Kingdom,Aircraft Operator Account,Ravenheat Manufacturing Ltd,02091988,2010-01-01,open,Chartists Way,LS27 9ET,Leeds,,,,,,,,,,,,,,,,,,,,,,,,130,Excluded,Excluded,Excluded,Excluded,,,,,,,,,,,,130,,,,,,,,
United Kingdom,Aircraft Operator Account,"Valero Services, Inc.",3332817,2010-01-01,open,1000 Skyplace Blvd.,78216,San Antonio,,,,,,,,65,1,1,1,1,1,1,1,1,,,,,,,,657,Excluded,Excluded,Excluded,Excluded,,,,,,,,,,,,661,,,,,,,,
United Kingdom,Aircraft Operator Account,British Midland Regional (bmi regional),SC104657,2011-01-01,open,Aberdeen Airport East,AB21 7EU,Aberdeen,,,,,,,,21256,18753,18753,18753,18753,18753,18753,18753,18753,,,,,,,,72003,88954,78565,84448,86588,,,,,,,,,,,,72003,,167519,84448,86588,,,,
United Kingdom,Aircraft Operator Account,bmibaby Limited,3259921,2011-01-01,open,Donington Hall,DE742SB,Castle Donington,,,,,,,,166325,,,,,,,,,,,,,,,,162354,Excluded,Excluded,Excluded,Excluded,,,,,,,,,,,,162354,,,,,,,,
United Kingdom,Aircraft Operator Account,Park House Aviation Limited,42647,2010-01-01,open,c/o Park House Associates Pte Ltd,068811,Singapore,,,,,,,,4,1,1,1,1,1,1,1,1,,,,,,,,85,Excluded,Excluded,Excluded,Excluded,,,,,,,,,,,,85,,,,,,,,
United Kingdom,Aircraft Operator Account,Bharat Forge Limited,12046 of 1961,2010-01-01,open,"Aviation Division, Bharat Forge Limited",411036,Pune,,,,,,,,9,3,3,3,3,3,3,3,3,,,,,,,,76,Excluded,Excluded,Excluded,149,,,,,,,,,,,,76,,,,149,,,,
United Kingdom,Aircraft Operator Account,Donington Aviation Ltd,01003229,2009-01-01,open,"Building 33, Dakota Road",DE74 2SA,Derby,,,,,,,,32,27,27,27,27,27,27,27,27,,,,,,,,510,Excluded,Excluded,Excluded,Excluded,,,,,,,,,,,,510,,,,,,,,
United Kingdom,Aircraft Operator Account,Banline Aviation Ltd,01520549,2009-01-01,open,"Building 33, Dakota Road",DE74 2SA,Derby,,,,,,,,50,38,38,38,38,38,38,38,38,,,,,,,,864,Excluded,Excluded,Excluded,Excluded,,,,,,,,,,,,864,,,,,,,,
United Kingdom,Aircraft Operator Account,Air Canada,4396626,2009-01-01,open,7373 Cote Vertu Blvd. West,H4S 1Z3,Saint-Laurent,,,,,,,,1832089,160,160,160,160,160,160,160,160,,,,,,,,512,564,577,855,640,,,,,,,,,,,,513,,1141,855,640,,,,
United Kingdom,Aircraft Operator Account,British Midland Airways,464648,2009-01-01,open,Donington Hall,DE742SB,Castle Donington,,,,,,,,388485,,,,,,,,,,,,,,,,124539,Excluded,Excluded,Excluded,Excluded,,,,,,,,,,,,124539,,,,,,,,
United Kingdom,Aircraft Operator Account,Colleen Corporation,23-1099050,2010-01-01,open,8375 Enterprise Avenue,19153,Philadelphia,,,,,,,,80,3,3,3,3,3,3,3,3,,,,,,,,311,161,417,436,782,,,,,,,,,,,,311,,578,436,782,,,,
United Kingdom,Aircraft Operator Account,"Five Star Aviation, LLc",f10193,2012-01-01,open,26500 Curtiss Wright Parkway,44143,Highland Heights,,,,,,,,6,,,,,,,,,,,,,,,,15,Excluded,Excluded,Excluded,Excluded,,,,,,,,,,,,15,,,,,,,,
United Kingdom,Aircraft Operator Account,Goodrich Corporation,340252680,2010-01-01,closed,2730 West Tyvola Road,28217,Charlotte,,,,,,,,28,,,,,,,,,,,,,,,,12,,,,,,,,,,,,,,,,13,,,,,,,,
United Kingdom,Aircraft Operator Account,JELD-WEN inc.,065300-18,2010-01-01,open,2850 Stinson Way,97603,Klamath Falls,,,,,,,,3,1,1,1,1,1,1,1,1,,,,,,,,0,Excluded,Excluded,Excluded,Excluded,,,,,,,,,,,,3,,,,,,,,
United Kingdom,Aircraft Operator Account,"Executive Jet Management, Inc.",501856,2009-01-01,open,4556 Airport Road,45226,Cincinnati,,,,,,,,1003,59,59,59,59,59,59,59,59,,,,,,,,3599,3268,3367,3564,4264,,,,,,,,,,,,3599,,6636,3563,4264,,,,
United Kingdom,Aircraft Operator Account,Eleventh Street Aviation llc,1562328,2010-01-01,open,26500 curtiss wright parkway,44143,highland heights,,,,,,,,54,4,4,4,4,4,4,4,4,,,,,,,,102,Excluded,Excluded,Excluded,Excluded,,,,,,,,,,,,102,,,,,,,,
United Kingdom,Aircraft Operator Account,The Hershey Company,0224803,2009-01-01,open,602 Airport Dr,17057,Middletown,,,,,,,,,,,,,,,,,,,,,,,,0,Excluded,Excluded,Excluded,Excluded,,,,,,,,,,,,,,,,,,,,
United Kingdom,Aircraft Operator Account,Hess Corporation,0097017,2010-01-01,open,Trenton-Mercer Airport,08628,West Tenton,,,,,,,,6,,,,,,,,,,,,,,,,15,Excluded,Excluded,Excluded,Excluded,,,,,,,,,,,,15,,,,,,,,
United Kingdom,Aircraft Operator Account,3M Company,0000262413,2009-01-01,open,3M Corporate Headquarters,55144-1000,St Paul,,,,,,,,249,16,16,16,16,16,16,16,16,,,,,,,,290,191,234,127,198,,,,,,,,,,,,290,,425,127,198,,,,
United Kingdom,Aircraft Operator Account,Sioux Company Ltd,EC08981,2010-01-01,open,Canon's Court,HM12,Hamilton,,,,,,,,19,10,10,10,10,10,10,10,10,,,,,,,,362,Excluded,Excluded,Excluded,Excluded,,,,,,,,,,,,362,,,,,,,,
