Country,Account Type,Account Holder Name,Main Address Line,City,Allowance In Allocation In 2005,Allowance In Allocation In 2006,Allowance In Allocation In 2007,Allowance In Allocation In 2008,Allowance In Allocation In 2009,Allowance In Allocation In 2010,Allowance In Allocation In 2011,Allowance In Allocation In 2012,Allowance In Allocation In 2013,Allowance In Allocation In 2014,Allowance In Allocation In 2015,Allowance In Allocation In 2016,Allowance In Allocation In 2017,Allowance In Allocation In 2018,Allowance In Allocation In 2019,Allowance In Allocation In 2020,Verified Emissions In 2005,Verified Emissions In 2006,Verified Emissions In 2007,Verified Emissions In 2008,Verified Emissions In 2009,Verified Emissions In 2010,Verified Emissions In 2011,Verified Emissions In 2012,Verified Emissions In 2013,Verified Emissions In 2014,Verified Emissions In 2015,Verified Emissions In 2016,Verified Emissions In 2017,Verified Emissions In 2018,Verified Emissions In 2019,Verified Emissions In 2020,Units Surrendered In 2005,Units Surrendered In 2006,Units Surrendered In 2007,Units Surrendered In 2008,Units Surrendered In 2009,Units Surrendered In 2010,Units Surrendered In 2011,Units Surrendered In 2012,Units Surrendered In 2013,Units Surrendered In 2014,Units Surrendered In 2015,Units Surrendered In 2016,Units Surrendered In 2017,Units Surrendered In 2018,Units Surrendered In 2019,Units Surrendered In 2020
Belgium,Operator Holding Account,3B-FIBREGLASS,Rue de Maestricht 67-69,Battice (Herve),111954,111955,111955,85974,85975,85975,85975,85975,53944,53007,52060,51102,50134,49155,48165,47173,72730,71598,71846,68399,39499,61296,59919,57779,58965,60764,60165,61271,,,,,72730,71598,71846,68399,39499,61296,59919,57779,58965,60764,60165,61271,,,,
Belgium,Operator Holding Account,3M Belgium,Hermeslaan 7,Machelen,15528,15528,15528,15893,15893,15893,15893,15894,12971,12745,12518,12288,12055,11819,11581,11343,14445,14551,13755,13531,12351,15578,14899,14228,15626,13994,14009,13763,,,,,14445,14551,13755,13531,12351,15578,14899,14228,15626,13994,14009,13763,,,,
Belgium,Operator Holding Account,AANNEMINGEN VAN WELLEN,Klinkaardstraat 198,Kapellen,,,,,,,,,2263,2026,1794,1570,1352,1142,939,742,,,,,,,,,2854,1766,3843,3920,,,,,,,,,,,,,2854,1766,3843,3920,,,,
Belgium,Operator Holding Account,AANNEMINGEN VAN WELLEN,Klinkaardstraat 198,Kapellen,,,,,,,,,2649,2370,2101,1837,1583,1337,1098,869,,,,,,,,,2546,2408,2898,2939,,,,,,,,,,,,,2546,2408,2898,2939,,,,
Belgium,Aircraft Operator Account,ABELAG AVIATION,Kortrijkstraat 317,Wevelgem,,,,,,,,,,,,,594,594,594,594,,,,,,,,7297,6156,6063,7396,7507,,,,,,,,,,,,,,19516,7396,7507,,,,
Belgium,Operator Holding Account,ACRS ASFALT & RECYCLING,Kanaaldijk 22,Ravels,,,,,,,,,533,476,422,370,318,268,220,175,,,,,,,,,942,1003,1238,877,,,,,,,,,,,,,942,1003,1238,877,,,,
Belgium,Aircraft Operator Account,AEROTRANSCARGO,"60 Dacia blvd. block 5, off.115",Chisinau,,,,,,,,,,,,,,,,,,,,,,,,,,,,582,,,,,,,,,,,,,,,,582,,,,
Belgium,Operator Holding Account,AGC GLASS EUROPE,Avenue Jean Monnet 4,Ottignies-Louvain-la-Neuve,101473,101473,101474,117868,117868,117868,117869,117869,63221,62069,60905,59733,58549,57357,56153,54947,114626,113010,112833,112290,110535,117129,111910,89800,87623,93571,105519,98145,,,,,114626,113010,112833,112290,110535,117129,111910,89800,87623,93571,105519,98145,,,,
Belgium,Operator Holding Account,AGC GLASS EUROPE,Avenue Jean Monnet 4,Ottignies-Louvain-la-Neuve,541948,541948,541948,662424,662424,662424,662424,662425,401071,394105,387058,379935,372736,365469,358110,350725,592753,593840,604454,601861,460576,556905,551238,417454,379710,371132,390036,389638,,,,,592753,593840,604454,601861,460576,556906,551237,417454,379710,371132,390036,389638,,,,
Belgium,Operator Holding Account,AGC GLASS EUROPE,Avenue Jean Monnet 4,Ottignies-Louvain-la-Neuve,80094,80093,80093,66214,66214,66214,66214,66214,46326,45521,0,0,0,0,0,0,68629,63758,51988,60077,48820,57574,62181,45707,47492,16252,,,,,,,68629,63758,51988,60077,48820,57574,62181,45707,47492,16252,,,,,,
