Country,Account Type,Account Holder Name,Main Address Line,City,Allowance In Allocation In 2005,Allowance In Allocation In 2006,Allowance In Allocation In 2007,Allowance In Allocation In 2008,Allowance In Allocation In 2009,Allowance In Allocation In 2010,Allowance In Allocation In 2011,Allowance In Allocation In 2012,Allowance In Allocation In 2013,Allowance In Allocation In 2014,Allowance In Allocation In 2015,Allowance In Allocation In 2016,Allowance In Allocation In 2017,Allowance In Allocation In 2018,Allowance In Allocation In 2019,Allowance In Allocation In 2020,Verified Emissions In 2005,Verified Emissions In 2006,Verified Emissions In 2007,Verified Emissions In 2008,Verified Emissions In 2009,Verified Emissions In 2010,Verified Emissions In 2011,Verified Emissions In 2012,Verified Emissions In 2013,Verified Emissions In 2014,Verified Emissions In 2015,Verified Emissions In 2016,Verified Emissions In 2017,Verified Emissions In 2018,Verified Emissions In 2019,Verified Emissions In 2020,Units Surrendered In 2005,Units Surrendered In 2006,Units Surrendered In 2007,Units Surrendered In 2008,Units Surrendered In 2009,Units Surrendered In 2010,Units Surrendered In 2011,Units Surrendered In 2012,Units Surrendered In 2013,Units Surrendered In 2014,Units Surrendered In 2015,Units Surrendered In 2016,Units Surrendered In 2017,Units Surrendered In 2018,Units Surrendered In 2019,Units Surrendered In 2020
Bulgaria,Operator Holding Account,STARTKERAMIK OOD,"str.""Chetirdest i sedma"" 7",Mihalci,,,,,,,,,,,,,,,,,,,,0,0,Not Reported,Not Reported,Not Reported,,,,,,,,,,,,,,,,,,,,,,,,
Bulgaria,Operator Holding Account,STARTKERAMIK OOD,"str.""Chetirdest i sedma"" 7",Mihalci,,,,2328,0,0,511,648,,,,,,,,,,,,2328,0,0,511,1050,,,,,,,,,,,,,,2328,,1561,,,,,,,,
Bulgaria,Operator Holding Account,BLAGOEVGRAD BT AD,"str. ""Pokrvnishko shose"" 1",Blagoevgrad,,,,,,,,,,,,,,,,,,,,,9756,9392,Not Reported,Not Reported,Not Reported,Not Reported,,,,,,,,,,,9756,,,,,,,,,,,
Bulgaria,Operator Holding Account,BLAGOEVGRAD BT AD,"str. ""Pokrvnishko shose"" 1",Blagoevgrad,,,,0,9756,9721,9721,10136,5430,4860,4304,3766,3244,2739,2251,1781,,,,,9756,9392,7281,7638,5960,5883,5949,5602,,,,,,,,,,19477,7281,7309,5960,5883,5949,5602,,,,
Bulgaria,Operator Holding Account,HARMANLIYSKA KERAMIKA AD,"ul. ""Treti mart"" 14",Harmanli,,,,,,,,,,3973,6844,6721,1650,1619,1587,1557,,,,,,,,,,4861,6282,2367,,,,,,,,,,,,,,4861,6282,2367,,,,
Bulgaria,Operator Holding Account,REMOTEX M OOD,"bul. ""D-r G. M. Dimitrov"" 57",Sofia,,,,1846,1882,1622,1622,1691,651,639,342,336,330,323,316,310,,,1655,1846,1254,636,476,381,85,0,0,38,,,,,,,,,3100,636,476,381,,,,123,,,,
Bulgaria,Operator Holding Account,TOPLOFIKACIA SLIVEN EAD,str. Stefan Karadja 23,Sliven,,,,232626,34362,29614,62554,119781,58966,48292,38814,30502,23299,18493,15212,12049,,,282003,232626,205983,205807,224128,250257,189710,254438,229003,219909,,,,,,,,,438609,205807,224128,250257,189710,254438,229003,219909,,,,
Bulgaria,Operator Holding Account,“ TOPLOFIKATSIA – VRATSA” EAD,str. Maksim Gorki 9,Vratsa,,,,26257,31488,27136,27137,28293,14348,12840,11375,9957,8582,7252,5966,4726,,,25427,26257,30648,30997,32576,29881,28418,27235,26106,25809,,,,,,,,,56905,30997,32576,29881,28418,27235,26106,25809,,,,
Bulgaria,Operator Holding Account,TOPLOFIKATCIA - VT AD,str.Nikola Gabrovski 71A,Veliko Tarnovo,,,,15947,19359,16684,16684,17395,10188,8916,7899,6913,5959,5036,4142,3281,,,16143,15947,16812,16195,16072,16552,15674,14944,11908,13646,,,,,,,,,32759,16195,16072,16552,15674,14944,11908,13646,,,,
Bulgaria,Operator Holding Account,TRAKYA GLASS BULGARIA EAD,q.Vabel,Targovichte,,,,156774,208195,179424,179426,187073,165862,162980,160065,157120,154144,151138,148095,145041,,,157307,156774,171310,191975,193088,183615,189825,231410,315270,356858,,,,,,,,,328084,191975,193088,183615,189825,231410,315270,356858,,,,
