Country,Account Type,Account Holder Name,Main Address Line,City,Allowance In Allocation In 2005,Allowance In Allocation In 2006,Allowance In Allocation In 2007,Allowance In Allocation In 2008,Allowance In Allocation In 2009,Allowance In Allocation In 2010,Allowance In Allocation In 2011,Allowance In Allocation In 2012,Allowance In Allocation In 2013,Allowance In Allocation In 2014,Allowance In Allocation In 2015,Allowance In Allocation In 2016,Allowance In Allocation In 2017,Allowance In Allocation In 2018,Allowance In Allocation In 2019,Allowance In Allocation In 2020,Verified Emissions In 2005,Verified Emissions In 2006,Verified Emissions In 2007,Verified Emissions In 2008,Verified Emissions In 2009,Verified Emissions In 2010,Verified Emissions In 2011,Verified Emissions In 2012,Verified Emissions In 2013,Verified Emissions In 2014,Verified Emissions In 2015,Verified Emissions In 2016,Verified Emissions In 2017,Verified Emissions In 2018,Verified Emissions In 2019,Verified Emissions In 2020,Units Surrendered In 2005,Units Surrendered In 2006,Units Surrendered In 2007,Units Surrendered In 2008,Units Surrendered In 2009,Units Surrendered In 2010,Units Surrendered In 2011,Units Surrendered In 2012,Units Surrendered In 2013,Units Surrendered In 2014,Units Surrendered In 2015,Units Surrendered In 2016,Units Surrendered In 2017,Units Surrendered In 2018,Units Surrendered In 2019,Units Surrendered In 2020
Cyprus,Aircraft Operator Account,AIR EXECUTIVE LIMITED,"49, Griva Digeni, Chrystalla Court, Office 41",Larnaca,,,,,,,,7,,,,,,,,,,,,,,,,120,Excluded,Excluded,Excluded,Excluded,,,,,,,,,,,,,120,,,,,,,
Cyprus,Operator Holding Account,AIR EXECUTIVE LIMITED,Pigiale Pasa 39,Larnaca,,,,,,,,,,,,,,,,,,,,,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,
Cyprus,Aircraft Operator Account,AZUR AVIATION,21 B Impasse de l'Olivette,Le Cannet,,,,,,,,,,,,,,,,,,,,,,,,,,,,86,,,,,,,,,,,,,,,,86,,,,
Cyprus,Operator Holding Account,CHRISTOS POUPAS LIMITED,"16th km old Nicosia-Limassol road, 1306, Nisou Industrial Area, Nicosia",Nicosia,,,,32151,32151,32151,32151,32155,6993,3436,3375,3312,3249,3186,3122,3057,15908,17191,18701,17347,10554,7607,5529,4807,2526,2084,2780,2843,,,,,,33099,18701,17347,10554,7607,5529,4807,2526,2084,2780,2843,,,,
Cyprus,Aircraft Operator Account,Cobalt Air,3-5 Artemidos Avenue,Larnaca,,,,,,,,,,,,,,,,,,,,,,,,,,,,33713,,,,,,,,,,,,,,,,33713,,,,
Cyprus,Aircraft Operator Account,CSM Aviation Ltd,"COLUMBIA HOUSE, Dodekanison Street",Limassol,,,,,,,,42,,,,,,,,,,,,,,,,589,Excluded,Excluded,Excluded,Excluded,,,,,,,,,,,,589,,,,,,,,
Cyprus,Aircraft Operator Account,CYPRUS AIRWAYS PUBLIC LTD.,"21, ALKEOU STREET",Nicosia,,,,,,,,293216,250491,250491,0,0,,,,,,,,,,,,205158,160329,103858,Excluded,Excluded,,,,,,,,,,,,205158,,264187,,,,,,
Cyprus,Aircraft Operator Account,EDT SHIPMANAGEMENT LTD,124 Ayias Paraskevis Street,Limassol,,,,,,,,25,,,,,,,,,,,,,,,,196,Excluded,Excluded,Excluded,Excluded,,,,,,,,,,,,196,,,,,,,,
Cyprus,Operator Holding Account,ELECTRICITY AUTHORITY OF CYPRUS,11 Amfipoleos Street,Strovolos,,,,1259446,1396493,1557277,1762358,2019293,868904,757188,657885,546169,434452,322736,198607,0,1245389,1565277,1676010,1703920,1788007,2082321,1127595,420127,1405691,1674982,1807252,1926291,,,,,,2810666,1676010,1703920,1788007,2082321,1127595,420127,1405691,1674982,1807252,1926291,,,,
Cyprus,Operator Holding Account,ELECTRICITY AUTHORITY OF CYPRUS,11 Amfipoleos Street,Strovolos,,,,533473,546763,550022,590958,648445,482659,420602,365442,303385,241329,179273,110322,0,610670,497481,484318,492824,446322,283476,525568,565727,11711,10893,12742,25727,,,,,,1108151,484318,492824,446322,283476,525568,565727,11711,10893,12742,25727,,,,
