Country,Account Type,Account Holder Name,Main Address Line,City,Allowance In Allocation In 2005,Allowance In Allocation In 2006,Allowance In Allocation In 2007,Allowance In Allocation In 2008,Allowance In Allocation In 2009,Allowance In Allocation In 2010,Allowance In Allocation In 2011,Allowance In Allocation In 2012,Allowance In Allocation In 2013,Allowance In Allocation In 2014,Allowance In Allocation In 2015,Allowance In Allocation In 2016,Allowance In Allocation In 2017,Allowance In Allocation In 2018,Allowance In Allocation In 2019,Allowance In Allocation In 2020,Verified Emissions In 2005,Verified Emissions In 2006,Verified Emissions In 2007,Verified Emissions In 2008,Verified Emissions In 2009,Verified Emissions In 2010,Verified Emissions In 2011,Verified Emissions In 2012,Verified Emissions In 2013,Verified Emissions In 2014,Verified Emissions In 2015,Verified Emissions In 2016,Verified Emissions In 2017,Verified Emissions In 2018,Verified Emissions In 2019,Verified Emissions In 2020,Units Surrendered In 2005,Units Surrendered In 2006,Units Surrendered In 2007,Units Surrendered In 2008,Units Surrendered In 2009,Units Surrendered In 2010,Units Surrendered In 2011,Units Surrendered In 2012,Units Surrendered In 2013,Units Surrendered In 2014,Units Surrendered In 2015,Units Surrendered In 2016,Units Surrendered In 2017,Units Surrendered In 2018,Units Surrendered In 2019,Units Surrendered In 2020
Czech Republic,Operator Holding Account,"AB FACILITY, A.S.",U Trezorky 921/2,Praha 5 - Jinonice,13306,13306,13306,6288,6288,6288,6288,6288,4286,4211,4136,4060,3983,3905,3827,3748,5824,5929,4374,4556,4104,4948,4876,5370,5292,4749,5004,5647,,,,,,11753,4374,4556,4104,4948,4876,5370,5292,4749,5004,5647,,,,
Czech Republic,Operator Holding Account,"AB FACILITY, A.S.",U Trezorky 921/2,Praha 5 - Jinonice,5400,5400,5400,4007,4007,4007,4007,4007,412,405,398,390,383,375,368,360,3826,3664,1886,1206,610,160,98,108,97,79,101,139,,,,,,7490,1886,1206,610,160,98,108,97,79,101,139,,,,
Czech Republic,Aircraft Operator Account,"ABS JETS, A.S.","Hangár C, K letišti 549","Praha 6, Ruzyně",,,,,,,,,,,,,,,,,,,,,,,,,,,7897,7352,,,,,,,,,,,,,,,7897,7359,,,,
Czech Republic,Operator Holding Account,"ACTHERM, S.R.O.",Tovární 5533,Chomutov - Chomutov,198486,198486,198486,175911,180486,183753,183753,183753,44734,40090,35578,31208,26975,22879,18915,15092,181115,166263,172712,152651,168442,188366,163543,168022,145525,143258,142923,134593,,,,,,347378,172712,152651,168442,188366,163543,168022,145525,143258,142923,134593,,,,
Czech Republic,Operator Holding Account,"AGC FLAT GLASS CZECH, A.S., CLEN AGC GROUP",Sklářská 450,Teplice,289426,289426,289426,276238,276238,276238,276238,276238,193343,189985,186587,183154,179684,176180,172632,169073,274416,271082,265983,260394,142776,146627,69736,105828,106649,158948,181691,190569,,,,,,545498,265983,260394,142776,146627,69736,105828,106649,158948,181691,190569,,,,
Czech Republic,Operator Holding Account,"AGC FLAT GLASS CZECH, A.S., CLEN AGC GROUP",Sklářská 450,Teplice,37913,37913,37913,23604,23604,23604,23604,23604,20996,20630,20261,19890,19512,19132,18746,18360,22166,21953,22311,23041,11290,11237,22254,18105,17955,19183,20958,22475,,,,,,44119,22311,23041,11290,11237,22254,18105,17955,19183,20958,22475,,,,
Czech Republic,Operator Holding Account,"AGC FLAT GLASS CZECH, A.S., CLEN AGC GROUP",Sklářská 450,Teplice,,,,152000,152000,152000,152000,152000,96676,94997,93298,91581,89846,88094,86320,84540,,,8614,104219,99766,102456,105323,103029,102970,104145,102843,96493,,,,,,,8614,104219,99766,102456,105323,103029,102970,104145,102843,96493,,,,
Czech Republic,Operator Holding Account,"AGRIS, S.R.O.",Medlov 175,Němčičky u Židlochovic,,,,13005,13005,13005,13005,13005,,,,,,,,,,,12937,13574,12324,13265,14049,4969,,,,,,,,,,,12937,13574,12324,13265,14049,4969,,,,,,,,
Czech Republic,Operator Holding Account,"AIRCRAFT INDUSTRIES, A.S.",Na Záhonech 1177,Kunovice,18534,18534,18534,13579,13579,13579,13579,13579,6100,5983,5865,5747,5627,5509,5387,5266,12167,13215,11500,12448,11610,12272,11339,11581,6413,6137,8322,7466,,,,,12167,13215,11500,12448,11610,12272,11339,11581,6413,6137,8322,7466,,,,
Czech Republic,Operator Holding Account,"AL INVEST BRIDLICNA, A.S.",Bruntálská 167,"Břidličná, okres Bruntál",33140,33140,33140,16454,16454,16454,16454,16454,27060,26443,20635,24054,23598,23138,22672,22204,16416,14339,11611,9790,9245,10111,8810,8097,24181,22774,23256,23713,,,,,,30755,11611,9790,9245,10111,8810,8097,24181,22774,23256,23713,,,,
Czech Republic,Operator Holding Account,"Alcan Děčín Extrusions, s.r.o.",Ústecká 37,Děčín V,10072,10072,10072,,,,,,,,,,,,,,4252,2866,,,Not Reported,Not Reported,,,,,,,,,,,,7118,,,,,,,,,,,,,,
Czech Republic,Operator Holding Account,"ALPIQ GENERATION (CZ), S.R.O.",Dubská 257,Kladno - Dubí,447502,447502,447502,294696,314696,314696,314696,314696,84032,73528,65029,58893,52937,47164,41567,36158,296643,285304,286100,280836,265721,239756,239492,227877,224201,209457,204599,259938,,,,,15000,566947,286100,280836,265721,239756,239492,227877,224201,209457,204599,259938,,,,
