Country,Account Type,Account Holder Name,Main Address Line,City,Allowance In Allocation In 2005,Allowance In Allocation In 2006,Allowance In Allocation In 2007,Allowance In Allocation In 2008,Allowance In Allocation In 2009,Allowance In Allocation In 2010,Allowance In Allocation In 2011,Allowance In Allocation In 2012,Allowance In Allocation In 2013,Allowance In Allocation In 2014,Allowance In Allocation In 2015,Allowance In Allocation In 2016,Allowance In Allocation In 2017,Allowance In Allocation In 2018,Allowance In Allocation In 2019,Allowance In Allocation In 2020,Verified Emissions In 2005,Verified Emissions In 2006,Verified Emissions In 2007,Verified Emissions In 2008,Verified Emissions In 2009,Verified Emissions In 2010,Verified Emissions In 2011,Verified Emissions In 2012,Verified Emissions In 2013,Verified Emissions In 2014,Verified Emissions In 2015,Verified Emissions In 2016,Verified Emissions In 2017,Verified Emissions In 2018,Verified Emissions In 2019,Verified Emissions In 2020,Units Surrendered In 2005,Units Surrendered In 2006,Units Surrendered In 2007,Units Surrendered In 2008,Units Surrendered In 2009,Units Surrendered In 2010,Units Surrendered In 2011,Units Surrendered In 2012,Units Surrendered In 2013,Units Surrendered In 2014,Units Surrendered In 2015,Units Surrendered In 2016,Units Surrendered In 2017,Units Surrendered In 2018,Units Surrendered In 2019,Units Surrendered In 2020
Denmark,Operator Holding Account,A/S BACHMANNS TEGLVAERK,Amtsvejen 23,Sønderborg,6236,4677,4678,4941,4940,4940,4940,4940,,,,,,,,,6018,6333,7608,6369,3625,996,1777,1728,,,,,,,,,6018,6333,7608,6369,3625,996,1777,1728,,,,,,,,
Denmark,Operator Holding Account,A/S CARL MATZENS TEGLVAERKER,Havnevej 44,Egernsund,4395,3296,3296,4487,4484,4484,4484,4484,3892,3825,3756,3687,3618,3547,3476,3404,5151,5825,5822,5421,3416,3406,3763,3431,3310,3688,3756,4229,,,,,5822,5825,5151,5421,3416,3406,3763,3431,3310,3688,3756,4229,,,,
Denmark,Operator Holding Account,A/S DANSK SHELL,c/o Finans fortroligt,Fredericia,600169,450127,450127,433099,433096,433096,433096,433096,402124,388977,375959,363101,350393,337846,325435,313240,409597,454074,473685,418579,425897,383168,380470,428801,393480,425453,436947,454127,,,,,409597,454074,473685,418579,425897,383168,380470,428801,393480,425453,436947,454127,,,,
Denmark,Operator Holding Account,A/S GRAASTEN TEGLVAERK,Teglværksvej 14,Gråsten,5518,4138,4139,6383,7995,7995,7995,7995,6621,6506,6389,6272,6153,6033,5912,5790,4758,5217,5383,4503,4022,4819,5781,4841,4934,5116,5533,5750,,,,,10141,5217,,4503,4022,4819,5781,4841,4934,5116,5533,5750,,,,
Denmark,Operator Holding Account,A/S KNUD JEPSEN,Skanderborgvej 193,Hinnerup,14456,10842,10843,12805,12803,12803,12803,12803,5936,5313,4705,4119,3551,3000,2469,1955,11551,11846,10724,11404,11573,12008,9623,8095,7630,6288,2763,4842,,,,,11551,11846,10724,11404,11573,12008,9623,8095,7630,6288,2763,4842,,,,
Denmark,Operator Holding Account,AABENRAA - ROEDEKRO FJERNVARME,Egelund 60,Aabenraa,1671,1252,1253,716,713,713,713,713,395,354,313,0,0,0,0,0,50,12,0,0,0,18,61,45,19,12,0,0,,,,,50,12,,,,18,61,45,19,12,,,,,,
Denmark,Operator Holding Account,AABENRAA - ROEDEKRO FJERNVARME,Egelund 60,Aabenraa,247,185,186,296,296,296,296,296,122,0,0,0,0,0,0,0,1763,721,192,19,58,328,191,228,133,,,,,,,,1763,721,192,19,58,328,191,228,133,,,,,,,
Denmark,Operator Holding Account,AABENRAA - ROEDEKRO FJERNVARME,Egelund 60,Aabenraa,359,269,269,284,280,280,280,280,172,39,0,0,0,0,0,0,1274,340,171,136,162,477,358,355,34,0,,,,,,,1637,340,,136,162,477,358,355,34,,,,,,,
Denmark,Operator Holding Account,AABENRAA - ROEDEKRO FJERNVARME,Egelund 60,Aabenraa,1598,1199,1199,1008,1004,1004,1004,1004,352,315,278,0,0,0,0,0,4415,746,567,187,58,1255,244,364,485,632,3,59,,,,,4982,746,,1442,58,,244,364,485,632,3,59,,,,
Denmark,Operator Holding Account,AAK DENMARK A/S,Slipvej 4,Aarhus C,142518,106888,106889,98702,98702,98702,98702,98702,60483,39909,37017,34201,31459,28792,26197,23685,113214,110094,104293,93655,99872,99760,92036,90756,57366,57039,50874,54753,,,,,113214,110094,104293,93655,99872,99760,92036,90756,57366,57039,50874,54753,,,,
Denmark,Operator Holding Account,AALBORG PORTLAND HOLDING A/S,Rørdalsvej 44,Aalborg Øst,3333987,2500490,2500491,2567181,2567177,2567177,2567177,2567177,2094007,2051548,2008872,1966040,1923034,1879891,1836497,1793211,2565970,2695400,2764907,2235680,1513917,1420067,1683864,1658029,1647199,1718011,1780564,2054900,,,,,2565970,2695400,2764907,2402648,1513917,1420067,1516896,1658029,1647199,1718011,1780564,2054900,,,,
Denmark,Operator Holding Account,Aalborg Varme A/S,Hjulmagervej 20,Aalborg,5910,4433,4433,8695,8691,8691,8691,8691,2879,2576,2282,1997,1720,1453,1194,944,6013,1429,298,9005,475,1833,8948,5314,2098,6086,3906,9027,,,,,6013,1429,298,9480,,1833,8948,5314,2098,6086,3906,9027,,,,
Denmark,Operator Holding Account,Aalborg Varme A/S,Hjulmagervej 20,Aalborg,2115,1586,1586,1159,1156,1156,1156,1156,206,46,0,143,124,104,86,68,1297,75,165,543,117,33,11,360,50,8,329,313,,,,,1297,75,165,543,117,33,11,360,50,8,329,313,,,,
Denmark,Operator Holding Account,Aalborg Varme A/S,Hjulmagervej 20,Aalborg,612,459,460,321,320,320,320,320,51,45,0,35,30,26,21,16,427,13,100,72,64,40,16,122,69,11,53,277,,,,,427,13,100,88,64,40,,122,69,11,53,277,,,,
Denmark,Operator Holding Account,Aalborg Varme A/S,Hjulmagervej 20,Aalborg,3472,2604,2603,2333,2333,2333,2333,2333,1117,1000,885,387,668,564,463,366,2903,172,48,2845,218,99,3183,274,103,1972,475,1907,,,,,2903,172,48,3162,,,3183,274,103,1972,475,1907,,,,
Denmark,Operator Holding Account,Aalborg Varme A/S,Hjulmagervej 20,Aalborg,440,330,329,182,181,181,181,181,17,16,0,12,11,9,8,6,227,21,40,15,36,5,2,97,18,3,22,74,,,,,227,21,40,51,,5,2,97,18,3,22,74,,,,
Denmark,Operator Holding Account,Aalborg Varme A/S,Hjulmagervej 20,Aalborg,,,,,,,,,,,,,,,,,,,,,,,,,656,2278,2564,3365,,,,,,,,,,,,,656,2278,2564,3365,,,,
Denmark,Operator Holding Account,AARHUS KOMMUNE,Rådhuspladsen 2,Aarhus C,649,487,487,752,750,750,750,750,769,688,610,533,460,388,319,252,520,279,2101,296,117,2431,5456,1249,1886,1228,1953,745,,,,,2621,279,,2844,,,5456,1249,1886,1228,1953,745,,,,
Denmark,Operator Holding Account,AARHUS KOMMUNE,Rådhuspladsen 2,Aarhus C,779,584,585,675,674,674,674,674,695,1243,551,964,830,701,576,456,640,115,1855,306,212,4316,3257,1155,2162,719,2481,2276,,,,,2495,230,,4834,,,3257,1155,2162,719,2481,2276,,,,
Denmark,Operator Holding Account,AARHUS KOMMUNE,Rådhuspladsen 2,Aarhus C,285,214,213,171,167,167,167,167,154,275,0,213,184,155,128,101,56,21,144,154,71,1033,748,155,327,21,1331,596,,,,,200,21,,1258,,,748,155,327,21,1331,596,,,,
Denmark,Operator Holding Account,AARHUS KOMMUNE,Rådhuspladsen 2,Aarhus C,2882,2162,2162,2460,2459,2459,2459,2459,1540,2755,0,2135,1839,1553,1276,1010,579,580,2316,690,513,10172,4779,2239,3192,506,4561,3418,,,,,2895,580,,11375,,,4779,2239,3192,506,4561,3418,,,,
Denmark,Operator Holding Account,AARHUS KOMMUNE,Rådhuspladsen 2,Aarhus C,306,230,229,212,212,212,212,212,64,229,0,178,152,129,106,84,80,59,434,159,40,857,1291,74,427,32,565,749,,,,,514,59,,1056,,,1291,74,427,32,565,749,,,,
Denmark,Operator Holding Account,AARHUS KOMMUNE,Rådhuspladsen 2,Aarhus C,,,,,,,,,94153,84258,74644,65334,56315,47590,39147,31007,,,,,,,,,144494,100510,157243,144526,,,,,,,,,,,,,145886,99118,157243,144526,,,,
Denmark,Operator Holding Account,AARS FJERNVARME AMBA,Dybvad Mølle Vej 1,Aars,,,,,,,,,17978,16088,14252,12475,10753,9087,7475,5921,,,,,,,,,18937,18331,19062,18497,,,,,,,,,,,,,18937,18331,19062,18497,,,,
Denmark,Operator Holding Account,AFFALDSSELSKABET VENDSYSSEL VEST I/S,Mandøvej 4,Hjørring,,,,,,,,,26474,23691,20988,18370,15834,13381,11007,8719,,,,,,,,,33350,33441,33475,33104,,,,,,,,,,,,,33350,33441,33475,33104,,,,
Denmark,Aircraft Operator Account,AIR ALSIE A/S,c/o Sønderborg Lufthavn,Sønderborg,,,,,,,,824,403,403,403,403,403,403,403,403,,,,,,,,8184,8039,8836,7592,11087,,,,,,,,,,,,8184,,18754,10523,10000,,,,
Denmark,Aircraft Operator Account,AIR GREENLAND A/S,c/o B - 1842 Siaqqinneq 1,Nuussuaq,,,,,,,,33881,158,158,158,158,158,158,158,158,,,,,,0,0,45785,238,349,1006,674,,,,,,,,,,,,45785,,587,1006,674,,,,
Denmark,Operator Holding Account,AKZO NOBEL SALT A/S,Hadsundvej 17,Mariager,31404,23553,23553,17184,17181,17181,17181,17181,58308,57296,56271,55236,54189,53133,52063,50989,886,28679,19034,20453,22047,11028,28471,28535,27630,25415,27116,28089,,,,,886,28679,19034,20453,22047,11028,28471,28535,27630,25415,27116,28089,,,,
Denmark,Operator Holding Account,ALBERTSLUND KOMMUNE,Nordmarks Alle 1,Albertslund,1082,812,811,1639,1637,1637,1637,1637,1712,1532,679,594,511,432,355,281,387,1268,273,1144,429,4310,406,1593,2051,757,892,788,,,,,387,1268,273,1573,,4310,406,1593,2051,757,892,788,,,,
Denmark,Operator Holding Account,ALFRED PEDERSEN & SOEN APS,Assensvej 217,Odense SV,37707,28280,28281,26458,26454,26454,26454,26454,9230,8261,7318,6405,5521,4665,3838,3039,24963,18304,16864,14868,16211,14804,13655,11085,11088,10813,11612,16477,,,,,24963,18304,16864,14868,16211,14804,13655,11085,11088,10813,11612,16477,,,,
Denmark,Aircraft Operator Account,ALIGAP A/S,c/o Harbour House,København Ø,,,,,,,,14,10,0,0,0,,,,,,,,,,,,853,654,,,,,,,,,,,,,,,853,,654,,,,,,
Denmark,Aircraft Operator Account,ALUMECO A/S,Næsbyvej 26,Odense C,,,,,,,,,,,,,,,,,,,,,,,,67,Excluded,Excluded,Excluded,Excluded,,,,,,,,,,,,67,,,,,,,,
Denmark,Operator Holding Account,ANDELS-KARTOFFELMELSFABRIKKEN SOENDERJYLLAND,Tøndervej 3,Toftlund,,,,,,,,,,,,2851,6777,6650,6523,6397,,,,,,,,,,,,5397,,,,,,,,,,,,,,,,5397,,,,
Denmark,Operator Holding Account,ANDELSSELSKABET IKAST EL- OG FJERNVARMEVÆRK A M B A,Europavej 2,Ikast,4265,3199,3199,1948,1944,1944,1944,1944,3637,3255,2883,2523,2173,1835,1508,1193,1892,665,1347,1158,3050,5298,4108,2248,7263,2182,2706,5277,,,,,1892,1330,1347,1158,3050,5298,4108,2248,7263,2182,2706,5277,,,,
Denmark,Operator Holding Account,ANDELSSELSKABET MOELHOLM VARMEVAERK,Mølholm Landevej 14,Vejle,113,85,85,73,72,72,72,72,370,331,0,256,221,186,153,121,18,365,10,320,1120,256,28,418,866,3,546,2654,,,,,18,365,10,324,1120,256,24,418,866,3,546,2654,,,,
Denmark,Operator Holding Account,ANDELSSELSKABET OKSBOEL VARMEVAERK,Industrivej 10,Oksbøl,21698,16274,16273,13287,13283,13283,13283,13283,5988,5359,4747,4155,3582,3027,2490,1972,11071,9844,9208,8632,9809,12240,8100,6539,6673,4633,5049,5082,,,,,11071,9844,9208,8632,9809,12240,8100,6539,6673,4633,5049,5082,,,,
Denmark,Operator Holding Account,Arcus Denmark A/S,C.A. Olesens gade 1,Aalborg,7406,5555,5555,7526,7525,7525,7525,7525,,,,,,,,,7844,7125,7534,7408,7463,6915,7565,3763,1062,950,500,,,,,,7844,7125,7534,7408,7463,6915,7565,3763,1062,950,500,,,,,
Denmark,Operator Holding Account,ARDAGH GLASS HOLMEGAARD A/S,Glasværksvej 52,Holmegaard,86502,64877,64877,61473,61470,61470,61470,61470,51491,50555,49610,48658,47697,46728,45749,44770,60793,58181,59872,62017,48627,55950,57097,59533,54246,56875,56929,57875,,,,,60793,58181,59872,119114,48627,55950,,59533,54246,56875,56929,57875,,,,
Denmark,Operator Holding Account,ARGO I/S,Håndværkervej 70,Roskilde,,,,,,,,,70988,63527,56279,49259,42460,35882,29515,23379,,,,,,,,,73680,154404,175352,140041,,,,,,,,,,,,,73680,154404,175352,140041,,,,
Denmark,Operator Holding Account,ARKIL A/S,Søndergård Alle 4,Vojens,1940,1455,1456,1902,1898,1898,1898,1898,1407,1260,1116,0,0,0,0,0,2134,1675,1755,2029,1279,1583,2045,1848,1904,1979,1757,,,,,,2134,1675,1755,3308,,1583,2045,1848,1904,1979,1757,,,,,
Denmark,Operator Holding Account,ARLA FOODS ENERGY A/S,Sønderhøj 14,Viby J,42155,31616,31616,37538,37538,37538,37538,37538,26938,26470,25997,25519,25035,24547,24053,23557,36725,36717,37702,38397,31988,36540,37574,39665,40982,45154,55298,48729,,,,,74427,36717,,70385,,36540,37574,39665,40982,45154,55298,48729,,,,
Denmark,Operator Holding Account,ARLA FOODS ENERGY A/S,Sønderhøj 14,Viby J,38294,28721,28721,40884,40883,40883,40883,40883,35318,34703,34089,33474,32860,32245,31631,31016,41701,42407,43038,43890,42965,48900,48950,46840,44751,39567,40152,26457,,,,,41701,42407,43038,86855,,48900,48950,46840,44751,39567,40152,26457,,,,
Denmark,Operator Holding Account,ARLA FOODS ENERGY A/S,Sønderhøj 14,Viby J,49200,36900,36900,38484,38480,38480,38480,38480,27710,27229,26742,26250,25753,25251,24742,24232,38579,40906,38131,36070,27075,28457,29935,29425,28432,27502,29108,30431,,,,,38579,40906,38131,63145,,28457,29935,29425,28432,27502,29108,30431,,,,
