Country,Account Type,Account Holder Name,Main Address Line,City,Allowance In Allocation In 2005,Allowance In Allocation In 2006,Allowance In Allocation In 2007,Allowance In Allocation In 2008,Allowance In Allocation In 2009,Allowance In Allocation In 2010,Allowance In Allocation In 2011,Allowance In Allocation In 2012,Allowance In Allocation In 2013,Allowance In Allocation In 2014,Allowance In Allocation In 2015,Allowance In Allocation In 2016,Allowance In Allocation In 2017,Allowance In Allocation In 2018,Allowance In Allocation In 2019,Allowance In Allocation In 2020,Verified Emissions In 2005,Verified Emissions In 2006,Verified Emissions In 2007,Verified Emissions In 2008,Verified Emissions In 2009,Verified Emissions In 2010,Verified Emissions In 2011,Verified Emissions In 2012,Verified Emissions In 2013,Verified Emissions In 2014,Verified Emissions In 2015,Verified Emissions In 2016,Verified Emissions In 2017,Verified Emissions In 2018,Verified Emissions In 2019,Verified Emissions In 2020,Units Surrendered In 2005,Units Surrendered In 2006,Units Surrendered In 2007,Units Surrendered In 2008,Units Surrendered In 2009,Units Surrendered In 2010,Units Surrendered In 2011,Units Surrendered In 2012,Units Surrendered In 2013,Units Surrendered In 2014,Units Surrendered In 2015,Units Surrendered In 2016,Units Surrendered In 2017,Units Surrendered In 2018,Units Surrendered In 2019,Units Surrendered In 2020
Estonia,Operator Holding Account,aktsiaselts Anne Soojus,"Lohkva küla, Luunja vald, Tartumaa",Tartumaa,,,,0,76610,76610,352759,202995,61327,54882,48620,42555,36682,30998,25499,20197,,,,Not Reported,43116,69826,71601,64082,50594,44657,34261,35377,,,,,,,,,43116,69826,71601,64082,50594,44657,34261,35377,,,,
Estonia,Operator Holding Account,AS Alexela Sillamäe,Kesk 2b,Sillamäe,,,,0,0,0,26555,45147,13065,11692,10357,9062,7806,6591,5416,4284,,,,,,,26553,32726,33617,33560,13722,11379,,,,,,,,,,,26553,32726,33617,33560,13722,11379,,,,
Estonia,Operator Holding Account,ANNE SOOJUS AS,AS Anne Soojus,Tartumaa,59090,59090,59090,73139,73139,73139,48237,60688,52464,43507,35485,28378,23314,19687,16176,12797,47805,73139,92249,89153,28131,33652,17489,22727,25536,25703,28416,45013,,,,,47805,73139,92249,89153,28131,33652,17489,22727,25536,25703,28416,45013,,,,
Estonia,Operator Holding Account,ANNE SOOJUS AS,AS Anne Soojus,Tartumaa,14800,14327,14278,16947,16947,16947,8117,12532,12442,11135,9863,8629,7434,6277,5157,4080,23848,16947,13004,12559,5056,3778,1525,500,0,3190,583,3784,,,,,23848,16947,13004,12559,5056,3778,1525,500,,3190,583,3784,,,,
Estonia,Operator Holding Account,ANNE SOOJUS AS,AS Anne Soojus,Tartumaa,44365,48127,49256,28066,28066,28066,8406,18236,19565,17509,0,0,0,0,0,0,25520,28066,25009,17914,8783,4126,2061,3784,2665,0,Not Reported,Not Reported,,,,,25520,28066,25009,26697,,4126,2061,3784,2665,,,,,,,
Estonia,Operator Holding Account,ANNE SOOJUS AS,AS Anne Soojus,Tartumaa,11142,11477,11821,7133,7133,7133,4277,5705,5436,4865,4309,3771,3249,2745,2257,1787,6262,7133,7677,4230,5124,3803,2612,3082,1463,1610,669,1685,,,,,6262,7133,7677,4230,5124,3803,2612,3082,1463,1610,669,1685,,,,
Estonia,Operator Holding Account,ANNE SOOJUS AS,AS Anne Soojus,Tartumaa,5537,5657,5783,2985,2985,2985,1029,2007,10529,9426,8351,7311,6301,5324,4379,3469,2145,2985,2350,2999,1366,194,220,50,21,7,2,115,,,,,2145,2985,2350,2999,1366,194,220,50,21,7,2,115,,,,
Estonia,Operator Holding Account,ASPI OU,AS Aspi,Tallinn,4589,5201,5201,,,,,,,,,,,,,,,,,,Not Reported,Not Reported,,,,,,,,,,,,,,,,,,,,,,,,,,
Estonia,Operator Holding Account,AS ESRO,AS ESRO,Viljandi,10919,12677,14537,2535,2535,2535,1313,1924,7804,6984,6186,5412,4662,3937,3235,2559,2282,2535,2098,1866,1228,1532,836,990,737,1259,173,843,,,,,2282,2535,2098,1866,1228,1532,836,990,737,1259,173,843,,,,
Estonia,Operator Holding Account,AS ESRO,AS ESRO,Viljandi,15459,15744,16037,0,0,0,0,0,,,,,,,,,51,0,369,595,413,385,,,,,,,,,,,51,2,369,595,413,385,,,,,,,,,,
