Country,Account Type,Account Holder Name,Company Registration No,Permit/Plan Date,Account status,Main Address Line,Postal Code,City,Allowance In Allocation In 2005,Allowance In Allocation In 2006,Allowance In Allocation In 2007,Allowance In Allocation In 2008,Allowance In Allocation In 2009,Allowance In Allocation In 2010,Allowance In Allocation In 2011,Allowance In Allocation In 2012,Allowance In Allocation In 2013,Allowance In Allocation In 2014,Allowance In Allocation In 2015,Allowance In Allocation In 2016,Allowance In Allocation In 2017,Allowance In Allocation In 2018,Allowance In Allocation In 2019,Allowance In Allocation In 2020,Verified Emissions In 2005,Verified Emissions In 2006,Verified Emissions In 2007,Verified Emissions In 2008,Verified Emissions In 2009,Verified Emissions In 2010,Verified Emissions In 2011,Verified Emissions In 2012,Verified Emissions In 2013,Verified Emissions In 2014,Verified Emissions In 2015,Verified Emissions In 2016,Verified Emissions In 2017,Verified Emissions In 2018,Verified Emissions In 2019,Verified Emissions In 2020,Units Surrendered In 2005,Units Surrendered In 2006,Units Surrendered In 2007,Units Surrendered In 2008,Units Surrendered In 2009,Units Surrendered In 2010,Units Surrendered In 2011,Units Surrendered In 2012,Units Surrendered In 2013,Units Surrendered In 2014,Units Surrendered In 2015,Units Surrendered In 2016,Units Surrendered In 2017,Units Surrendered In 2018,Units Surrendered In 2019,Units Surrendered In 2020
Germany,Operator Holding Account,3M Deutschland GmbH,HRB 1878 Amtsgericht Neuss,1/1/05,open,Carl-Schurz-Str. 1,41453,Neuss,52514,52514,52514,43908,43908,43908,43908,43908,27155,26683,26211,25738,25266,24793,24321,23848,43760,43318,38372,35852,36385,36063,37276,39774,37513,39541,40453,40979,,,,,43760,43318,38372,35852,36385,36063,37276,39774,37513,39541,40453,40979,,,,
Germany,Operator Holding Account,A. Berentelg & Co. Klinker- u. Keramik-Werk,HRA 3823 Amtsgericht Steinfurt,1/1/05,open,Grüner Weg 8,49509,Recke,6207,6207,6207,6412,6412,6412,6412,6412,4450,4298,4220,4143,4064,3985,3905,3825,5063,5153,4727,4665,3421,4502,5141,5161,5950,7063,7102,7678,,,,,5063,5153,4727,4685,7700,203,5141,5161,5950,7063,7102,7678,,,,
Germany,Operator Holding Account,A. Berentelg & Co. Klinker- u. Keramik-Werk,HRA 3823 Amtsgericht Steinfurt,1/1/05,open,Grüner Weg 8,49509,Recke,7633,7633,7633,4010,4010,4010,4010,4010,4914,4829,4742,4655,4567,4478,4388,4297,3798,3742,4105,3645,3770,3536,4620,4525,5093,6539,6376,6283,,,,,3798,3742,4105,3695,3770,3536,4620,4475,5093,6539,6376,6283,,,,
Germany,Operator Holding Account,A. Nattermann & Cie. GmbH,HRB 112118  Amtsgericht Göttingen,1/1/05,closed,Nattermannallee 1,50829,Köln,6735,6735,6735,,,,,,,,,,,,,,8251,6384,,,Not Reported,Not Reported,,,,,,,,,,,8251,6384,,,,,,,,,,,,,,
Germany,Operator Holding Account,A. Obenauf GmbH & Co. KG,HRA 110031 Amtsgericht Braunschweig,1/1/05,open,Blankenburger Str. 100,38667,Bad Harzburg,849,985,917,1219,7505,4446,4446,14172,3252,1847,3138,1781,1747,1713,1678,1644,1647,1552,1535,4191,3124,2962,2852,2304,2321,2285,2267,1861,,,,,1647,1552,1612,4500,3250,3000,2853,1830,2321,2285,2267,1861,,,,
Germany,Operator Holding Account,Abbvie Deutschland GmbH & Co. KG,HRA 9790 Amtsgericht Wiesbaden,1/1/05,open,Knollstraße 50,67061,Ludwigshafen,13904,13904,13904,22727,22727,22727,22727,22727,16636,16347,16058,15768,15479,15189,14900,14610,20965,18163,22202,22762,23114,24949,23000,23272,23536,24981,27210,27625,,,,,20965,18163,22202,22762,23114,24949,23000,23272,23536,24981,27210,27625,,,,
Germany,Operator Holding Account,ABC-Keramik H&R Berentelg GmbH & Co.KG,HRA 4387 Amtsgericht Steinfurt,1/1/05,open,Grüner Weg 8,49509,Recke,7729,7729,7729,7403,7403,7403,7403,7403,5125,5036,4945,4855,4762,4670,4576,4481,5557,5181,5680,5444,4236,4481,5416,5431,5439,5869,4749,4777,,,,,5557,5181,5680,5464,4236,4481,5416,5411,5439,5869,4749,4777,,,,
Germany,Aircraft Operator Account,Academy of Art University,94-1637804,1/1/12,open,79 New Montgomery Street,94105,San Francisco,,,,,,,,,,,,,,,,,,,,,,,,29,Excluded,Excluded,Excluded,Excluded,,,,,,,,,,,,29,,,,,,,,
Germany,Aircraft Operator Account,ACG Air Cargo Germany GmbH,HRB 20572,1/1/10,closed,Gebäude 1335,55483,Hahn-Flughafen,,,,,,,,246000,,,,,,,,,,,,,,,,9874,,,,,,,,,,,,,,,,9874,,,,,,,,
Germany,Operator Holding Account,ACR Biokraftwerk Calbe Invest GmbH & Co. KG,HRA 2352 Amtsgericht Stendal,1/1/05,closed,Ringstr. 34,39240,Calbe/Saale,17001,17001,17001,13445,13445,13445,13445,13445,,,,,,,,,6454,1642,2315,2557,1035,1233,850,148,,,,,,,,,6454,1642,2315,2557,1035,1233,850,148,,,,,,,,
