Country,Account Type,Account Holder Name,Main Address Line,City,Allowance In Allocation In 2005,Allowance In Allocation In 2006,Allowance In Allocation In 2007,Allowance In Allocation In 2008,Allowance In Allocation In 2009,Allowance In Allocation In 2010,Allowance In Allocation In 2011,Allowance In Allocation In 2012,Allowance In Allocation In 2013,Allowance In Allocation In 2014,Allowance In Allocation In 2015,Allowance In Allocation In 2016,Allowance In Allocation In 2017,Allowance In Allocation In 2018,Allowance In Allocation In 2019,Allowance In Allocation In 2020,Verified Emissions In 2005,Verified Emissions In 2006,Verified Emissions In 2007,Verified Emissions In 2008,Verified Emissions In 2009,Verified Emissions In 2010,Verified Emissions In 2011,Verified Emissions In 2012,Verified Emissions In 2013,Verified Emissions In 2014,Verified Emissions In 2015,Verified Emissions In 2016,Verified Emissions In 2017,Verified Emissions In 2018,Verified Emissions In 2019,Verified Emissions In 2020,Units Surrendered In 2005,Units Surrendered In 2006,Units Surrendered In 2007,Units Surrendered In 2008,Units Surrendered In 2009,Units Surrendered In 2010,Units Surrendered In 2011,Units Surrendered In 2012,Units Surrendered In 2013,Units Surrendered In 2014,Units Surrendered In 2015,Units Surrendered In 2016,Units Surrendered In 2017,Units Surrendered In 2018,Units Surrendered In 2019,Units Surrendered In 2020
Italy,Operator Holding Account,3A ASSEGNATARI ASSOCIATI ARBOREA Soc. Coop. Agricola P.A.,Strada 14 Est bis,Arborea (OR),,,,10714,0,0,0,0,,,,,,,,,,,1868,8426,0,0,,,,,,,,,,,,,1868,8426,,,,,,,,,,,,
Italy,Operator Holding Account,A. AGRATI S.P.A.,"Piave, 28/30",VEDUGGIO CON COLZANO,13604,13604,13604,,,,,,,,,,,,,,14883,15792,0,0,0,Not Reported,,,,,,,,,,,,27208,,,,,,,,,,,,,,
Italy,Operator Holding Account,A.C.P. SRL (SOC. RESP. LIMITATA UNIPERSONALE),"LOC. MOTTA ALTA,14",CIVIDATE AL PIANO (BG),9077,9077,9077,11481,11481,11481,11481,21704,11716,11513,11307,11099,10888,10676,10462,10246,13274,12275,14563,16207,16922,16582,20106,16335,17560,19487,18282,17041,,,,,,,40112,16207,16922,16582,20106,16335,17560,19487,18282,17041,,,,
Italy,Operator Holding Account,A.MERATI E C. - CARTIERA DI LAVENO - SOCIETA' PER AZIONI,"Via Silvio Pellico, 5",LAVENO MOMBELLO,10765,10765,10765,24129,24129,24129,24129,61249,24236,23815,23390,22960,22524,22085,21640,21194,13405,13436,17070,19220,18378,19634,22646,32127,33648,36806,36993,35232,,,,,,26841,17070,19220,18378,19634,22646,32127,33648,36806,36993,35232,,,,
Italy,Operator Holding Account,A2A AMBIENTE S.P.A.,VIA LAMARMORA 230,BRESCIA (BS),,,,2064,10463,10463,10463,10463,,,,,,,,,,,,1989,5990,7493,11845,16611,0,,,,,,,,,,,1989,5990,7493,11845,16611,,,,,,,,
Italy,Operator Holding Account,A2A AMBIENTE S.P.A.,VIA LAMARMORA 230,BRESCIA (BS),44509,44509,44509,22,22,22,22,22,0,0,0,0,0,0,0,0,39270,19510,6546,104,49,149,146,73,81,96,128,264,,,,,39270,19510,6546,104,49,149,146,73,81,96,128,264,,,,
Italy,Operator Holding Account,A2A CALORE & SERVIZI S.R.L.,"Via Lamarmora, 230",Brescia,40948,40948,40948,40468,40468,40468,40468,40468,14408,12481,10691,9038,7515,6117,4926,3902,41911,34501,27734,31325,25906,27926,25987,25511,27718,16402,18617,15936,,,,,,76412,27734,31325,25906,27926,25987,25511,27718,16402,18617,15936,,,,
Italy,Operator Holding Account,A2A CALORE & SERVIZI S.R.L.,"Via Lamarmora, 230",Brescia,41336,41336,41336,39942,39942,39942,39942,39942,32297,26064,20577,17200,14826,12528,10306,8163,50016,44082,36848,34437,35558,41212,32796,32385,33483,33910,30568,19944,,,,,,94098,36848,34437,35558,41212,32796,32385,33483,33910,30568,19944,,,,
Italy,Operator Holding Account,A2A CALORE & SERVIZI S.R.L.,"Via Lamarmora, 230",Brescia,4227,4227,4227,4478,4478,4478,4478,4478,,,,,,,,,2823,2301,1898,2037,2337,2610,1141,11,,,,,,,,,,5124,1898,2037,2337,2610,1141,11,,,,,,,,
Italy,Operator Holding Account,A2A CALORE & SERVIZI S.R.L.,"Via Lamarmora, 230",Brescia,511073,511073,511073,615819,525513,452210,412917,373624,169149,141099,115896,93475,78027,65938,54239,42962,575355,495450,490737,397733,321855,247679,238735,239603,245013,193653,219311,204505,,,,,575355,495450,490737,397733,321855,247679,238735,239603,245013,193653,219311,204505,,,,
