Country,Account Type,Account Holder Name,Main Address Line,City,Allowance In Allocation In 2005,Allowance In Allocation In 2006,Allowance In Allocation In 2007,Allowance In Allocation In 2008,Allowance In Allocation In 2009,Allowance In Allocation In 2010,Allowance In Allocation In 2011,Allowance In Allocation In 2012,Allowance In Allocation In 2013,Allowance In Allocation In 2014,Allowance In Allocation In 2015,Allowance In Allocation In 2016,Allowance In Allocation In 2017,Allowance In Allocation In 2018,Allowance In Allocation In 2019,Allowance In Allocation In 2020,Verified Emissions In 2005,Verified Emissions In 2006,Verified Emissions In 2007,Verified Emissions In 2008,Verified Emissions In 2009,Verified Emissions In 2010,Verified Emissions In 2011,Verified Emissions In 2012,Verified Emissions In 2013,Verified Emissions In 2014,Verified Emissions In 2015,Verified Emissions In 2016,Verified Emissions In 2017,Verified Emissions In 2018,Verified Emissions In 2019,Verified Emissions In 2020,Units Surrendered In 2005,Units Surrendered In 2006,Units Surrendered In 2007,Units Surrendered In 2008,Units Surrendered In 2009,Units Surrendered In 2010,Units Surrendered In 2011,Units Surrendered In 2012,Units Surrendered In 2013,Units Surrendered In 2014,Units Surrendered In 2015,Units Surrendered In 2016,Units Surrendered In 2017,Units Surrendered In 2018,Units Surrendered In 2019,Units Surrendered In 2020
Spain,Aircraft Operator Account,245 Pilot Services,"1150 Lee Wagenes Blvd, Suite 1000",Fort Lauderdale,,,,,,,,41,1,1,1,1,1,1,1,1,,,,,,,,105,Excluded,Excluded,Excluded,Excluded,,,,,,,,,,,,105,,,,,,,,
Spain,Operator Holding Account,A.G. CEMENTOS BALBOA S.A.,Ctra. de Badajoz 32,Jerez de los Caballeros,,,,799182,799182,799182,799182,799182,666888,327653,321793,631743,309887,303845,297726,291587,222594,699490,783202,688359,471509,400780,370254,426374,202203,200441,391921,225307,,,,,222594,699490,783202,688359,471509,400780,370254,426374,202203,200441,391921,225307,,,,
Spain,Operator Holding Account,"A.G. Siderúrgica Balboa, S.A.","CARRETERA DE BADAJOZ, 32",JEREZ DE LOS CABALLEROS (Badajoz,82638,82638,82638,281502,281502,281502,281502,281502,0,0,0,0,0,0,0,0,92749,102480,95225,148266,124025,127563,131249,118159,0,,,,,,,,92749,102480,95225,148266,124025,127563,131249,118159,,,,,,,,
Spain,Operator Holding Account,"A.G. Siderúrgica Balboa, S.A.","CARRETERA DE BADAJOZ, 32",JEREZ DE LOS CABALLEROS (Badajoz,,,,,,,,,117464,115423,83612,111273,109166,107037,104882,102718,,,,,,,0,0,102223,77061,97372,120866,,,,,,,,,,,,,102223,77061,97372,120866,,,,
Spain,Operator Holding Account,AB AZUCARERA IBERIA SL.,"Avda. de Manoteras, 46",Madrid (Madrid),30692,59167,59167,56263,56263,56263,0,0,,,,,,,,,29808,61636,53587,49285,16417,0,,,,,,,,,,,29808,61636,53587,49285,16417,,,,,,,,,,,
Spain,Operator Holding Account,AB AZUCARERA IBERIA SL.,"Avda. de Manoteras, 46",Madrid (Madrid),47620,65646,65646,51979,51253,51253,51253,51253,42156,41422,40689,33895,39222,38488,37755,37021,39926,57522,66545,64040,45409,54475,54579,56767,31049,41399,20250,45328,,,,,39926,57522,66545,64040,45409,54475,54579,56767,31049,41399,20250,45328,,,,
Spain,Operator Holding Account,AB AZUCARERA IBERIA SL.,"Avda. de Manoteras, 46",Madrid (Madrid),28157,40298,40298,21187,21187,21187,21187,21187,32962,32389,31815,31241,30668,30094,29521,28947,16329,43803,25133,18624,43094,40818,36589,30613,28579,29564,29213,20580,,,,,16329,43803,25133,18624,43094,40818,36589,30613,28579,29564,29213,20580,,,,
Spain,Operator Holding Account,AB AZUCARERA IBERIA SL.,"Avda. de Manoteras, 46",Madrid (Madrid),53734,71675,71675,59037,59037,59037,130798,130798,65413,64275,63137,61999,60860,59722,58584,57446,45530,67073,49664,48147,72012,80381,126789,109982,85784,96149,74999,75524,,,,,45530,67073,49664,48147,72012,80381,126789,109982,85784,96149,74999,75524,,,,
Spain,Operator Holding Account,AB AZUCARERA IBERIA SL.,"Avda. de Manoteras, 46",Madrid (Madrid),46221,66741,66741,53489,53489,53489,0,0,,,,,,,,,43013,58584,40693,114,0,0,,,,,,,,,,,43013,58584,40693,114,,,,,,,,,,,,
Spain,Operator Holding Account,AB AZUCARERA IBERIA SL.,"Avda. de Manoteras, 46",Madrid (Madrid),42530,57640,57640,38845,38845,33377,0,0,,,,,,,,,29264,63633,40460,33509,3045,0,,,,,,,,,,,29264,63633,40460,33509,3045,,,,,,,,,,,
