,Company,"Street, no., building etc, line 1",City,Country,"NACE Rev. 2
Core code (4 digits)","Operating
revenue
(Turnover)
m EUR
2017","Operating
revenue
(Turnover)
m EUR
2016","Operating
revenue
(Turnover)
m EUR
2015","Operating
revenue
(Turnover)
m EUR
2014","Operating
revenue
(Turnover)
m EUR
2013","Operating
revenue
(Turnover)
m EUR
2012","Operating
revenue
(Turnover)
m EUR
2011","Operating
revenue
(Turnover)
m EUR
2010","Operating
revenue
(Turnover)
m EUR
2009","Operating
revenue
(Turnover)
m EUR
2008","Number of employees
2017","Number of employees
2016","Number of employees
2015","Number of employees
2014","Number of employees
2013","Number of employees
2012","Number of employees
2011","Number of employees
2010","Number of employees
2009","Number of employees
2008"
165.,Stadtwerke Kempen GmbH,Heinrich-Horten-Str. 50,Kempen,Germany,3513,n.a.,n.a.,69,62,55,45,43,46,46,46,n.a.,n.a.,90,80,74,70,69,66,68,71
247.,Ziegelwerk Nordhausen Dipl. Ing. Sourell GmbH,Stolberger Str. 141,Nordhausen,Germany,2332,n.a.,2,2,2,2,2,3,n.a.,n.a.,n.a.,n.a.,15,15,15,16,15,n.a.,n.a.,n.a.,n.a.
615.,Neue ZIEGEL-MANUFAKTUR Glindow GmbH,ALPENSTR. 47,WERDER,Germany,2332,n.a.,n.a.,n.a.,n.a.,1,1,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,21,21,21,20,20,n.a.,n.a.
47.,3M Deutschland GmbH,Carl-Schurz-Str. 1,Neuss,Germany,2229,n.a.,n.a.,"2,250","2,401","2,493","2,453","2,338","2,203","1,890","1,999",n.a.,n.a.,"5,987","5,081","5,128","5,200","4,807","4,730","4,630","4,707"
619.,A & L TIERFRISCHMEHL PRODUKTIONS-GMBH,IM MOORE 1,DIEPHOLZ,Germany,1090,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,27,24,20,n.a.,137,130,128,129,126,127,127,102,106
499.,A. Berentelg & Co. Klinker- u. Keramik-Werk,GRUENER WEG 8,RECKE,Germany,2332,n.a.,n.a.,n.a.,n.a.,12,11,11,9,8,8,n.a.,n.a.,n.a.,n.a.,90,103,96,74,53,n.a.
320.,A. Nattermann & Cie. GmbH,NATTERMANNALLEE 1,KOELN,Germany,2120,n.a.,n.a.,105,119,120,143,137,147,151,155,n.a.,n.a.,408,416,414,413,405,409,414,410
623.,A. Obenauf GmbH & Co. KG,ECKERTAL,BAD HARZBURG,Germany,1712,n.a.,n.a.,n.a.,n.a.,6,6,6,n.a.,n.a.,n.a.,n.a.,n.a.,36,38,38,42,47,47,48,51
41.,ABBVIE DEUTSCHLAND GMBH & CO. KG,MAINZER STR. 81,WIESBADEN,Germany,2100,n.a.,n.a.,"2,655","1,535","1,401",n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,"2,852","2,681","2,530",n.a.,n.a.,n.a.,n.a.,n.a.
661.,ABC-Keramik H&R Berentelg GmbH & Co.KG,GRUENER WEG 8,RECKE,Germany,2332,n.a.,n.a.,n.a.,n.a.,9,12,12,10,8,11,n.a.,n.a.,44,47,45,67,65,45,42,65
267.,Academy of Art University,79 NEW MONTGOMERY ST,SAN FRANCISCO,United States of America,8552,148,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,"3,500",n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.
684.,ACG Air Cargo Germany GmbH,GEBAEUDE 1335,HAHN-FLUGHAFEN,Germany,5110,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,66,48,68,n.a.
643.,ACR BIOKRAFTWERK CALBE INVEST GMBH & CO. KG,TRAPPENSTEIG 20,SCHOENEBECK,Germany,3511,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,2,2,10,n.a.
573.,Adam Opel AG,,,Sweden,2910,n.a.,n.a.,0,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,0,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.
186.,ADM Hamburg Aktiengesellschaft,NIPPOLDSTRASSE 117,HAMBURG,Germany,1041,n.a.,335,435,390,456,501,950,"1,176","1,097",840,n.a.,606,665,646,644,641,649,637,613,584
458.,ADM Mainz GmbH,NIPPOLDSTR. 117,HAMBURG,Germany,1041,n.a.,n.a.,34,34,34,32,30,29,32,35,n.a.,n.a.,136,133,128,129,127,120,119,120
432.,ADM Spyck GmbH,NIPPOLDSTR. 117,HAMBURG,Germany,1041,n.a.,n.a.,44,41,43,40,53,44,40,29,n.a.,n.a.,142,137,137,137,152,148,132,75
882.,ADM WILD EUROPE GMBH & CO. KG,RUDOLF-WILD-STR. 107 -115,EPPELHEIM,Germany,1089,n.a.,n.a.,n.a.,n.a.,n.a.,"1,000",900,n.a.,n.a.,n.a.,"2,500","2,500","2,500","2,500","2,500","1,500","1,500",n.a.,n.a.,n.a.
17.,Adolf Würth GmbH & Co KG,REINHOLD-WUERTH-STR. 12 -17,KUENZELSAU,Germany,2594,n.a.,"11,986","11,251","10,228","9,840","10,048","9,834","8,836","7,589","8,931",n.a.,"70,553","68,009","65,104","64,217","66,050","65,067","59,817","58,561","64,768"
717.,Adolf Zeller GmbH & Co. Poroton-Ziegelwerke KG,MAERKERSTR. 44,ALZENAU,Germany,2332,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,34,41,41,40,40,n.a.,n.a.,n.a.,n.a.
148.,Aerologic GmbH,INDUSTRIESTR. 70,SCHKEUDITZ,Germany,5121,n.a.,n.a.,442,457,447,475,439,274,55,n.a.,n.a.,n.a.,280,271,283,263,234,163,91,n.a.
579.,AEROPERSONAL,,,Guatemala,,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.
741.,AFK-Geothermie GmbH,AM CLAIM 2,ASCHHEIM,Germany,3511,n.a.,n.a.,n.a.,n.a.,5,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,13,7,7,7,7,5,n.a.,n.a.
